date,stock_count,benchmark_return,selected_return,selected_excess,turnover
2022-05-06,4577,0.03801995907003952,0.04916262436893056,0.01114266529889104,0.24017467248908297
2022-05-13,4583,0.04012602682526433,0.06084577738263101,0.020719750557366676,0.3246187363834423
2022-05-20,4588,-0.007965888756066616,-0.02140853299856316,-0.013442644242496544,0.34204793028322444
2022-05-27,4596,0.04290292572655533,0.0730757801320526,0.030172854405497267,0.258695652173913
2022-06-06,4617,0.0013559510899270313,-0.004029373960503022,-0.005385325050430053,0.35064935064935066
2022-06-13,4634,0.019712336993951862,0.021508104868138048,0.0017957678741861854,0.3706896551724138
2022-06-20,4635,0.041192156377374826,0.02399216589709208,-0.017199990480282746,0.3081896551724138
2022-06-27,4636,-0.015562662989579461,-0.0037553421624125626,0.011807320827166899,0.3987068965517241
2022-07-04,4634,-0.02316185120066872,-0.02834872946508699,-0.005186878264418271,0.3254310344827587
2022-07-11,4644,0.03785391846716461,0.05895042152837051,0.021096503061205897,0.3311827956989247
2022-07-18,4657,0.007234284349092998,-0.0012752623056282435,-0.008509546654721242,0.32188841201716734
2022-07-25,4660,-0.020347280515228466,0.009385491711678464,0.02973277222690693,0.36480686695278974
2022-08-01,4670,0.04057667245297351,0.03115218684824527,-0.009424485604728236,0.16702355460385443
2022-08-08,4675,0.024706193141968983,0.026624185954432878,0.001917992812463895,0.2692307692307693
2022-08-15,4674,0.002154865784706345,0.006095079928040921,0.003940214143334576,0.1923076923076923
2022-08-22,4683,-0.03439160185554128,-0.059493394661446715,-0.025101792805905437,0.19829424307036247
2022-08-29,4691,-0.0019535154799056073,-0.0007604800109071414,0.0011930354689984658,0.34468085106382984
2022-09-05,4697,-0.011004376198125361,-0.004828830845601338,0.006175545352524023,0.3702127659574468
2022-09-13,4697,-0.04276406937771435,-0.04450387116637623,-0.001739801788661885,0.32765957446808514
2022-09-20,4704,-0.044009890684974705,-0.03145959996248883,0.012550290722485875,0.28025477707006374
2022-09-27,4713,-0.0017533529904863814,-0.0074855446697566835,-0.0057321916792703025,0.18220338983050843
2022-10-11,4720,0.04590371471017813,0.0499377719841084,0.004034057273930268,0.22245762711864403
2022-10-18,4722,0.0018442228080618277,-0.001452576813613469,-0.0032967996216752967,0.36152219873150104
2022-10-25,4729,0.010377186045003631,0.013524528606233408,0.003147342561229777,0.2980972515856237
2022-11-01,4736,0.028705624490835923,0.03596917470004304,0.007263550209207114,0.2552742616033755
2022-11-08,4747,0.016705589181157065,0.02187404154733037,0.005168452366173304,0.39368421052631575
2022-11-15,4757,-0.01730169440668109,-0.02074194943505701,-0.0034402550283759194,0.3088235294117647
2022-11-22,4770,0.009283418781819796,0.010645136963371373,0.0013617181815515772,0.3438155136268344
2022-11-29,4783,0.019932689293631733,0.020624473270484247,0.0006917839768525134,0.29853862212943627
2022-12-06,4787,-0.0138181315020325,-0.022234470374223225,-0.008416338872190725,0.32567849686847594
2022-12-13,4799,-0.041362737789054825,-0.05172879906967453,-0.010366061280619704,0.3833333333333333
2022-12-20,4806,-0.00714883874414016,-0.016260208240253815,-0.009111369496113655,0.343035343035343
2022-12-27,4819,0.03664409618368841,0.02585564535996638,-0.010788450823722033,0.43983402489626555
2023-01-04,4831,-0.0055651324432399,-0.015974811145351393,-0.010409678702111493,0.34090909090909094
2023-01-11,4839,0.025192741786538048,0.016837757286409204,-0.008354984500128844,0.3347107438016529
