formula,source,gp_net_excess,corr_size,finite_share,raw_net,raw_turnover,neutralised_net,neutralised_turnover,net_kept
"Greater(turnover,TsSum(TsMean(Constant(-2.0),50),10))",ic-frontier-mining-20260923,-0.3982218827247619,0.2523943601264025,0.8530892801977139,-0.4015051077419409,0.5309700295662861,-0.4064505564867628,0.5354968305330403,1.01231727479791
"TsDiv(TsSum(amount,10),10)",ic-frontier-mining-20260923,-0.3363364573001861,-0.04383791298053994,0.845659561322212,-0.08882655914537235,0.9354891016492056,-0.09061018893715911,0.9347045794410543,1.0200799153873301
"TsMean(TsMean(TsDiv(Ref(Ref(current_liabilities,50),30),50),20),30)",net-scale-mining-20260923,-0.0290669613674283,-0.046539981431155786,0.9426737720111215,-0.0468601296261411,0.20542589353808224,-0.06646034730613685,0.23547771823761832,1.4182706671187206
"TsMean(Inv(TsMinMaxDiff(Inv(TsMean(TsMax(TsVar(market_cap,50),40),40)),10)),50)",net-scale-mining-20260923,-0.0989758519828319,-0.7966679956909801,0.7781402533209761,0.08968120358836186,0.19407846617113214,-0.12122804670597402,0.13444668378437377,-1.3517665001733548
"TsPctChange(TsRank(Greater(Constant(0.01),high),10),50)",ic-frontier-mining-20260923,-0.1150251495122909,0.002196695733481683,0.8968443002780352,-0.10496752364361947,0.9016773673068333,-0.12315220067000207,0.9039383763068559,1.1732409834504842
"TsKurt(TsDelta(book_to_market_ratio_lyr,40),10)",ic-frontier-mining-20260923,-0.1254186915412545,0.026488577883219996,0.8355807846771701,-0.124086766366381,0.8979918980864728,-0.1356212354563946,0.8982863148806707,1.0929548688210369
"TsMean(TsPctChange(TsPctChange(TsMax(TsWMA(book_to_market_ratio_lyr,30),10),30),10),30)",ic-frontier-mining-20260923,-0.0459766522854566,-0.005191713840118016,0.809426938523324,-0.04924461134870682,0.4153873688659816,-0.08688068235784613,0.5467197910792833,1.7642678047072788
"TsMinDiff(TsPctChange(TsMinMaxDiff(TsPctChange(low,20),30),30),50)",ic-frontier-mining-20260923,-0.1719458252906799,0.003891608570170631,0.8291180105035527,-0.18177654078318906,0.6088823411880897,-0.19232925600079226,0.611031515695852,1.0580532293778755
"TsCorr(Constant(0.5),TsMin(TsVar(turnover,20),40),20)",ic-frontier-mining-20260923,-0.0298917377181351,,0.8218628359592215,,,,,
"TsDiv(TsMean(TsDiv(ratio_ep_ttm,40),30),40)",net-scale-mining-20260923,-0.0133094726800918,-0.0077532502252399636,0.8083534136546184,-0.14027307999483968,0.39136816639135347,-0.1379024659493877,0.6690390720066791,0.9831000071750104
"TsKurt(TsSum(TsSkew(SLog1p(volume),30),40),20)",ic-frontier-mining-20260923,-0.1386011953711509,0.0014714069220162318,0.8406935434043868,-0.13410737109709198,0.9183538464204046,-0.14432333525226373,0.9183463946788143,1.0761774992052864
