factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_056,120,0.037166271971305634,0.27486090994391515,0.5,0.005107777666628048,1,0.726666031899791,-6.736798178952529,4.250392223372312,0.19079987163350082,33.55374428420198,0.16515818813128424,-0.0005774832520552174,-0.029936062470985916,0.16515818813128424,0.11214907727811783,0.09293332120914387
alpha191_016,120,0.037684389389320484,0.2965073223939208,0.45,0.0050281638272447835,1,0.8776711540055365,-8.190994878771907,5.079392969791807,0.12321876876246221,40.74804004230968,0.11913371640211405,-0.05408572020312155,0.020484834853947573,0.11913371640211405,-0.009980256018412095,0.016832487398696798
alpha191_174,120,-0.05843424548129169,-0.16433101932739375,0.5166666666666667,0.004961322213843372,0,0.1285852982156588,-15.254165698769528,-13.309955989748767,-0.012028547405065319,63.79704735359053,-0.12399927303798448,-0.1452532925390616,-0.12399927303798448,-0.3961083658407047,-0.46645091711168024,-0.4527496402466138
alpha191_173,120,-0.05114138757360109,-0.18203742336937806,0.525,0.004887564371252363,0,0.08168730087788038,-15.98353350074888,-14.748421511475328,-0.06955193785013215,63.385416696145526,-0.086990379425648,-0.21253662257533967,-0.086990379425648,-0.34165976101200307,-0.47630758015315006,-0.4097658868005666
alpha191_158,120,-0.04882443514413341,-0.1944595178969624,0.5083333333333333,0.00482630786085751,0,0.7896969745100338,-29.435437907225108,-17.4952196526334,-0.487456698679691,66.07025469199934,0.04994478645239811,0.04994478645239811,-0.00279624444270589,-0.26696266937618063,-0.1624481103510871,-0.17883309947218867
alpha191_121,120,0.048439033560853724,0.1804171158902715,0.55,0.0048065769023587146,1,0.8871836059119134,-11.92107410650518,1.4931420148829533,0.01770778741887451,40.64958384347813,0.3287374832328419,0.14085965999743583,0.048651637310495634,0.29250303713528886,0.3287374832328419,0.28316716700136074
alpha191_012,120,0.0518677283703695,0.17996682609104833,0.49166666666666664,0.004589447971922611,1,0.329112002091122,1.3301271171294955,6.30630058874726,0.49560098710746875,27.14898588818334,0.4548182042899247,0.18491764035296163,0.0844444932229663,0.33981313928254575,0.4548182042899247,0.3984708885764165
alpha191_164,120,-0.06421389574103614,-0.14758392754677288,0.48333333333333334,0.004580520485994868,0,0.23612905507096713,-16.296183225165407,-12.725911912492382,-0.04342361339757097,65.05356629398543,-0.09761114167608374,-0.13461753148156236,-0.09761114167608374,-0.4068916846276,-0.45256276923693206,-0.4240439790125083
alpha191_109,120,-0.027519472152748126,-0.2980920808835865,0.55,0.004511835195356831,0,0.9144937592606744,-28.623939404123732,-14.796793764102334,-0.6530722970125248,64.42177370780304,0.0269237369084438,-0.031218610129073336,0.0269237369084438,-0.0768707747460859,-0.03891916543002701,-0.003057315951430691
alpha191_136,120,0.027066380515151638,0.3274605634575103,0.5083333333333333,0.004505445875575524,1,0.8753650352144083,-5.847634339813262,7.3878849926285906,0.2097563062765739,37.12352625264829,0.09238959445629291,-0.032873272352339965,0.043037000884368314,0.09238959445629291,-0.014186312806752558,0.017401398790579243
alpha191_058,120,-0.03933346814305575,-0.244692689911004,0.4666666666666667,0.004491485657611445,0,0.6887233400239999,-26.01399725141711,-15.600500350254231,-0.5073714485654163,64.92928061049156,0.06395979338644671,0.06254890367773203,0.06395979338644671,-0.17989162982104506,0.01117521117666715,0.021209166020117694
alpha191_157,120,0.04651993555880803,0.20241971547919899,0.475,0.004472862256964182,1,0.9079847688509364,-6.751194409292763,6.977535295733395,0.18255404414791174,38.476519301409496,0.23410018331129154,0.062155503177068284,0.011174012540046824,0.23410018331129154,0.13309430473843437,0.09725819330334963
