selection,size,members,5y_periods,5y_first_signal_date,5y_last_signal_date,5y_mean_stock_count,5y_rank_ic,5y_ic_mean,5y_gross_excess_pct,5y_turnover_pct,5y_annual_cost_pct,5y_net_excess_pct,5y_sharpe_after_cost,5y_max_drawdown_pct,5y_monthly_win_rate_pct,5y_ic_ir,5y_win,5y_s_i,5y_direction,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_ic_ir,recent_win,recent_s_i,recent_direction,turnover_ok
t10_size_plus_impact_fscore+reversal_chip_turn_size_eq+t10_size_plus_wc_mcap,3,t10_size_plus_impact_fscore|reversal_chip_turn_size_eq|t10_size_plus_wc_mcap,120,2021-09-07,2026-08-10,3833.0833333333335,0.1150350987605705,0.0704887220341076,23.37837978696191,34.26636140993533,5.181073845182221,18.19730594177969,0.9537719286311888,25.401807884605432,81.66666666666667,0.429313321252419,0.6416666666666667,0.0316894143652628,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0721883508170464,0.0230038187361381,8.291070420723113,32.5041845813948,4.914632708706893,3.376437712016219,-0.2539844306046523,20.930216167593663,62.5,0.0938960686818758,0.4666666666666667,0.0031631610949627,1,False
t10_size_plus_impact_fscore+book_to_market_lf_minus_size+t10_size_plus_wc_mcap,3,t10_size_plus_impact_fscore|book_to_market_lf_minus_size|t10_size_plus_wc_mcap,120,2021-09-07,2026-08-10,3833.0833333333335,0.1181670424434103,0.0722948298779648,23.731067230803827,28.178213675464924,4.260545907730297,19.47052132307353,1.0116583496283071,25.68506171915388,78.33333333333333,0.4222341131250464,0.7,0.0349259094566921,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0789665713822424,0.0249298436289921,13.794923201433306,26.465893174694138,4.001643048013754,9.793280153419554,0.0056287409015191,19.49627738599169,62.5,0.0981214857677096,0.4666666666666667,0.0036158814113368,1,False
t10_size_plus_impact_fscore+t10_size_plus_impact_dd120+reversal_chip_turn_eq,3,t10_size_plus_impact_fscore|t10_size_plus_impact_dd120|reversal_chip_turn_eq,120,2021-09-07,2026-08-10,3833.0833333333335,0.1128397057489881,0.0693487420802036,22.198350698285218,35.62426741349217,5.386389232920016,16.8119614653652,0.917971061088686,25.15793607555594,80.0,0.4209746592422935,0.65,0.0308767268398426,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0712655185768105,0.0227312578569358,8.206372304813158,34.14508896290319,5.162737451190962,3.0436348536221973,-0.2639450913983013,20.791285509103496,62.5,0.091075579437013,0.4666666666666667,0.0030289225858557,1,False
t10_size_plus_impact_fscore+t10_size_plus_impact_dd120+impact_abs_return60,3,t10_size_plus_impact_fscore|t10_size_plus_impact_dd120|impact_abs_return60,120,2021-09-07,2026-08-10,3833.0833333333335,0.1111012194461727,0.0730373196667684,26.585033067898436,27.29617921282281,4.127182296978809,22.457850770919624,1.0675398465374073,25.863934235208795,78.33333333333333,0.4318027565305755,0.7083333333333334,0.0339814507409591,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0737811416055727,0.0294806847415705,13.592935396772832,25.919900917572352,3.91908901873694,9.673846378035892,0.0128089179506482,19.726203488647297,62.5,0.1281905432586662,0.5333333333333333,0.0050442904664869,1,False
t10_size_plus_impact_fscore+reversal_turn_paper+reversal_turn_paper_nomcap,3,t10_size_plus_impact_fscore|reversal_turn_paper|reversal_turn_paper_nomcap,120,2021-09-07,2026-08-10,3829.358333333333,0.1153763563776899,0.0653416874613614,19.07520095230748,37.76552793612071,5.71014782394145,13.36505312836603,0.879943319807993,23.837255241770528,73.33333333333333,0.4098093338379557,0.6333333333333333,0.0299454615736014,1,15,2026-01-09,2026-08-10,4510.666666666667,0.0826407683530176,0.0270794820011885,11.461719600145903,36.35616914647207,5.497052774946577,5.964666825199326,-0.1846296931853935,18.76078745742721,62.5,0.1024882668660855,0.4666666666666667,0.0039525309231251,1,False
size_only+t10_size_plus_impact_fscore+reversal_turn_paper,3,size_only|t10_size_plus_impact_fscore|reversal_turn_paper,120,2021-09-07,2026-08-10,3829.358333333333,0.114667221779776,0.0728260454634215,25.467913583343705,30.44170157353247,4.60278527791811,20.8651283054256,1.0373508026300573,26.278196400847158,81.66666666666667,0.4278926505928934,0.7166666666666667,0.0351634373821545,1,15,2026-01-09,2026-08-10,4510.666666666667,0.0773939813209099,0.0294266103585745,12.747996590475596,28.46202998936022,4.303458934391266,8.44453765608433,-0.0393200007532174,20.337321296367616,62.5,0.1238156095173002,0.5333333333333333,0.0051107109174501,1,False
t10_size_plus_impact_fscore+impact60+reversal_chip_turn_paper,3,t10_size_plus_impact_fscore|impact60|reversal_chip_turn_paper,120,2021-09-07,2026-08-10,3829.358333333333,0.1186311725983302,0.0741952636945906,25.72018488925987,28.49988871085709,4.309183173081591,21.41100171617828,1.066275871554113,24.25408971889702,81.66666666666667,0.4439771810847656,0.7083333333333334,0.0373075862992824,1,15,2026-01-09,2026-08-10,4510.666666666667,0.0806471548681995,0.0304127469610408,13.016654794467508,26.52571240518092,4.010687715663354,9.005967078804153,-0.0198180997550527,19.648781107484936,62.5,0.1244023001518106,0.5333333333333333,0.0053507688353617,1,False
t10_size_plus_impact_fscore+reversal_chip_turn_size_eq+reversal_turn_eq,3,t10_size_plus_impact_fscore|reversal_chip_turn_size_eq|reversal_turn_eq,120,2021-09-07,2026-08-10,3833.0833333333335,0.1130153059704456,0.0681230742020503,21.91684142539203,39.22859003614394,5.931362813464964,15.985478611927068,0.902247884725068,25.351339968446208,78.33333333333333,0.4283807998647542,0.6416666666666667,0.0310653850998384,1,15,2026-01-09,2026-08-10,4513.866666666667,0.0761517452829954,0.0273311153336549,7.7286238049454,37.69674293431729,5.699747531668774,2.028876273276626,-0.315615665258639,20.693685440747235,62.5,0.1121266737862152,0.4666666666666667,0.0039846995540787,1,False
t10_size_plus_impact_fscore+reversal_chip_turn_size_eq+paper_composite,3,t10_size_plus_impact_fscore|reversal_chip_turn_size_eq|paper_composite,120,2021-09-07,2026-08-10,3829.358333333333,0.1168473588113408,0.0702793150375525,24.09312518172999,29.88061338169066,4.517948743311628,19.575176438418364,1.026123980419326,24.31934666972476,75.0,0.4075546110311496,0.675,0.0321446339125019,1,15,2026-01-09,2026-08-10,4510.666666666667,0.0772220668627377,0.0219466933807538,11.521016572021017,27.73609606278704,4.193697724693401,7.3273188473276125,-0.1019774790402501,20.154201857266905,50.0,0.0832078058573595,0.4666666666666667,0.0029985567487954,1,False
t10_size_plus_impact_fscore+book_to_market_lf_plus_impact+reversal_chip_turn_eq,3,t10_size_plus_impact_fscore|book_to_market_lf_plus_impact|reversal_chip_turn_eq,120,2021-09-07,2026-08-10,3833.0833333333335,0.1215562545581103,0.0724940722495619,23.942580909164988,30.77448619245395,4.653102312299037,19.28947859686595,1.0246699745017018,23.2237602955106,80.0,0.4238595929144364,0.6916666666666667,0.0356365926631329,1,15,2026-01-09,2026-08-10,4513.866666666667,0.083495210578993,0.0263898859223077,13.43740440713489,29.132251467827142,4.4047964219354645,9.032607985199428,-0.0336083755091082,19.23906089839904,62.5,0.0984122256216768,0.4666666666666667,0.0038345764341869,1,False
