tag,members,na,nb,nc,comb,net,turnover,monthly_turnover,sharpe,dd,pool_s,seat_si
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal_turn_paper_nomcap+f_i10_01,0.2731009931504771,0.4415965283044308,0.8942092174044916,0.6115731313686674,23.38899604167716,0.1655435019466407,0.3310870038932815,1.1251832447717505,27.08412123173939,0.0264957916982658,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03549]"
replace-SIZE,impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact60+book_to_market_lf_div_oper_main_profit_ttm+reversal_chip_turn_eq,0.2964287469229145,0.4689674563550782,0.8600965516233635,0.6104678073393739,22.561936909447837,0.1689878227218888,0.3379756454437777,1.1145003435539875,25.530912209750117,0.0281380473813046,"[0.01579, 0.03726, 0.01692, 0.0154, 0.03322]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact60+reversal_turn_paper,0.2780025805220725,0.4516842465955519,0.8774881805847714,0.6085596836760048,23.80749364618724,0.1730806251581996,0.3461612503163993,1.1353867967709077,27.14680302378245,0.0271010547957331,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03784]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+impact_abs_return60+reversal_chip_turn_eq,0.2689547464832773,0.447921547541814,0.8820529204583816,0.607487305142562,23.869982961124407,0.1721646831681711,0.3443293663363423,1.128741135550571,26.97057377802181,0.0268752928525088,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.0335]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+size_only+t10_size_plus_impact_g13+reversal_turn_paper_nomcap,0.2681165418633919,0.4395882408485901,0.8885500383259108,0.6073267099163449,23.744052038515097,0.1678667804123502,0.3357335608247005,1.1271593601150502,27.60109397082815,0.0263752944509154,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.0331]"
replace-SIZE,impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_bm+t10_size_plus_impact_wc+impact_abs_return60,0.2974466780507355,0.4716554143322387,0.8503096571555671,0.6072080763464358,22.76513484807037,0.1732112124388018,0.3464224248776037,1.1189159334658834,25.51235606281032,0.0282993248599343,"[0.01579, 0.03726, 0.01692, 0.0154, 0.03363]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact_abs_return60+reversal_chip_turn_eq,0.2728670649810917,0.4572003942496155,0.8724569656944039,0.6071991855460656,24.021437253961388,0.1757479028756891,0.3514958057513782,1.1329445582529525,26.99207796383965,0.0274320236549769,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03538]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact+t10_size_plus_impact_fscore+book_to_market_lf_div_oper_main_profit_ttm,0.2707590356264889,0.4460860266388716,0.8816421216123392,0.6070208711744555,24.012719538708502,0.1696634035626481,0.3393268071252963,1.1248835075213928,27.956054904382533,0.0267651615983322,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03437]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact60+t10_nomcap_plus_impact+reversal_turn_paper_nomcap,0.2750944184676298,0.4633339349794199,0.8657355399532345,0.6067667539152785,23.62537779063228,0.1748175412920108,0.3496350825840217,1.1315492011311938,26.72008818758612,0.0278000360987651,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03645]"
replace-SIZE,impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+t10_size_plus_impact_wc+book_to_market_lf_plus_impact,0.2993983305125894,0.4692370868625922,0.8501058639589286,0.6066602852859431,22.44413468109509,0.1709221856834952,0.3418443713669905,1.1147837537155267,25.259839808853837,0.0281542252117555,"[0.01579, 0.03726, 0.01692, 0.0154, 0.03441]"
add-6th,size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_downside+book_to_market_lf_plus_impact+reversal_chip_turn_eq,0.2734615920604925,0.451853475665496,0.8744624445916584,0.6063491349612684,23.476717112158845,0.1709359692309342,0.3418719384618684,1.1239415559023642,26.68416664437836,0.0271112085399297,"[0.01024, 0.01579, 0.03726, 0.01692, 0.0154, 0.03566]"
