run,objective,record_band,band,formula,rec_net,rec_turnover,net,turnover,periods,rank_ic,ic_ir,s_i,rank_ic_ir,rank_ic_win,s_i_rank,s_i_rank_y2026,gross,net_y2026,periods_y2026,s_i_y2026,net_last12,s_i_last12,neu_net,neu_turnover,neu_s_i,corr_size,corr_max_seat,corr_max_seat_name,add6_na,add6_nc,add6_comb,delta_points,rank_key
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(TsDelta(asi,30),cal_20d_amt_ma),bs_total_assets)",0.0779890465021133,0.5141497254371643,0.077989068031311,0.5141496658325195,120,-0.0023204914759844,-0.0077926073643996,0.0,-0.0291133389428543,0.4250000119209289,2.8711834118439683e-05,0.0017761373672782,0.155728497505188,0.0677015451908111,15,0.0,0.0552988729298115,0.0,0.0623130088090896,0.5209754705429077,0.0,-0.0127779258544424,0.051759844351599,t10_size_plus_impact_bm,0.1991808352416667,0.6118247999680524,0.3151573270339569,-8036.427230657896,0.06771590110787032
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(TsSkew(TsMin(TsPctChange(Pow(cal_30d_max_high_ratio,lma20),40),10),20),Log(is_biz_tax_surchg)),cal_20d_amt_ma),bs_total_assets)",0.0712449357032776,0.4782090485095978,0.07136091299057,0.4782288670539856,120,0.0228131581097841,0.0361359458834924,0.0,0.1765369878206306,0.4916666746139526,0.001980121754567,0.0004921558795409,0.1436691176891326,0.0506355809926986,15,0.0,0.0789567191004753,0.0,0.0311265540361404,0.5130608677864075,0.0,0.4384621578929373,0.4639946145313975,impact60,0.1991808352416667,0.6897766235968743,0.3502356476669268,-6492.981122807221,0.0516256418699821
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(ratio_bm_lyr,TsRank(TsMad(TsMinMaxDiff(Mul(ma55,ps_ratio_lyr),10),10),30)),cal_20d_amt_ma),bs_total_assets),bs_total_assets)",0.0676322792530059,0.4245431423187256,0.0676322712421417,0.4245431125164032,120,0.0489553324878215,0.1771376678518847,0.0,0.2681497336652336,0.5666666626930237,0.0074388369230945,0.0065041981268662,0.1318231898546218,0.0644497140884399,15,0.0,0.0608234548151493,0.0,-0.0535202196121215,0.603240966796875,0.0,0.8392755361299481,0.8392755361299481,size_only,0.1991808352416667,0.8077991675948679,0.4033457924660238,-4156.134751646951,0.06816913254998715
net_nosize_s9831,aligned_net_excess,40_60,40_60,"Div(Div(Div(Div(Div(TsCov(cal_30d_price_vol_corr,TsMaxDiff(sp_ratio_ttm,10),30),cal_20d_amt_ma),bs_total_assets),cal_20d_amt_ma),qtyr_5_20),bs_total_assets)",0.0629314295053482,0.4935209453105926,0.0629314089775085,0.4935209155082702,120,0.0090924585238099,0.0700283434675875,0.0,0.0988924578898227,0.4166666567325592,0.0003746564792678,0.0005019577623097,0.137551771402359,-0.00085278403759,15,0.0,-0.0079464925825595,0.0,0.0765306461334228,0.4798704981803894,0.0,-0.1473155737289877,0.1495591520962977,impact60,,,,,-0.0006654557979561
net_wide_s9801,aligned_net_excess,40_60,40_60,"Inv(Sub(a_share_market_val,TsStd(TsMed(cal_20d_amt_std,40),30)))",0.0575994573354721,0.4028204977512359,0.0575994698524475,0.4028204977512359,120,0.0450425297021865,0.1113232592606027,0.0,0.2674786778270638,0.5666666626930237,0.0068271525168712,0.0053216263640654,0.1185059291124343,-0.001093952858448,15,0.0,-0.0279953707426786,0.0,-0.0410032697439193,0.7386214137077332,0.0,0.7961280154773405,0.7961280154773405,size_only,0.1991808352416667,0.8798125256224114,0.4357518035784185,-2730.2702627015888,0.0023196233999876
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(Div(Div(Div(Div(Div(ratio_bm_lyr,vma250),cal_20d_amt_ma),bs_total_assets),cal_20d_amt_ma),TsDelta(TsRank(ratio_cfp_lyr,40),20)),bs_total_assets)",0.0732671331882476,0.6022145748138428,0.0732671637296676,0.6022144556045532,120,-0.0020704427734017,0.1404023641794443,0.0,-0.0263548975712136,0.3916666805744171,2.137180442008563e-05,0.0006444087336581,0.1643219894170761,0.0607709915399551,15,0.0,0.0277950929403305,0.0,0.0326865381717681,0.6499170660972595,0.0,-0.003685462157543,0.0109246188253377,impact60,0.1991808352416667,1.0,0.4898361670483333,-350.5582700253351,0.060781677442165144
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(Div(Div(Div(TsCorr(TsCorr(ratio_bm_lyr,vma250,40),low,20),rsi10),cal_20d_amt_ma),qtyr_5_20),vma3)",0.0410685447692871,0.6082998514175415,0.0410685572862625,0.6082998514175415,120,0.0145931802690029,0.19927130363332,0.0,0.1817552537823697,0.449999988079071,0.0011935742008591,0.0015795876993591,0.1330434948205948,0.0160371541857719,15,0.0,-0.0124570278525352,0.0,0.0269285136938095,0.6156498789787292,0.0,0.0007372645345348,0.1294250020374217,t10_size_plus_impact_bm,0.1991808352416667,0.3927844709305155,0.2165891789670653,-12373.425745601126,0.01663394128620145
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,Sign(vol55),0.0281560204267501,0.6482126116752625,-0.0306832331210374,0.0534367263317108,120,-0.009027374908328,0.003250732122156,1.2716417073682607e-05,-0.0610997954353531,0.5,0.0002757853801085,0.0097101969372069,-0.0226036000996828,-0.0435894739106297,15,0.00679811476314,-0.1044890171349048,0.0062290635155406,0.0272861191749572,0.6546320915222168,0.0001928026749796,-0.034878436869271,0.0381052780524565,t10_size_plus_impact_bm,0.1992073277772368,0.996718941728262,0.4883649893331653,-415.2900894927282,-0.04345158122057545
net_nosize_s9831,aligned_net_excess,gt60,gt60,"Div(Div(Div(Sign(ev_no_cash_ttm),TsSkew(ratio_peg_lyr,10)),cal_20d_amt_ma),bs_total_assets)",0.0185987174034118,0.7265841364860535,0.0189812266588211,0.7267187237739563,120,-0.0013512664008885,0.0912870955855514,0.0,-0.0712827598953499,0.1333333402872085,1.2842933791036896e-05,0.0001060254616299,0.1288610976934433,-0.0111371022820472,15,0.0,-0.0304058441787958,0.0,-0.0229958079457283,0.8098891377449036,0.0,0.0036897776410575,0.006780147754114,t10_size_plus_impact_bm,0.1991808352416667,0.9309787994200768,0.4587766267873679,-1717.1780415078108,-0.011130680815151681
sizeneut_wide_s9821,aligned_size_neutral_net,gt60,le30,"TsMin(Sign(TsMin(TsMax(Ref(vol20,20),40),10)),20)",0.0096955795526504,0.6134702563285828,-0.0625900628596544,0.0590027458965778,120,-0.003145637223497,0.0812910918401029,0.0001065467826392,-0.0248382678767166,0.4916666746139526,3.841498912103239e-05,0.0086573281613051,-0.0536688476800918,-0.0464996675938367,15,0.0042265026989013,-0.1053628849849104,0.0048679326000981,0.0080474481225013,0.6211762428283691,0.0031362629867098,-0.0490193624577798,0.0490193624577798,size_only,0.1994028077054985,1.0,0.4898805615410997,-348.6049123436141,-0.04648046009927618
