selection,size,na,net_5y,turn_5y,sharpe_5y,dd_5y,nc_5y,comb_5y,win_rate_5y,net_1y,turn_1y,sharpe_1y,dd_1y,nc_1y,comb_1y,net_3m,turn_3m,sharpe_3m,dd_3m,nc_3m,comb_3m,comb_mean,comb_min,objective
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.249749922875,25.988952581595754,17.701083377698478,1.1646215966053368,27.590864863558394,0.9531471753840367,0.4788662134978165,0.7833333333333333,11.65280242218325,17.04618096418733,0.7407487970565764,19.498164676548914,0.3232468141529875,0.19541105094384437,58.88648667746168,13.40057900698905,1.0678846339654549,2.424781012743482,1.0,0.499949984575,0.3914090830055536,0.19541105094384437,0.4197424163388869
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+t10_size_plus_impact+impact_abs_return60,6,0.26260070978541666,26.284873809024674,19.031966775884662,1.1740695503972904,27.256690124313998,0.9092808794342196,0.46169653770248215,0.8166666666666668,12.179783990905758,18.283568915287045,0.7655701729325117,19.56219863850861,0.3252278756204091,0.19887268598626745,62.461621610581616,14.872588130082184,1.1189026745083919,2.341553886802128,1.0,0.5025201419570834,0.3876964552152777,0.19887268598626745,0.41936312188194436
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_fscore+impact_abs_return60,5,0.23080237840249995,26.096464143513337,14.806106450220572,1.1708291347339266,28.430790344058497,1.0,0.49616047568050003,0.7833333333333333,10.041293608074042,14.16587001028177,0.697469209287748,19.598481991751925,0.29757772828800033,0.18007045341010014,58.7738871928874,11.455452361691322,1.0553406629804643,2.632246763405377,1.0,0.49616047568050003,0.39079713492370005,0.18007045341010014,0.4191304682570334
size_only+impact60+book_to_market_lf_plus_impact+reversal_chip_turn_size_eq+impact_abs_return60,5,0.21379500523250003,25.951609691664583,16.088910715168875,1.1651741281072756,28.11941279857709,1.0,0.4927590010465,0.7833333333333333,10.325131320556961,15.435611571098635,0.7035077611718503,19.48967162805919,0.3004404635453866,0.177957209641924,55.888787845525215,12.71552812811921,1.0265067402538506,2.512739110344686,1.0,0.4927590010465,0.387825070578308,0.177957209641924,0.41615840391164133
size_only+impact60+book_to_market_lf_plus_impact+t10_nomcap_plus_impact+impact_abs_return60,5,0.21571568992250004,25.610982222917915,15.800149062663385,1.1659723347277546,27.20418076852563,1.0,0.49314313798450005,0.8,9.983960684057708,15.439585644632722,0.6931270276483095,19.504091870031726,0.2860880638419368,0.17188276671337158,54.79243766568999,12.414905243530269,1.0067995035689061,2.5895404036100578,1.0,0.49314313798450005,0.38605634756079055,0.17188276671337158,0.4160563475607906
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_plus_impact+impact_abs_return60,5,0.22468348007249997,24.71013351323456,13.935288517704686,1.145641498110599,27.705449571266715,1.0,0.4949366960145,0.7666666666666667,9.906100587680164,13.557639492140137,0.6958704794741594,19.2385464624379,0.2945524200721534,0.17748528504696903,56.46884943770926,12.547613793883833,1.0512812684971438,2.5947753670474527,1.0,0.4949366960145,0.3891195590253231,0.17748528504696903,0.41578622569198975
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,6,0.2489053984979166,25.954921182550134,17.761695033957857,1.16327997950974,27.579703620343178,0.9477476266987411,0.4762675117140169,0.7833333333333333,11.199276126063163,17.045442194355353,0.7253628392444089,19.672639549261106,0.3033949518749067,0.18630880804329134,58.80352356195636,13.487247030249641,1.0666175111441132,2.4260843777881402,1.0,0.49978107969958335,0.38745246648563053,0.18630880804329134,0.41578579981896385
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,7,0.23778441648214282,24.597674643679525,15.590461118981668,1.1374866969637225,28.025403596518128,0.992587543995205,0.49422127809427085,0.7833333333333333,9.444346730670631,14.834826270581637,0.678723556768831,19.40404927524647,0.27319542825301907,0.17049482601028715,58.00586241410706,13.104011778504034,1.078454925271015,2.511549140771263,1.0,0.49755688329642855,0.38742432913366215,0.17049482601028715,0.41575766246699547
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.252914703425,26.557900587230026,17.906456076368496,1.1656900511372255,28.263284852479153,0.9521001812959494,0.47902802226817726,0.7833333333333333,11.084957260357942,17.10923757681816,0.7153889340168086,20.044412602400307,0.2933413414907985,0.18258654435585933,59.02210316364316,14.088395755437224,1.0633113888493828,2.553721513538476,1.0,0.500582940685,0.38739916910301214,0.18258654435585933,0.41573250243634546
size_only+impact60+t10_size_plus_impact_fscore+t10_size_plus_impact_aggregate+impact_abs_return60,5,0.26855469828,26.438978688759214,19.272842929398198,1.1663576716538573,27.956888201183038,0.8860448711093316,0.4524311316551992,0.8,12.286087891043065,18.690112169305646,0.7646163951398428,19.550671725617498,0.32058851082291795,0.19797576952631307,60.83752209688033,14.785322203439808,1.0850507871373365,2.271626514389591,1.0,0.503710939656,0.38470594694583743,0.19797576952631307,0.41470594694583746
