key,name,s_i,seat_turn,seat_net,corr_size,corr_pool,net_size_neutral,T1,T2,T3,NC2,NC3,NA6,add6_net,add6_sr,add6_dd,dNA,dNB_steady,dNB_first,dNB_first_extra,dNC_turn_K1,dNC_perf_K1,dNC_K1,dComb_K1,dpoints_K1,dNC_turn_K2,dNC_perf_K2,dNC_K2,dComb_K2,dpoints_K2,dNC_turn_K3,dNC_perf_K3,dNC_K3,dComb_K3,dpoints_K3,dpoints_mean,pts_NA,pts_NB,pts_NB_first_extra,pts_NC_turn_K1,pts_NC_perf_K1,pts_NC_turn_K2,pts_NC_perf_K2,pts_NC_turn_K3,pts_NC_perf_K3,dpoints_turn_cost,dpoints_turn_cost_K2,dpoints_nb_first,sign_positive_all,n_positive,dd_lo_local,dd_hi_local,dd_positive_all_local,dd_lo_platform,dd_hi_platform,dd_positive_all_platform,dNC_check_K1,dNC_check_K2,dNC_check_K3,turn_bucket,size_pass
momentum120,HT13-MOMENTUM-120D-D0,0.0123008781294459,0.3565887736029862,0.0279182702519016,0.0706594317703039,0.2536700910310818,-0.0386869933514118,0.1695215342299669,0.3390430684599339,0.5085646026899009,0.8826453551928687,0.5884302367952458,0.2248076646780122,0.2361140910134903,1.1176213585750054,0.2663183758383702,-0.0142093376119877,-0.0189457834826503,-0.0531148893977777,-0.034169105915127396,-0.09954545629044015,-0.00398533957752672,-0.10353079586796687,-0.05606174988191024,-2466.7169948040505,-0.0201660023307758,-0.007553117857792627,-0.027719120188568428,-0.02194649582618094,-965.6458163519613,-0.01787513161931808,-0.002158440816649073,-0.02003357243596715,-0.018487999337510365,-813.471970850456,-1415.2782606688227,-125.04217098549177,-291.7650656328146,-526.2042310929618,-1971.0000345507149,-78.90972363502905,-399.2868461493609,-149.551733584294,-353.92760606249794,-42.73712816965165,-908.0714955875246,-399.2868461493609,-526.2042310929618,False,0,,,False,,,False,2.220446049250313e-16,1.734723475976807e-16,4.85722573273506e-17,30-40%,True
value_bm,F-B08-260921-T10,0.0036038765657411,0.0567859707722071,0.0294210192839256,0.0560183038953674,0.4392408158943029,0.0210003679500618,0.1361956353220003,0.2723912706440006,0.408586905966001,0.9374805669878524,0.6883337816013086,0.2066889114202941,0.2154518085439709,1.105082768840009,0.2427127449608422,-0.0323280908697058,-0.0431041211596078,-0.0531148893977777,-0.010010768238169897,0.00396855010400748,-0.060798572851728634,-0.05683002274772116,-0.04712557081627841,-2073.52511591625,0.0043744509611039,-0.011025567634825038,-0.006651116673721138,-0.0245450630829784,-1079.9827756510497,0.0031542395384505477,-0.011442077619998228,-0.008287838081547682,-0.025281587716500346,-1112.3898595260152,-1421.965917031105,-284.48719965341104,-663.8034658579601,-154.1658308678164,78.57729205934811,-1203.8117424642269,86.61412902985721,-218.30623916953576,62.45394286132085,-226.55313687596492,75.88178798350873,86.61412902985721,-154.1658308678164,False,0,,,False,,,False,5.551115123125783e-17,3.8163916471489756e-17,1.734723475976807e-17,<=30%,True
growth_roe,NEW-GROWTH-ROE-TTM,5.354260320461283e-05,0.0946063411289289,-0.025345837364929,-0.1161273712298215,-0.1315436176914539,0.0021699413770207,0.1510288487600855,0.302057697520171,0.4530865462802566,1.0,0.7186258877167845,0.1992923823316763,0.2481869398995981,1.1626942281776296,0.2691638534209198,-0.0397246199583237,-0.0529661599444316,-0.0531148893977777,-0.000148729453346097,-0.0055580696647137265,0.007486550880298998,0.001928481215585272,-0.025615263425202428,-1127.0715907089068,-0.005091693145404901,0.006438974867298792,0.0013472817218938913,-0.02587680319736355,-1138.5793406839962,-0.0030630510740342976,0.004256337366854187,0.0011932862928198892,-0.02594610114044685,-1141.6284501796615,-1135.7597938575216,-349.57665563324855,-815.6788631442465,-2.2904335815298933,-110.04977936133179,148.23370742992017,-100.81552427901704,127.49170237251607,-60.64841126587909,84.27547986371289,-90.5045716354093,-100.81552427901704,-2.2904335815298933,False,0,,,False,,,False,7.19910242530375e-17,9.128982292327947e-17,8.912141857830846e-17,<=30%,True
t10_size_plus_impact_fscore,T10-ADD-FSCORE-20260911,0.0341054845035453,0.3186568732130291,0.1961385452564856,0.5574345968935539,0.7022767074516658,0.0600167164184878,0.1857555190316782,0.3715110380633565,0.5572665570950348,0.7982892433559238,0.5321928289039491,0.2702339279573861,0.2348430098272223,1.118352150354197,0.2687269440411953,0.031216925667386,0.0416225675565147,-0.0531148893977777,-0.09473745695429239,-0.16416138068585007,-0.01165037066681926,-0.17581175135266933,-0.058304004330443845,-2565.376190539529,-0.093192616038765,-0.01080265802789265,-0.10399527406665765,-0.025986589551738597,-1143.4099402764982,-0.026243651929749867,-0.002546115426001963,-0.02878976735575183,0.007855888468169023,345.659092599437,-1121.0423460721968,274.7089458729968,640.9875403703263,-1458.9568370961026,-3250.3953375798314,-230.67733920302135,-1845.2137975675469,-213.89262895227446,-519.6243082090474,-50.41308543483887,-1871.7444811188088,-1845.2137975675469,-1458.9568370961026,False,1,,inf,True,,,False,2.7755575615628914e-16,2.498001805406602e-16,3.122502256758253e-17,30-40%,False
ev_ebitda_proxy,NEW-VALUE-EVEBITDA,0.0008008593080198,0.0713887252898342,-0.0132877677130588,0.0293191664227842,0.1083116924043785,-0.0469547771806463,0.1447448205205299,0.2894896410410599,0.4342344615615898,0.992356472543558,0.6855903160989492,0.2008492921333746,0.235631725924225,1.1227321984108318,0.2706694702477373,-0.0381677101566253,-0.0508902802088337,-0.0531148893977777,-0.002224609188943995,-0.0009713294581802391,-0.007706968336311551,-0.00867829779449179,-0.029350374111938162,-1291.4164609252791,-0.0010955412100824872,-0.0016403074528302968,-0.002735848662912784,-0.026676272002727607,-1173.7559681200148,-0.0013651343986642974,-0.0020439579156273585,-0.003409092314291656,-0.0269792316458481,-1187.0861924173164,-1217.4195404875368,-335.87584937830263,-783.7103152160389,-34.25898150973752,-19.232323271968735,-152.5979730589687,-21.691715959633246,-32.478087566039875,-27.029661093553088,-40.4703667294217,-22.651233441718357,-21.691715959633246,-34.25898150973752,False,0,,,False,,,False,1.0408340855860843e-17,8.413408858487514e-17,5.594483210025203e-17,<=30%,True
asset_growth,F-AG260921-T10,0.0004164229567799,0.0557261276349645,-0.0608296683437026,-0.1850682471442706,-0.2063279988647066,-0.0270897037358503,0.144859009348719,0.2897180186974381,0.4345770280461571,1.0,0.6916291292098146,0.2000483830682915,0.2337974769039975,1.1361539615824707,0.267572291376785,-0.0389686192217084,-0.051958158962278,-0.0531148893977777,-0.0011567304354997004,-0.0010397121205759103,-0.00018232838160220726,-0.0012220405021781176,-0.026528997707119133,-1167.2758991132418,-0.0011694549809397768,-0.0012708194020709196,-0.002440274383010696,-0.027077202953493792,-1191.3969299537268,-0.0014572370326899808,-0.0015835454333355593,-0.0030407824660255403,-0.02734743159085047,-1203.2869899974207,-1187.3199396881298,-342.9238491510339,-800.155648019081,-17.813648706695385,-20.586299987403024,-3.610101955723704,-23.15520862260758,-25.162224161004207,-28.85329324726162,-31.354199580044074,-24.19826728575741,-23.15520862260758,-17.813648706695385,False,0,,,False,,,False,1.7564075194265172e-17,3.903127820947816e-18,4.0332320816460765e-17,<=30%,True
quality_net_margin_tsrank378,REPORT-HIST-NETMARGIN-6Q-10D-20260910,7.722337560115373e-08,0.1952297690639394,-0.042827378149952,-0.0844548398390843,-0.1432593908087293,-0.0155173937935048,0.1538302989036332,0.3076605978072664,0.4614908967108997,1.0,0.6962692588573425,0.1991809961236991,0.2445456188911843,1.1606166353172855,0.2672743511630221,-0.0398360061663008,-0.0531146748884011,-0.0531148893977777,-2.1450937659484026e-07,-0.013949740270098505,0.01326920289778688,-0.0006805373723116232,-0.026863579261740773,-1181.997487516594,-0.0066899613382414005,0.0048073866591422584,-0.001882574679099142,-0.027404496049795158,-1205.797826190987,-0.0058285973324832445,0.003482754539130735,-0.0023458427933525094,-0.027612966701209173,-1214.9705348532036,-1200.9219495202615,-350.55685426344706,-817.9659932813769,-0.0033034443995605396,-276.2048573479504,262.73021737618024,-132.46123449717973,95.18625585101671,-115.40622718316824,68.95853987478856,-174.69077300943277,-132.46123449717973,-0.0033034443995605396,False,0,,,False,,,False,2.3201926491189795e-17,4.206704429243757e-17,9.540979117872439e-18,<=30%,True
growth_revenue,NEW-GROWTH-REV-TTM,3.918294338255119e-05,0.0760952300449054,-0.0253722450626663,-0.1468562201502424,-0.1939210157148176,0.0142546297695445,0.1490972484317449,0.2981944968634899,0.4472917452952348,1.0,0.6986807595346973,0.1992624663737136,0.2373926614865396,1.1522841148450236,0.2621009666176014,-0.0397545359162863,-0.0530060478883818,-0.0531148893977777,-0.00010884150939589887,-0.0034028826269363595,0.00300376738367206,-0.00039911524326429924,-0.026682625803659824,-1174.0355353610323,-0.003808526572380146,0.001415177817029845,-0.002393348755350301,-0.027580030884098525,-1213.5213589003351,-0.004442319266828839,0.0014600099900439693,-0.002982309276784869,-0.02784506311874408,-1225.1827772247395,-1204.2465571620357,-349.83991606331944,-816.2931374810796,-1.6761592446968425,-67.37707601333992,59.47459419670679,-75.4088261331269,28.020520777190928,-87.95792148321101,28.908197802870593,-76.91460787655927,-75.4088261331269,-1.6761592446968425,False,0,,,False,,,False,7.589415207398531e-19,8.673617379884035e-19,6.895525817007808e-17,<=30%,True
turn_bias,HT13-TURN-BIAS-1M,0.0167861011265909,0.2618770320046995,0.0537205690203976,0.0728957037946297,0.2598618207866506,0.0330799499807941,0.1658439638202968,0.3316879276405937,0.4975318914608906,0.8501532137833938,0.5667688091889292,0.2341518792553978,0.2251182677955295,1.1080850172908627,0.2681191530146424,-0.0048651230346022,-0.0064868307128029,-0.0531148893977777,-0.0466280586849748,-0.08053015523742652,-0.05715222886084949,-0.13768238409827602,-0.06520048820062566,-2868.821480827529,-0.03084668336923085,-0.024936124684013405,-0.05578280805324426,-0.028345678980361375,-1247.2098751359006,-0.015310106302903949,-0.007945064347150498,-0.023255170650054446,-0.013708242148925956,-603.1626545527421,-1573.0646701720573,-42.813082704499365,-99.89719297716465,-718.0721037486118,-1594.497073701045,-1131.6141314448198,-610.7643307107709,-493.73526874346544,-303.14010479749817,-157.31227407357986,-836.1338364031047,-610.7643307107709,-718.0721037486118,False,0,,,False,,,False,2.7755575615628914e-16,2.42861286636753e-16,4.5102810375396984e-17,<=30%,True
book_to_market_lf_div_oper_main_profit_ttm,F-N34-260921-T10,0.0074434090030613,0.062147002051505,0.1035771955167458,0.7572243354545328,0.6879380894068409,0.0401430166860854,0.1312601692110595,0.2625203384221191,0.3937805076331787,0.8522295758959254,0.649267467060464,0.2146879373313777,0.2164436806585782,1.0669807264548474,0.2797966899614029,-0.0243290649586223,-0.032438753278163,-0.0531148893977777,-0.020676136119614698,0.00678475080525417,-0.1434760128913907,-0.13669126208613652,-0.07773044457784295,-3420.1395614250896,0.007711909383992917,-0.03674626026750566,-0.029034350883512743,-0.029284834536662245,-1288.5327196131389,0.005032632978939562,-0.012630261021076462,-0.007597628042136901,-0.019638309258043114,-864.085607353897,-1857.5859627973753,-214.09577163587625,-499.55680048371016,-318.4124962420663,134.33806594403256,-2840.8250552495356,152.69580580305976,-727.575953296612,99.64613298300333,-250.07916821731393,128.89333491003188,152.69580580305976,-318.4124962420663,False,0,,,False,,,False,2.7755575615628914e-17,4.163336342344337e-17,8.673617379884035e-19,<=30%,False
