key,name,s_i,seat_turn,corr_size,corr_pool,seat_net,size_neutral_net,pool_turn,T2,T3,dNA,dNB_steady,dNB_first,Tstar_K1,NC6_2_K1,NC6_3_K1,dNC2_K1,dNC3_K1,dNC_exp_K1,dComb_K1,dpoints_K1,Tstar_K2,NC6_2_K2,NC6_3_K2,dNC2_K2,dNC3_K2,dNC_exp_K2,dComb_K2,dpoints_K2,Tstar_K3,NC6_2_K3,NC6_3_K3,dNC2_K3,dNC3_K3,dNC_exp_K3,dComb_K3,dpoints_K3,dpoints_mean,turn_bucket,size_pass,gate_pass
quality_roic,REPORT-ROIC-TTM-10D-20260910,0.0003397175131927,0.0863224004778938,-0.3338690912166975,-0.3008719202804814,-0.0969217005413371,-0.0158337392759754,0.1452016704857963,0.2904033409715927,0.4356050114573891,-0.0391284222291818,-0.0521712296389091,-0.0531148893977777,0.3012407605865208,0.953546966412982,0.6567052315739424,-0.04645303358701802,-0.045395538614262376,-0.046329623923697445,-0.04693394558511839,-2065.093605745209,0.34080343733333335,1.0,0.7193972680057229,0.0,-0.07491209228350892,-0.008742241169485491,-0.030019623345723015,-1320.8634272118127,0.42466909615544246,1.0,0.8964281286924802,0.0,-0.0933466245824136,-0.010893551088767668,-0.030987712809399992,-1363.4593636135996,-1583.1387988568738,<=30%,True,False
cash_conversion,NONHT-CASH-CONVERSION,6.753108347216977e-05,0.0690960130391569,-0.1108370441261261,-0.0407062170474297,-0.0041190607534847,0.01874992533256,0.1442674037312581,0.2885348074625162,0.4328022111937744,-0.0396954772910996,-0.0529273030547995,-0.0531148893977777,0.3012407605865208,0.9458013628258143,0.6555890924519976,-0.054198637174185715,-0.046511677736207235,-0.05330156900777363,-0.05044935758089787,-2219.771733559506,0.34080343733333335,1.0,0.7300711735401575,0.0,-0.06423818674907433,-0.007496596393616974,-0.029837119904527382,-1312.8332757992048,0.42466909615544246,1.0,0.9097286923582255,0.0,-0.08004606091666833,-0.009341375308975193,-0.03066727041643858,-1349.3598983232976,-1627.3216358940028,<=30%,True,False
paper_composite_nomcap,PAPER-DERIVED-COMPOSITE-NOMCAP,0.0021971885446367,0.0612057368774633,-0.0499366622581717,0.2759346487210236,0.0042586021568879,-0.0027364741457223,0.1372512806008226,0.2745025612016453,0.411753841802468,-0.0352586909136735,-0.047011587884898,-0.0531148893977777,0.3012407605865208,0.9041699925741336,0.6587698042714758,-0.09583000742586645,-0.043330965916729025,-0.08970336928175011,-0.06387231011923655,-2810.3816452464084,0.34080343733333335,0.9907958887207198,0.7218846224118808,-0.009204111279280225,-0.07242473787735104,-0.016581958403275088,-0.03096767522392279,-1362.5777098526028,0.42466909615544246,1.0,0.8995275767372138,0.0,-0.09024717653768,-0.010531845501947256,-0.028245124418325267,-1242.7854744063118,-1805.2482765017742,<=30%,True,False
t10_size_plus_wc_mcap,T10-SIZE-PLUS-WC-MCAP,0.030048383106818,0.3229184472806254,0.4322414528549345,0.5694033407288264,0.164659040507853,0.057837269837595,0.1879324376622034,0.3758648753244069,0.5637973129866104,0.0227646310908708,0.0303528414544945,-0.0531148893977777,0.3012407605865208,0.7622861617864746,0.5081907745243163,-0.23771383821352543,-0.19390999566388856,-0.2101250470435573,-0.07937985044235356,-3492.7134194635564,0.34080343733333335,0.8572727329051008,0.5715151552700671,-0.14272726709489925,-0.2227942050191647,-0.1354290794073958,-0.04576666500608087,-2013.7332602675583,0.42466909615544246,1.0,0.7121548606632503,0.0,-0.27761989261164355,-0.0323982414677788,0.0005972120667467728,26.277330936858004,-1826.7231162647522,30-40%,True,False
quality_asset_turnover_tsrank378,REPORT-HIST-ASSETTURN-6Q-10D-20260910,0.0001316120412948,0.2999084506845119,-0.0015709788824995,-0.063696683510355,-0.0299738113919812,-0.0489305566675046,0.1654142620141445,0.3308285240282891,0.4962427860424337,-0.0395619752956356,-0.0527493003941808,-0.0531148893977777,0.3012407605865208,0.9176485072212192,0.6117656714808127,-0.08235149277878084,-0.09033509870739209,-0.07368099553264394,-0.05953109818678017,-2619.3683202183274,0.34080343733333335,1.0,0.6836997146056553,0.0,-0.11060964568357656,-0.012908145651273385,-0.03218331574016342,-1416.0658925671905,0.42466909615544246,1.0,0.8519460429013677,0.0,-0.13782871037352618,-0.016084610500590506,-0.033612724922356126,-1478.9598965836694,-1838.1313697897292,<=30%,True,False
book_to_market_lf_div_oper_main_profit_ttm,F-N34-260921-T10,0.0074434090030613,0.062147002051505,0.7572243354545328,0.6879380894068409,0.1035771955167458,0.0401430166860854,0.1312601692110595,0.2625203384221191,0.3937805076331787,-0.0243290649586223,-0.032438753278163,-0.0531148893977777,0.3012407605865208,0.8522295758959253,0.6492674670604639,-0.1477704241040747,-0.05283330312774093,-0.13669126208613655,-0.07773044457784295,-3420.1395614250896,0.34080343733333335,0.9740324484198397,0.7420624659211326,-0.025967551580160286,-0.05224689436809926,-0.029034350883512767,-0.029284834536662255,-1288.5327196131393,0.42466909615544246,1.0,0.9246708283208498,0.0,-0.06510392495404405,-0.00759762804213694,-0.019638309258043135,-864.0856073538979,-1857.5859627973757,<=30%,False,False
t10_nomcap_plus_impact,T10-NOMCAP-PLUS-IMPACT,0.0305883800314532,0.3466206607389558,0.3495413153569772,0.5588320026352996,0.1675585055430357,0.060996910819627,0.1942038935352129,0.3884077870704258,0.5826116806056387,0.0238896246838609,0.0318528329118145,-0.0531148893977777,0.3012407605865208,0.7507537066639078,0.5005024711092718,-0.24924629333609216,-0.201598299078933,-0.2178890042400503,-0.08212363545211539,-3613.4399598930772,0.34080343733333335,0.833591487120484,0.5557276580803227,-0.16640851287951597,-0.23858170220890917,-0.1554278914725046,-0.054016134706719815,-2376.709927095672,0.42466909615544246,1.0,0.6924823414698248,0.0,-0.29729241180506905,-0.03469402445765156,0.0003141054499640524,13.820639798418306,-1992.1097490634436,30-40%,True,False
reversal_chip_turn_paper,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,0.028790393072166,0.3602111128891254,0.272306007949268,0.5185169898442898,0.1258423028960593,0.042245426376933,0.1944198653961361,0.3888397307922723,0.5832595961884084,0.0201438185186791,0.0268584246915722,-0.0531148893977777,0.3012407605865208,0.7569147821743112,0.5046098547828741,-0.24308521782568882,-0.1974909154053307,-0.2116288204029288,-0.08180375683553187,-3599.3653007634025,0.34080343733333335,0.837986260092338,0.5586575067282253,-0.162013739907662,-0.23565185356100649,-0.15171650569777392,-0.05484321521821217,-2413.1014696013353,0.42466909615544246,1.0,0.6961331737117549,0.0,-0.29364157956313897,-0.03426797233501832,-0.001991375204972154,-87.62050901877477,-2033.3624264611708,30-40%,True,False
reversal_chip_turn_size_eq,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,0.028106175530499,0.3590894832998754,0.4434882475931719,0.5643371698950422,0.167844664499605,0.0343099921721446,0.1950514066213223,0.3901028132426447,0.585154219863967,0.018718365306873,0.0249578204091641,-0.0531148893977777,0.3012407605865208,0.7479298833652865,0.49861992224352436,-0.25207011663471346,-0.20348084794468047,-0.22020727432026493,-0.0866143632395372,-3811.0319825396364,0.34080343733333335,0.8389537327015265,0.5593024884676844,-0.1610462672984735,-0.23500687182154745,-0.15089947507931423,-0.05542585358110937,-2438.7375575688125,0.42466909615544246,1.0,0.6969368739750972,0.0,-0.29283787929979666,-0.03417418051428627,-0.0028994710268467876,-127.57672518125865,-2125.7820884299026,30-40%,True,False
chip250,NONHT-CHIP-COST-250,0.0127060695655824,0.2433674611767964,0.1247164512112263,0.294841806926014,0.0606935862877017,-0.0121568084221175,0.185554626154218,0.371109252308436,0.556663878462654,-0.0133651887867032,-0.0178202517156043,-0.0531148893977777,0.3012407605865208,0.8275446748030921,0.5516964498687281,-0.17245532519690787,-0.1504043203194767,-0.14977368200975222,-0.07630828276219064,-3357.564441536388,0.34080343733333335,0.9107957938262153,0.6071971958841436,-0.08920420617378466,-0.18711216440508827,-0.09022885445951451,-0.049513110364583675,-2178.576856041682,0.42466909615544246,1.0,0.7566176162479032,0.0,-0.2331571370269906,-0.027209437891049803,-0.021154372908774557,-930.7924079860805,-2155.6445685213835,<=30%,True,False
