candidate,formula,finite_share,periods,rank_ic,ic_ir,win,s_i,direction,seat_turnover,seat_gross,seat_net,corr_size_only,corr_impact60,corr_t10_size_plus_impact_bm,corr_book_to_market_lf_minus_size,corr_book_to_market_lf_plus_impact,corr_max_abs,corr_max_abs_seat,tag,delta_comb,delta_points,pool_na,pool_nc,pool_comb,pool_net,pool_gross,pool_turnover,pool_monthly_turnover,pool_sr,pool_dd,raw_c
s902:F-NET04,"WMA((((LWR1/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV),30)",0.8394501081248069,120,0.05266245063602762,0.30617817096118977,0.6666666666666666,0.01074939520938192,1,0.12469695011947277,0.2105410261180798,0.1916868472600155,0.995917870274365,0.7454732655126435,0.5670243777410934,0.7105391202135816,0.5653821884015291,0.995917870274365,size_only,replace-SIZE,0.0002522612316909201,11.099494194400483,0.24027830844845482,1.0,0.49805566168969095,0.2514785479815946,0.27355753564583707,0.1460250506894345,0.292050101378869,1.1396288062679756,0.28804203583335586,0.6251049247779326
s903:F-NET01,(1/(RATIO_MARKET_CAP_TOTAL)),0.8530892801977139,120,0.05598298454126014,0.27726291988502755,0.675,0.010477353886507,1,0.08638982189633132,0.23005787034487768,0.2169957292741524,0.9999989678049295,0.7512934864944555,0.5653122678544265,0.7202904312623616,0.5743280444365015,0.9999989678049295,size_only,replace-SIZE,0.00011624057025344525,5.114585091151591,0.23959820514126748,1.0,0.4979196410282535,0.24533588543439408,0.2670544924918601,0.14364158106789687,0.28728316213579375,1.1387300267549634,0.2802065427786292,0.6181110893072246
s902:F-NET02,"WMA((0.01/RATIO_A_SHARE_MV),30)",0.8412279888785913,120,0.05060576467734,0.2763859151450027,0.6916666666666667,0.009674148402521827,1,0.05395683294527721,0.20246359317654794,0.19430532003522202,0.9976471915393239,0.7543453085861953,0.5469836150854841,0.7146030927454299,0.5741495439886852,0.9976471915393239,size_only,replace-SIZE,-0.00028536217173907863,-12.55593555651946,0.23759019143130458,1.0,0.49751803828626096,0.24855657682914073,0.2680282043208697,0.12878060510402764,0.2575612102080553,1.1430765802021767,0.2812681545763198,0.6274092717832548
s902:F-NET05,"WMA((WMA(TS_MEDIAN((MASS/RATIO_A_SHARE_MV),20),30)/RATIO_A_SHARE_MV),30)",0.8124374420759963,120,0.047642882264976386,0.2863354835836143,0.6833333333333333,0.009321929283983798,1,0.04310898871257506,0.1933280780317257,0.18680999893838435,0.9950570007992438,0.7538625625345398,0.5217992139576308,0.7072053876958834,0.5693670120290995,0.9950570007992438,size_only,replace-SIZE,-0.000461471731008134,-20.304756164357897,0.23670964363495953,1.0,0.4973419287269919,0.2521899762277395,0.27029622507089957,0.11975032303677305,0.2395006460735461,1.1434034641300659,0.2863167176190643,0.6309396695436389
s903:F-NET02,"(1/(TS_MIN(RATIO_MARKET_CAP_TOTAL,40)))",0.8371949335804757,120,0.04410788535117049,0.2557301298052557,0.6583333333333333,0.007425812537141026,1,0.049746316950421504,0.18191592071710372,0.17439427759419998,0.9916048598876396,0.7425134753311078,0.5026672450297914,0.6922542217556767,0.5539268560611457,0.9916048598876396,size_only,replace-SIZE,-0.0014095301044295128,-62.01932459489856,0.23196935176785258,1.0,0.4963938703535705,0.245764004953106,0.2647347020559814,0.12546757343171555,0.2509351468634311,1.136258917010898,0.2805124230521371,0.6175043668229026
s903:F-NET03,(1/(A_SHARE_MARKET_VAL_IN_CIRCULATION)),0.8530892801977139,120,0.047487212051190233,0.2557621909731678,0.5916666666666667,0.007186048093473401,1,0.07068046620440327,0.1317743011227437,0.12108741463263792,0.9353301941380252,0.7724593945216118,0.5524338142823637,0.6405000589957452,0.5511604374408756,0.9353301941380252,size_only,replace-SIZE,-0.001529412326263302,-67.29414235558528,0.23136994065868352,1.0,0.49627398813173673,0.24205460216650543,0.2641671474026186,0.1462469923023357,0.2924939846046714,1.140996612385916,0.27054801672233386,0.6217280313792557
s902:F-NET01,(VOL120-RATIO_A_SHARE_MV),0.8047652147049738,120,0.056977128809129404,0.09667088414969553,0.4083333333333333,0.002249112012468265,1,0.08413674825849149,0.2346180172198451,0.2218965408831612,0.9999989320484678,0.7539736409081284,0.5688460519460146,0.7194149050371187,0.5750022789863523,0.9999989320484678,size_only,replace-SIZE,-0.003997880366765905,-175.9067361376998,0.21902760045617065,1.0,0.49380552009123413,0.23083056485763942,0.25378366086952897,0.15180619055482517,0.30361238110965033,1.1388204208657464,0.24994736525629047,0.6061307369728525
s903:F-NET04,"WMA(POWER(TOTAL_ASSETS,(-1)),20)",0.9745551436515292,120,0.013121627878515564,0.1088383839272246,0.4166666666666667,0.0005950569886633545,1,0.01162332362519894,0.028747287601468274,0.026989841069338195,0.7446132948551184,0.582820544457549,0.23418765444934633,0.1890566021901329,0.09875674590433853,0.7446132948551184,size_only,replace-SIZE,-0.00482490787866835,-212.29594666140738,0.2148924628966584,1.0,0.4929784925793317,0.24161618105886667,0.2645685254847179,0.15180121974769314,0.3036024394953863,1.1482951389571452,0.2662952543434136,0.6218243946721165
s903:F-NET05,"(1/(TS_MIN(BS_TOTAL_CUR_ASSETS,40)))",0.9546354649366698,120,0.015453183976236297,-0.0076388896302825885,0.15,1.7706775024638077e-05,0,0.015832608774585918,0.039822957850258245,0.03742906740354086,-0.7150141398837854,-0.542019486922923,-0.2276961950098541,-0.2096403833256438,-0.11631870327468162,0.7150141398837854,size_only,replace-SIZE,-0.025198395446310196,-1108.7293996376486,0.2134490873625616,0.9553670834203944,0.47260500501168984,0.220936123944683,0.24388778758621266,0.15179671720588395,0.3035934344117679,1.118180348073923,0.24631175269093708,0.5732202500522366
s902:F-NET03,"WMA(((((((LWR1/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV)/RATIO_A_SHARE_MV),30)",0.8394501081248069,120,0.05069611662487016,0.2713008878525954,0.55,0.007564645798053298,1,0.08175881462798303,0.20554005001274578,0.19317811724099473,0.9974669278699676,0.7491786846895586,0.5521062732208094,0.7104623738387964,0.5677267547945483,0.9974669278699676,size_only,replace-SIZE,,,,,,,,,,,,
