factor_a_name,factor_a_handler,factor_a_platform_net_excess_pct,factor_b_name,factor_b_handler,factor_b_platform_net_excess_pct,correlation,abs_correlation,days,common_stocks_mean
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,OSR2-DD120,drawdown120,4.791456,0.4798889047842654,0.4798889047842654,1211,4404.062758051197
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,NONHT-CHIP-COST-250,chip250,4.279336,0.7954806558888866,0.7954806558888866,1211,4404.062758051197
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.5659036867697422,0.5659036867697422,1211,4403.682080924856
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.01833807902790147,0.01833807902790147,1211,4402.837324525186
COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,12.774432000000001,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,0.187260828686437,0.187260828686437,1211,4404.062758051197
HT13-TURN-BIAS-1M,turn_bias,6.428368,OSR2-RET40,reversal40,5.030975999999999,-0.3663836320436754,0.3663836320436754,1211,4433.262592898431
HT13-TURN-BIAS-1M,turn_bias,6.428368,OSR2-DD120,drawdown120,4.791456,-0.15018858416707542,0.15018858416707542,1211,4433.262592898431
HT13-TURN-BIAS-1M,turn_bias,6.428368,NONHT-CHIP-COST-250,chip250,4.279336,-0.40255171564552183,0.40255171564552183,1211,4433.262592898431
HT13-TURN-BIAS-1M,turn_bias,6.428368,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,-0.23694063922024178,0.23694063922024178,1211,4428.781998348472
HT13-TURN-BIAS-1M,turn_bias,6.428368,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,-0.014705359544279024,0.014705359544279024,1211,4426.990090834021
HT13-TURN-BIAS-1M,turn_bias,6.428368,NONHT-RESVOL-LOW,residual_volatility,0.37087199999999987,-0.14393196795336508,0.14393196795336508,1211,4433.262592898431
OSR2-RET40,reversal40,5.030975999999999,OSR2-DD120,drawdown120,4.791456,0.6024953217381872,0.6024953217381872,1211,4886.479768786127
OSR2-RET40,reversal40,5.030975999999999,NONHT-CHIP-COST-250,chip250,4.279336,0.5848226605133485,0.5848226605133485,1211,4751.623451692816
OSR2-RET40,reversal40,5.030975999999999,OSR3-RET40-BP-CFP,reversal_bm_cfp,3.560943999999999,0.6024089775651188,0.6024089775651188,1211,4952.846407927333
OSR2-RET40,reversal40,5.030975999999999,NEW-VALUE-EVEBITDA,ev_ebitda_proxy,3.3196399999999997,0.016486659617475367,0.016486659617475367,1211,4883.009083402147
