candidate_key,cycle,name,handler,formula,direction,platform_net_excess_pct,local_net_excess_pct,alignment_quality,formula_duplicate_count,valid_signal_days,signal_days,valid_row_fraction
C10-018,10,T10-SIZE-PLUS-WC-MCAP,t10_size_plus_wc_mcap,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP))) + RANK((CURRENT_ASSETS-INVENTORY-CURRENT_LIABILITIES)/(ABS(MARKET_CAP)+1))) / 5",1,14.581016,12.299403953628113,aligned,1,120,120,0.8863932351529965
C10-022,10,T10-NOMCAP-PLUS-IMPACT,t10_nomcap_plus_impact,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(SUM((HIGH-LOW)/(DELAY(CLOSE,1)+0.000001),60)/(SUM(AMOUNT,60)+1))) / 4",1,14.225216,10.910325711014758,aligned,1,120,120,0.8872174417496586
C10-034,10,VERIFY10-G260910-13,impact_abs_return60,"RANK(SUM(ABS(CLOSE / DELAY(CLOSE,1) - 1) / (AMOUNT + 1),60) / 60)",1,13.944184,10.385244844377315,aligned,1,120,120,0.9900242580886766
C10-023,10,COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ,reversal_chip_turn_paper,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 4",1,12.774432000000001,8.684765339695533,aligned,1,120,120,0.8813577173656819
C10-026,10,OSR2-RET40-TURN-BIAS-PAPER-EQ,reversal_turn_paper,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",1,11.643647999999999,8.667626215381578,aligned,1,120,120,0.8813577173656819
C10-035,10,paper-derived-composite,paper_composite,ZSCORE(RANK(book_to_market_ratio_lyr))+ZSCORE(RANK(oper_roe_lyr))-ZSCORE(RANK(gr_total_asset_lyr))-ZSCORE(RANK(MARKET_CAP)),1,11.202328,9.515744354688325,aligned,1,120,120,0.9939630628386478
C10-017,10,COMBO-DIRECT-OSR2-CHIP-TURN-EQ,reversal_chip_turn_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504))) / 3",1,8.662416,6.130629086441827,aligned,1,120,120,0.8872174417496586
C10-016,10,COMBO-DIRECT-OSR2-CHIP-EQ,reversal_chip_eq,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)) / 2",1,7.8760639999999995,3.575875281052064,aligned,1,120,120,0.9517028308905277
C10-024,10,OSR2-RET40-TURN-BIAS-EQ,reversal_turn_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",1,7.395975999999998,4.989673652263361,aligned,1,120,120,0.8872174417496586
C10-025,10,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,reversal_turn_paper_nomcap,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)))) / 3",1,5.224711999999999,2.9208838100258103,aligned,1,120,120,0.8813577173656819
C10-029,10,OSR2-RET40,reversal40,"RANK(1 - RETURNS(CLOSE,40))",1,5.030975999999999,1.7140200901006124,aligned,1,120,120,0.993486594522119
C10-027,10,NONHT-CHIP-COST-250,chip250,"RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1)",1,4.279336,2.63332467513993,aligned,1,120,120,0.9517028308905277
C10-028,10,OSR2-DD120,drawdown120,"RANK(1 - CLOSE / TS_MAX(CLOSE,120))",1,4.246232,1.8107466161883954,aligned,1,120,120,0.9790638149898604
C10-015,10,HT-WREV-LOWTURN-21D,weighted_reversal_lowturn,"(RANK(-SUM(TURNOVER * RETURNS(CLOSE,1),21) / SUM(TURNOVER,21)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",1,2.7122639999999993,3.3222063612874013,aligned,1,120,120,0.8872174417496586
