portfolio,cycle,component_count,periods,first_signal_date,last_signal_date,mean_stock_count,rank_ic,ic_mean,ic_ir,gross_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,sharpe_after_cost,max_drawdown_pct,monthly_win_rate_pct,handlers
single_residual_volatility,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4428.091286307054,0.05837336056334273,0.019673748625709905,0.1355141865750478,4.653284069180912,3.98869129319495,1.206180247062153,3.447103822118759,0.8090954306719547,19.946095248480113,53.333333333333336,residual_volatility
single_momentum120,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4882.7427385892115,0.053505863888044985,0.025563699153338323,0.17490042749889864,6.03322977948558,25.31176828656364,7.654278729856845,-1.6210489503712648,0.3392510358518377,42.275902161265634,50.0,momentum120
single_fscore_interact,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4781.236514522821,0.05678566487357169,0.024407763629584158,0.22603187499573232,7.212132590535834,29.518293586216338,8.92633198047182,-1.714199389935986,0.38710862050076605,36.76772661379529,63.33333333333333,fscore_interact
single_asset_growth,5,1,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4987.294605809128,0.009747839202350596,0.0071329228817911886,0.08267410860452909,-1.7855029070198387,1.862546402983136,0.5632340322621003,-2.348736939281939,0.3150437313960761,39.669603562016434,43.333333333333336,asset_growth
four_core,10,4,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.10681871820435473,0.06255501420285345,0.40197986639890276,16.91432662183082,23.19715219906321,3.507409412498358,13.40691720933246,0.9310512394981607,27.33818080247782,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal"
single_book_to_market_lf_plus_impact,10,1,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4930.725,0.07594592677797048,0.04530019118551147,0.2989169419415658,14.217601276839268,8.955887282430806,1.3541301571035378,12.863471119735731,0.8917381296587074,27.95924275403774,66.66666666666666,book_to_market_lf_plus_impact
five_core_growth,10,5,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.09926939785150243,0.05816033453458448,0.3689357885667185,15.928778043091432,22.281689072054174,3.3689913876945914,12.55978665539684,0.9009571417908576,28.149782262227163,71.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth"
seven_without_residual_volatility,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4301.45,0.10938642708510832,0.061460821786036145,0.3842381812016974,16.650347187031514,27.221891157570905,4.115949943024721,12.534397244006792,0.9091528143393809,26.842296790844056,73.33333333333333,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,fscore_interact"
five_core_residual,10,5,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.11208713474716966,0.06208150813864618,0.38435829974788815,15.707965666321435,21.02944715489376,3.1796524098199366,12.5283132565015,0.9496350736072707,25.210237049703487,71.66666666666667,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,residual_volatility"
seven_without_fscore_interact,10,6,120,2021-09-07 00:00:00,2026-08-10 00:00:00,4393.208333333333,0.1064995930205465,0.05894357618401355,0.360362200938474,15.250274415129764,20.67648436631128,3.1262844361862654,12.123989978943497,0.9237185509343189,27.17654745952538,70.0,"reversal_chip_turn_paper,impact_abs_return60,book_to_market_lf_plus_impact,turn_signal,asset_growth,residual_volatility"
