raw_formula,formula,signature,scale_signature,gp_fitness,distinct_fields,historical_exact_match,historical_scale_match,formula_length,full_net_excess,full_gross_excess,full_turnover,full_annual_cost,size_rank_corr,decision,used_fields,train_periods,train_net_excess,train_gross_excess,train_turnover,train_annual_cost,valid_periods,valid_net_excess,valid_gross_excess,valid_turnover,valid_annual_cost,test_periods,test_net_excess,test_gross_excess,test_turnover,test_annual_cost,duplicate_of
"Div(Div(book_to_market_ratio_lf,oper_roe_lyr),Add(TsSum(Constant(-0.01),50),TsMad(Constant(-0.5),50)))","((BOOK_TO_MARKET_RATIO_LF/OPER_ROE_LYR)/(SUM((-0.01),50)+TS_MAD((-0.5),50)))","DIV(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR),ADD(MAD(MUL(-1,0.5),50),SUM(MUL(-1,0.01),50)))","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR)",0.06643741989519092,2,False,False,76,0.06643741989519092,0.07434332994009944,0.026143882423639297,0.007905910044908523,-0.01953749544918537,reject_scale_invariant_batch_duplicate,"book_to_market_ratio_lf,oper_roe_lyr",146.0,0.04330286636903678,0.05071981998339092,0.024526963010430336,0.007416953614354133,48.0,0.1385864812910557,0.14659534245729447,0.026484329253435135,0.008008861166238784,47.0,0.06439269392845479,0.07393770978805866,0.03156420588493347,0.009545015859603882,(((-0.01)*BOOK_TO_MARKET_RATIO_LF)/OPER_ROE_LYR)
"Div(Div(book_to_market_ratio_lf,oper_roe_lyr),Constant(-2.0))",((BOOK_TO_MARKET_RATIO_LF/OPER_ROE_LYR)/(-2)),"DIV(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR),MUL(-1,2))","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_ROE_LYR)",0.06643741989519092,2,False,False,45,0.06643741989519092,0.07434332994009944,0.026143882423639297,0.007905910044908523,-0.01953749544918537,reject_scale_invariant_batch_duplicate,"book_to_market_ratio_lf,oper_roe_lyr",146.0,0.04330286636903678,0.05071981998339092,0.024526963010430336,0.007416953614354133,48.0,0.1385864812910557,0.14659534245729447,0.026484329253435135,0.008008861166238784,47.0,0.06439269392845479,0.07393770978805866,0.03156420588493347,0.009545015859603882,(((-0.01)*BOOK_TO_MARKET_RATIO_LF)/OPER_ROE_LYR)
"Div(Div(book_to_market_ratio_lyr,Constant(-0.5)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LYR/(-0.5))/OPER_MAIN_PROFIT_TTM),"DIV(DIV(BOOK_TO_MARKET_RATIO_LYR,MUL(-1,0.5)),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LYR,OPER_MAIN_PROFIT_TTM)",0.06623930019573057,2,False,False,56,0.06623930019573057,0.08233591214255179,0.05322953686118126,0.016096611946821212,0.19647973775863647,reject_scale_invariant_batch_duplicate,"book_to_market_ratio_lyr,oper_main_profit_ttm",146.0,0.07179406099196983,0.08791602882620407,0.05331338569521904,0.016121967834234235,48.0,0.10683876383900644,0.12306222394108773,0.05364900827407837,0.0162234601020813,47.0,0.0069763547871975196,0.023409051654186653,0.05434092879295349,0.016432696866989133,((BOOK_TO_MARKET_RATIO_LYR/10)/OPER_MAIN_PROFIT_TTM)
"Div(Div(book_to_market_ratio_lyr,Constant(-1.0)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LYR/(-1))/OPER_MAIN_PROFIT_TTM),"DIV(DIV(BOOK_TO_MARKET_RATIO_LYR,MUL(-1,1)),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LYR,OPER_MAIN_PROFIT_TTM)",0.06623930019573057,2,False,False,54,0.06623930019573057,0.08233591214255179,0.05322953686118126,0.016096611946821212,0.19647973775863647,reject_scale_invariant_batch_duplicate,"book_to_market_ratio_lyr,oper_main_profit_ttm",146.0,0.07179406099196983,0.08791602882620407,0.05331338569521904,0.016121967834234235,48.0,0.10683876383900644,0.12306222394108773,0.05364900827407837,0.0162234601020813,47.0,0.0069763547871975196,0.023409051654186653,0.05434092879295349,0.016432696866989133,((BOOK_TO_MARKET_RATIO_LYR/10)/OPER_MAIN_PROFIT_TTM)
"Add(Div(book_to_market_ratio_lf,oper_main_profit_ttm),Constant(-5.0))",((BOOK_TO_MARKET_RATIO_LF/OPER_MAIN_PROFIT_TTM)+(-5)),"ADD(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),MUL(-1,5))","ADD(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),MUL(-1,5))",0.06589997930190375,2,False,False,53,0.06589997930190375,0.08499441799781135,0.06314298510551453,0.019094438695907594,-0.20272134244441986,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm",146.0,0.08510445137383187,0.10536061509014809,0.06698466837406158,0.020256163716316222,48.0,0.07277197853922845,0.0906544603407383,0.05913519114255905,0.017882481801509857,47.0,-0.001372457119125002,0.015948697290521986,0.05727894976735115,0.01732115440964699,
"Sub(Div(book_to_market_ratio_lf,oper_main_profit_ttm),Constant(1.0))",((BOOK_TO_MARKET_RATIO_LF/OPER_MAIN_PROFIT_TTM)-1),"SUB(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),1)","SUB(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),1)",0.06587660462005505,2,False,False,50,0.06587660462005505,0.08495073427303204,0.06307582557201385,0.019074129652976987,-0.20273378491401672,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm",146.0,0.08503669492496205,0.10527132618917179,0.06691346317529678,0.020234631264209747,48.0,0.07280569895803929,0.09068810753524303,0.05913494899868965,0.01788240857720375,47.0,-0.001302587596786784,0.0159676545160882,0.05711058899760246,0.017270242112874985,
"Div(book_to_market_ratio_lf,oper_main_profit_ttm)",(BOOK_TO_MARKET_RATIO_LF/OPER_MAIN_PROFIT_TTM),"DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,True,True,46,,,,,,reject_exact_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
"Div(Div(book_to_market_ratio_lf,Constant(30.0)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LF/30)/OPER_MAIN_PROFIT_TTM),"DIV(DIV(BOOK_TO_MARKET_RATIO_LF,30),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,True,51,,,,,,reject_scale_invariant_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
"Pow(Div(book_to_market_ratio_lf,oper_main_profit_ttm),Constant(5.0))","POWER((BOOK_TO_MARKET_RATIO_LF/OPER_MAIN_PROFIT_TTM),5)","POW(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),5)","POW(DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM),5)",0.0657600566542495,2,False,False,55,0.0657600566542495,0.084846289721762,0.06311585009098053,0.01908623306751251,-0.20273447036743164,reject_nonpositive_valid_or_test_net,"book_to_market_ratio_lf,oper_main_profit_ttm",146.0,0.0849258413192344,0.10516435234514002,0.06692629307508469,0.020238511025905608,48.0,0.07277324469387532,0.09066826812922955,0.05917666479945183,0.017895023435354235,47.0,-0.0015235272436699976,0.01578473856157445,0.05723632872104645,0.017308265805244447,
"Div(Div(book_to_market_ratio_lf,Constant(0.01)),oper_main_profit_ttm)",((BOOK_TO_MARKET_RATIO_LF/0.01)/OPER_MAIN_PROFIT_TTM),"DIV(DIV(BOOK_TO_MARKET_RATIO_LF,0.01),OPER_MAIN_PROFIT_TTM)","DIV(BOOK_TO_MARKET_RATIO_LF,OPER_MAIN_PROFIT_TTM)",0.0657600566542495,2,False,True,53,,,,,,reject_scale_invariant_historical_formula,"book_to_market_ratio_lf,oper_main_profit_ttm",,,,,,,,,,,,,,,,
