factor_id,factor_name,handler,formula,platform_net_excess_pct,local_net_excess_pct,local_net_positive,high_threshold,high_neighbor_count,high_neighbors,nearest_factor,nearest_correlation,nearest_abs_correlation,neighbor_rows_written
osr2-ret40-turn-bias-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-EQ,OSR2-RET40-TURN-BIAS-EQ,reversal_turn_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",7.395975999999998,,,0.8,16,COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.935579); T10-NOMCAP-PLUS-IMPACT (+0.871111); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.860749); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.860749); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.859480); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.856482); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+0.855185); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+0.855185); HT-WREV-LOWTURN-21D (+0.833129); HT13-TURN-BIAS-1M (-0.821641); HT13-TURN-BIAS-1M (-0.821641); HT13-TURN-BIAS-1M-POS (+0.821641); OSR2-RET40 (+0.818802); OSR2-RET40 (+0.818802); T10-SIZE-PLUS-WC-MCAP (+0.801220),COMBO-DIRECT-OSR2-CHIP-TURN-EQ,0.9355793808352878,0.9355793808352878,16
osr2-ret40-turn-bias-paper-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ,OSR2-RET40-TURN-BIAS-PAPER-EQ,reversal_turn_paper,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",11.643647999999999,,,0.8,15,OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+1.000000); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.946460); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+0.941491); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+0.941491); T10-ADD-BM-20260911 (+0.867864); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.863652); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.863652); T10-NOMCAP-PLUS-IMPACT (+0.860999); OSR2-RET40-TURN-BIAS-EQ (+0.860749); T10-SIZE-PLUS-WC-MCAP (+0.839560); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.829989); T10-SIZE-PLUS-IMPACT (+0.824737); T10-ADD-FSCORE-20260911 (+0.818097); T10-SIZE-PLUS-IMPACT-WC (+0.807917); T10-ADD-DD120-20260911 (+0.800711),OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,1.0,1.0,15
osr2-ret40-turn-bias-paper-2026-ytd-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD,reversal_turn_paper,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)) - ZSCORE(RANK(MARKET_CAP)))) / 3",7.699328,,,0.8,15,OSR2-RET40-TURN-BIAS-PAPER-EQ (+1.000000); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.946460); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+0.941491); OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+0.941491); T10-ADD-BM-20260911 (+0.867864); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ (+0.863652); COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ-2026YTD (+0.863652); T10-NOMCAP-PLUS-IMPACT (+0.860999); OSR2-RET40-TURN-BIAS-EQ (+0.860749); T10-SIZE-PLUS-WC-MCAP (+0.839560); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.829989); T10-SIZE-PLUS-IMPACT (+0.824737); T10-ADD-FSCORE-20260911 (+0.818097); T10-SIZE-PLUS-IMPACT-WC (+0.807917); T10-ADD-DD120-20260911 (+0.800711),OSR2-RET40-TURN-BIAS-PAPER-EQ,1.0,1.0,15
osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,reversal_turn_paper_nomcap,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)))) / 3",5.224711999999999,,,0.8,6,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD (+1.000000); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.941491); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.941491); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.897504); OSR2-RET40-TURN-BIAS-EQ (+0.855185); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.818818),OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD,1.0,1.0,6
osr2-ret40-turn-bias-paper-nomcap-2026-ytd-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ-2026-YTD,reversal_turn_paper_nomcap,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)))) / 3",4.672727999999999,,,0.8,6,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ (+1.000000); OSR2-RET40-TURN-BIAS-PAPER-EQ (+0.941491); OSR2-RET40-TURN-BIAS-PAPER-EQ-2026-YTD (+0.941491); COMBO-DIRECT-OSR2-CHIP-TURN-PAPER-EQ (+0.897504); OSR2-RET40-TURN-BIAS-EQ (+0.855185); COMBO-DIRECT-OSR2-CHIP-TURN-EQ (+0.818818),OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,1.0,1.0,6
osr3-ret40-value-candidates.report:OSR3-RET40-BP-CFP,OSR3-RET40-BP-CFP,reversal_bm_cfp,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm)) / 3",3.560943999999999,,,0.8,5,OSR4-RET40-BP-CFP-VAL2 (+0.961428); OSR4-RET40-BP-CFP-SP (+0.906791); OSR4-RET40-BP-CFP-PCF (+0.879124); OSR3-RET40-BP-EQ (+0.813702); OSR3-RET40-BP-MA63 (+0.804805),OSR4-RET40-BP-CFP-VAL2,0.9614277501278048,0.9614277501278048,5
osr3-ret40-value-candidates.report:OSR3-RET40-BP-EP-CFP,OSR3-RET40-BP-EP-CFP,reversal_bm_ep_cfp,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_ep_ttm) + RANK(ratio_cfp_ttm)) / 4",0.13803199999999993,,,0.8,0,,OSR3-RET40-BP-VAL2,0.7804267654297495,0.7804267654297495,1
osr3-ret40-value-candidates.report:OSR3-RET40-BP-EQ,OSR3-RET40-BP-EQ,reversal_bm_eq,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm)) / 2",3.160368,,,0.8,7,OSR3-RET40-BP-MA63 (+0.994014); OSR3-RET40-BP-VAL2 (+0.944494); OSR3-RET40-BP-REV2 (+0.940773); OSR3-RET40-BP-INTERACT (+0.890951); OSR4-RET40-BP-CFP-REV2 (+0.880339); OSR4-RET40-BP-CFP-REV3 (+0.866102); OSR3-RET40-BP-CFP (+0.813702),OSR3-RET40-BP-MA63,0.9940141968325672,0.9940141968325672,7
osr3-ret40-value-candidates.report:OSR3-RET40-BP-INTERACT,OSR3-RET40-BP-INTERACT,reversal_bm_interact,"RANK(1 - RETURNS(CLOSE,40)) * (0.5 + 0.5 * RANK(ratio_bm_ttm))",2.726032,,,0.8,9,OSR3-RET40-BP-REV2 (+0.985756); OSR4-RET40-BP-CFP-REV3 (+0.947385); OSR2-RET40 (+0.942864); OSR2-RET40 (+0.942864); OSR4-RET40-BP-CFP-REV2 (+0.892870); OSR3-RET40-BP-EQ (+0.890951); COMBO-DIRECT-OSR2-CHIP-EQ (+0.860170); OSR3-RET40-BP-MA63 (+0.859809); OSR3-RET40-BP-TSRANK756 (+0.837724),OSR3-RET40-BP-REV2,0.9857560176145608,0.9857560176145608,9
osr3-ret40-value-candidates.report:OSR3-RET40-BP-MA63,OSR3-RET40-BP-MA63,reversal_bm_ma63,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(MA(ratio_bm_ttm,63))) / 2",2.4111200000000004,,,0.8,8,OSR3-RET40-BP-EQ (+0.994014); OSR3-RET40-BP-VAL2 (+0.956769); OSR3-RET40-BP-REV2 (+0.917731); OSR4-RET40-BP-CFP-REV2 (+0.861697); OSR3-RET40-BP-INTERACT (+0.859809); OSR4-RET40-BP-CFP-REV3 (+0.839674); OSR3-RET40-BP-CFP (+0.804805); OSR4-RET40-BP-CFP-SP (+0.800315),OSR3-RET40-BP-EQ,0.9940141968325672,0.9940141968325672,8
