portfolio,cycle,component_count,components,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,selection_role,threshold
single_C5-008,5,1,C5-008,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4938.755186721992,0.024647448770017392,0.01747895622224266,5.394118772649407,25.605550000751858,7.743118320227362,-2.348999547577954,0.28200439040744163,47.050465451812094,51.66666666666667,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4816.678082191781,0.017641752090233758,0.017861664505594527,3.604775124440189,24.562387971212583,7.427666122494685,-3.8228909980544956,-0.30793670332870615,47.050465451812094,54.054054054054056,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5126.368421052632,0.03541409840421118,0.01689079401835453,8.144057432002523,27.197744677417074,8.224597990450924,-0.08054055844840119,1.0468625546137127,28.74786095890598,45.83333333333333,single_baseline,
single_C5-009,5,1,C5-009,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4955.078838174274,0.06810134339662002,0.033591036302151746,8.880453743096231,39.58368551638305,11.970106500154234,-3.089652757058002,0.2813737578959035,44.40215802742426,56.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4839.239726027397,0.06779659209952169,0.040871481185281666,9.5999776549804,38.41865944176931,11.617802615191039,-2.01782496021064,-0.25916190655384036,44.40215802742426,54.054054054054056,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5133.105263157895,0.0685696980216343,0.022402142060709965,7.774659099568983,41.36188320921455,12.507833482466479,-4.733174382897497,1.030385675778121,27.15164546197094,58.333333333333336,single_baseline,
single_C5-010,5,1,C5-010,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4950.954356846473,0.07918199881213103,0.03705650709557917,9.632568931109068,34.243361514827235,10.355192522083756,-0.7226235909746872,0.398809848451146,38.01084391380375,56.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4835.006849315068,0.08207031399867555,0.04680086018665882,12.858016667202921,33.715614503902145,10.195601825980008,2.6624148412229127,-0.11052434095823174,38.01084391380375,59.45945945945946,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5129.147368421052,0.07474311442017836,0.02208097497665678,4.67556504195431,35.04887011044974,10.598778321400003,-5.923213279445693,1.1527853191232849,24.01504668123312,50.0,single_baseline,
single_C5-011,5,1,C5-011,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4933.8589211618255,0.061548765095687775,0.03411029289228614,14.599175983615748,5.745718072286334,1.7375051450593875,12.86167083855636,0.8826872964140896,33.17663466069626,66.66666666666666,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4811.335616438356,0.06993002418899132,0.04501031810612399,17.154189347941657,5.883778207474709,1.779254529940352,15.374934818001304,0.34858715071292923,33.17663466069626,70.27027027027027,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5122.1578947368425,0.04866809322597915,0.01735867519523008,10.672523865809618,5.534994708051445,1.6737823997147567,8.99874146609486,1.6870418155350912,20.726343852030972,62.5,single_baseline,
single_C5-012,5,1,C5-012,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4983.186721991701,0.06543712667934017,0.03811040000783664,17.16204724697638,6.773126540605172,2.048193465879004,15.113853781097376,0.9091136579172961,35.70141089649071,75.0,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4879.178082191781,0.07225261645057866,0.04827899178201781,19.649593448749005,6.920651653998392,2.092805060169114,17.556788388579893,0.39378379048801293,35.70141089649071,83.78378378378379,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5143.031578947369,0.05496279503091045,0.022482880018042425,13.339081505304765,6.5479566306892,1.980102085120414,11.358979420184351,1.7109427161041055,23.004541936277423,62.5,single_baseline,
single_C5-013,5,1,C5-013,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4987.294605809128,-0.009747839202350596,-0.0071329228817911886,-4.585248144095496,2.134673353949065,0.6455252222341973,-5.230773366329694,0.21475314059901282,48.528339662018226,46.666666666666664,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4883.424657534247,-0.019046888074975503,-0.013854543990653606,-9.923317509861512,2.176885518271919,0.6582901807254283,-10.58160769058694,-0.6051996337274185,47.641796494054624,37.83783783783784,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5146.926315789474,0.004543330643999259,0.0031971474539342136,3.6185216180291135,2.070244261035235,0.626041864537055,2.9924797534920584,1.2801188674296873,19.7641035050645,58.333333333333336,single_baseline,
single_C5-014,5,1,C5-014,241,2021-09-07 00:00:00,2026-08-24 00:00:00,4957.248962655602,0.05738435475027647,0.030117160004052422,11.421247736308757,6.207002554852732,1.8769975725874661,9.54425016372129,0.7726131081863773,33.10821704881294,63.33333333333333,146,2021-09-07 00:00:00,2024-09-04 00:00:00,4850.732876712329,0.06721432799702975,0.04295962954086231,15.918791369613144,6.367113514274972,1.9254151267167514,13.993376242896394,0.29455282535517113,33.10821704881294,72.97297297297297,95,2024-09-11 00:00:00,2026-08-24 00:00:00,5120.9473684210525,0.042277237971055655,0.010380312084323535,4.509233310388339,5.962622669418789,1.8030970952322418,2.706136215156097,1.50288852616919,21.635635635401606,50.0,single_baseline,
greedy_0.70,10,2,"C10-032,C10-030",120,2021-09-07 00:00:00,2026-08-10 00:00:00,4930.725,0.07203575920434607,0.04931319890052697,18.700641718013657,8.8369326680939,1.3361442194157978,17.36449749859786,0.9609914160209739,30.422331422743053,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4808.698630136986,0.07470044700551472,0.058484897630367995,20.293126748465944,9.095343554550128,1.3752159454479793,18.917910803017964,0.42838193302189853,30.422331422743053,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5120.255319148936,0.06789698878976493,0.03506779449034834,16.227207521779256,8.441069182458826,1.2762896603877745,14.95091786139148,1.8191132513276886,20.19497856336233,62.5,greedy_combination,0.7
greedy_0.80,10,2,"C10-032,C10-030",120,2021-09-07 00:00:00,2026-08-10 00:00:00,4930.725,0.07203575920434607,0.04931319890052697,18.700641718013657,8.8369326680939,1.3361442194157978,17.36449749859786,0.9609914160209739,30.422331422743053,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4808.698630136986,0.07470044700551472,0.058484897630367995,20.293126748465944,9.095343554550128,1.3752159454479793,18.917910803017964,0.42838193302189853,30.422331422743053,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5120.255319148936,0.06789698878976493,0.03506779449034834,16.227207521779256,8.441069182458826,1.2762896603877745,14.95091786139148,1.8191132513276886,20.19497856336233,62.5,greedy_combination,0.8
greedy_0.85,10,2,"C10-032,C10-030",120,2021-09-07 00:00:00,2026-08-10 00:00:00,4930.725,0.07203575920434607,0.04931319890052697,18.700641718013657,8.8369326680939,1.3361442194157978,17.36449749859786,0.9609914160209739,30.422331422743053,71.66666666666667,73,2021-09-07 00:00:00,2024-08-28 00:00:00,4808.698630136986,0.07470044700551472,0.058484897630367995,20.293126748465944,9.095343554550128,1.3752159454479793,18.917910803017964,0.42838193302189853,30.422331422743053,77.77777777777779,47,2024-09-11 00:00:00,2026-08-10 00:00:00,5120.255319148936,0.06789698878976493,0.03506779449034834,16.227207521779256,8.441069182458826,1.2762896603877745,14.95091786139148,1.8191132513276886,20.19497856336233,62.5,greedy_combination,0.85
