candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min,cycle
C10-017,C10-034,0.09974052296965513,0.09974052296965513,120,0.16469879155790298,4422.416666666667,3623,10
C10-017,C10-035,0.12781688939718291,0.12781688939718291,120,0.1483231976464235,4393.208333333333,3590,10
C10-018,C10-019,0.9607085003817927,0.9607085003817927,120,0.010051146699457449,4418.308333333333,3620,10
C10-018,C10-020,0.9036572304995967,0.9036572304995967,120,0.017743384166726075,4418.308333333333,3620,10
C10-018,C10-021,0.8837428152075241,0.8837428152075241,120,0.02382102978228522,4418.308333333333,3620,10
C10-018,C10-022,0.9113880954601321,0.9113880954601321,120,0.015714054211285012,4418.308333333333,3620,10
C10-018,C10-023,0.8946452044583689,0.8946452044583689,120,0.017116032348690056,4393.208333333333,3590,10
C10-018,C10-024,0.8031674372180876,0.8031674372180876,120,0.0420748778742962,4418.308333333333,3620,10
C10-018,C10-025,0.726946902213814,0.726946902213814,120,0.05618669276720646,4393.208333333333,3590,10
C10-018,C10-026,0.8400796182290041,0.8400796182290041,120,0.036623636958521895,4393.208333333333,3590,10
C10-018,C10-027,0.7299828375027475,0.7299828375027475,120,0.04944845679042453,4418.308333333333,3620,10
C10-018,C10-028,0.4737970525655269,0.4737970525655269,120,0.13746747394632602,4418.308333333333,3620,10
C10-018,C10-029,0.6822473182907813,0.6822473182907813,120,0.07485789772355297,4418.308333333333,3620,10
C10-018,C10-030,0.3707061741006327,0.3707061741006327,120,0.11853874664199782,4418.308333333333,3620,10
C10-018,C10-031,0.420046516628595,0.420046516628595,120,0.12298911166953663,4418.308333333333,3620,10
C10-018,C10-032,0.43998152174260846,0.43998152174260846,120,0.13206725888388532,4418.308333333333,3620,10
C10-018,C10-033,0.4170696553358669,0.4170696553358669,120,0.10684526799475258,4418.308333333333,3620,10
C10-018,C10-034,0.3809515445372401,0.3809515445372401,120,0.12254856987962952,4418.308333333333,3620,10
C10-018,C10-035,0.3557570575054296,0.3557570575054296,120,0.11488407837190374,4393.208333333333,3590,10
