family,candidate,field,report_dedup,missing_mode,cov_method,cov_ddof,cov_precision,financial_unit_scale,finite_work_rows,finite_chart_rows,periods,local_rank_ic,local_gross_excess_pct,local_turnover_pct,local_net_excess_pct,platform_gross_excess_pct,local_gross_delta_pp,platform_net_excess_pct,platform_annual_cost_pct,local_net_using_platform_cost_pct,platform_cost_sensitivity_delta_pp,local_net_delta_pp,top20_overlap,platform_top_finite_count,error
D03,D03-cache-keep_missing_reports-centered-ddof1-float64-scale1,,cache,keep_missing_reports,centered,1,float64,1.0,52171,6955,15,-0.018688774972665027,-19.557704658416107,2.6785714285714284,-20.36770465841611,7.76,-27.317704658416105,-12.915088000000003,20.675088000000002,-40.23279265841611,-27.317704658416105,-7.452616658416106,3,7,
D03,D03-cache-keep_missing_reports-centered-ddof1-float32-scale1,,cache,keep_missing_reports,centered,1,float32,1.0,52171,6955,15,0.028370985241832198,10.832818038309743,2.946428571428571,9.941818038309743,7.76,3.0728180383097428,-12.915088000000003,20.675088000000002,-9.84226996169026,3.0728180383097428,22.856906038309745,3,7,
D03,D03-cache-keep_missing_reports-centered-ddof1-float64-scale1e+08,,cache,keep_missing_reports,centered,1,float64,100000000.0,52171,6955,15,-0.012359287597642236,-10.398998627197171,3.273809523809524,-11.388998627197171,7.76,-18.15899862719717,-12.915088000000003,20.675088000000002,-31.074086627197175,-18.15899862719717,1.526089372802831,3,7,
D03,D03-cache-keep_missing_reports-moment-ddof0-float64-scale1,,cache,keep_missing_reports,moment,0,float64,1.0,52171,6955,15,0.005985930327320859,4.146557378671937,4.042207792207792,2.9241937423083004,7.76,-3.613442621328063,-12.915088000000003,20.675088000000002,-16.528530621328066,-3.6134426213280637,15.839281742308303,3,7,
D03,D03-cache-exclude_missing_reports-centered-ddof1-float64-scale1,,cache,exclude_missing_reports,centered,1,float64,1.0,157669,14999,122,-0.0014072757791096801,-1.5515859478425047,16.313163420601434,-6.484686566232378,7.76,-9.311585947842504,-12.915088000000003,20.675088000000002,-22.226673947842507,-9.311585947842504,6.430401433767624,6,7,
D03,D03-cache-exclude_missing_reports-centered-ddof1-float32-scale1,,cache,exclude_missing_reports,centered,1,float32,1.0,157669,14999,122,0.001086601593260624,3.194819195747875,13.251555606927509,-0.812451219787004,7.76,-4.565180804252124,-12.915088000000003,20.675088000000002,-17.480268804252127,-4.565180804252124,12.102636780212999,4,7,
D03,D03-cache-exclude_missing_reports-centered-ddof1-float64-scale1e+08,,cache,exclude_missing_reports,centered,1,float64,100000000.0,157669,14999,122,0.0018961759577062563,8.009659707106941,14.13132322223231,3.736347564703891,7.76,0.2496597071069413,-12.915088000000003,20.675088000000002,-12.665428292893061,0.2496597071069413,16.651435564703895,3,7,
D03,D03-cache-exclude_missing_reports-moment-ddof0-float64-scale1,,cache,exclude_missing_reports,moment,0,float64,1.0,157669,14999,122,0.018901588539578386,6.912865850029553,14.764574268706502,2.448058591172706,7.76,-0.8471341499704472,-12.915088000000003,20.675088000000002,-13.76222214997045,-0.8471341499704472,15.363146591172708,3,7,
D03,D03-end_date_latest-keep_missing_reports-centered-ddof1-float64-scale1,,end_date_latest,keep_missing_reports,centered,1,float64,1.0,52253,6957,15,-0.018688774972665027,-19.557704658416107,2.6785714285714284,-20.36770465841611,7.76,-27.317704658416105,-12.915088000000003,20.675088000000002,-40.23279265841611,-27.317704658416105,-7.452616658416106,3,7,
D03,D03-end_date_latest-keep_missing_reports-centered-ddof1-float32-scale1,,end_date_latest,keep_missing_reports,centered,1,float32,1.0,52253,6957,15,0.028370985241832198,10.832818038309743,2.946428571428571,9.941818038309743,7.76,3.0728180383097428,-12.915088000000003,20.675088000000002,-9.84226996169026,3.0728180383097428,22.856906038309745,3,7,
D03,D03-end_date_latest-keep_missing_reports-centered-ddof1-float64-scale1e+08,,end_date_latest,keep_missing_reports,centered,1,float64,100000000.0,52253,6957,15,-0.012359287597642236,-10.398998627197171,3.273809523809524,-11.388998627197171,7.76,-18.15899862719717,-12.915088000000003,20.675088000000002,-31.074086627197175,-18.15899862719717,1.526089372802831,3,7,
D03,D03-end_date_latest-keep_missing_reports-moment-ddof0-float64-scale1,,end_date_latest,keep_missing_reports,moment,0,float64,1.0,52253,6957,15,0.005985930327320859,4.146557378671937,4.042207792207792,2.9241937423083004,7.76,-3.613442621328063,-12.915088000000003,20.675088000000002,-16.528530621328066,-3.6134426213280637,15.839281742308303,3,7,
D03,D03-end_date_latest-exclude_missing_reports-centered-ddof1-float64-scale1,,end_date_latest,exclude_missing_reports,centered,1,float64,1.0,157669,14999,122,-0.0014072757791096801,-1.5515859478425047,16.313163420601434,-6.484686566232378,7.76,-9.311585947842504,-12.915088000000003,20.675088000000002,-22.226673947842507,-9.311585947842504,6.430401433767624,6,7,
D03,D03-end_date_latest-exclude_missing_reports-centered-ddof1-float32-scale1,,end_date_latest,exclude_missing_reports,centered,1,float32,1.0,157669,14999,122,0.001086601593260624,3.194819195747875,13.251555606927509,-0.812451219787004,7.76,-4.565180804252124,-12.915088000000003,20.675088000000002,-17.480268804252127,-4.565180804252124,12.102636780212999,4,7,
D03,D03-end_date_latest-exclude_missing_reports-centered-ddof1-float64-scale1e+08,,end_date_latest,exclude_missing_reports,centered,1,float64,100000000.0,157669,14999,122,0.0018961759577062563,8.009659707106941,14.13132322223231,3.736347564703891,7.76,0.2496597071069413,-12.915088000000003,20.675088000000002,-12.665428292893061,0.2496597071069413,16.651435564703895,3,7,
D03,D03-end_date_latest-exclude_missing_reports-moment-ddof0-float64-scale1,,end_date_latest,exclude_missing_reports,moment,0,float64,1.0,157669,14999,122,0.018901588539578386,6.912865850029553,14.764574268706502,2.448058591172706,7.76,-0.8471341499704472,-12.915088000000003,20.675088000000002,-13.76222214997045,-0.8471341499704472,15.363146591172708,3,7,
D03,D03-field_store-field_store_nonempty_reports-centered-ddof1-float64-scale1,,field_store,field_store_nonempty_reports,centered,1,float64,1.0,141877,13319,89,0.005235873175223389,-0.11998150786887274,13.241020343293068,-4.124066059680696,7.76,-7.879981507868872,-12.915088000000003,20.675088000000002,-20.795069507868874,-7.879981507868871,8.791021940319308,6,7,
D03,D03-field_store-field_store_nonempty_reports-centered-ddof1-float32-scale1,,field_store,field_store_nonempty_reports,centered,1,float32,1.0,141877,13319,89,0.015332881327609245,6.925032504739084,11.553692519601611,3.4311958868115577,7.76,-0.8349674952609156,-12.915088000000003,20.675088000000002,-13.750055495260918,-0.8349674952609156,16.34628388681156,4,7,
D03,D03-field_store-field_store_nonempty_reports-centered-ddof1-float64-scale1e+08,,field_store,field_store_nonempty_reports,centered,1,float64,100000000.0,141877,13319,89,-0.002397964597990832,5.23806379316787,14.564791269336725,0.8336709133204445,7.76,-2.5219362068321294,-12.915088000000003,20.675088000000002,-15.437024206832131,-2.5219362068321285,13.748758913320447,3,7,
D03,D03-field_store-field_store_nonempty_reports-moment-ddof0-float64-scale1,,field_store,field_store_nonempty_reports,moment,0,float64,1.0,141877,13319,89,0.013558054577027525,8.062284565773966,13.274793388429751,4.04798704511281,7.76,0.30228456577396656,-12.915088000000003,20.675088000000002,-12.612803434226036,0.30228456577396656,16.963075045112813,3,7,
