date,stock_count,pearson,spearman
2022-04-29,3737,0.4469628761725711,0.43811000730021205
2022-05-05,3684,0.43928765189051444,0.4310875302431931
2022-05-06,3719,0.4318926999155466,0.4233905463693548
2022-05-09,3719,0.4286549864907944,0.42043177588686304
2022-05-10,3724,0.4398568076093007,0.4319608188378249
2022-05-11,3725,0.4556068203551612,0.4493768369353451
2022-05-12,3723,0.44279753019768175,0.43672913839287175
2022-05-13,3725,0.43432358401724636,0.42743782118925544
2022-05-16,3727,0.4282994300658409,0.4207998618156249
2022-05-17,3729,0.4411499622684642,0.43360229312825493
2022-05-18,3729,0.41453159047540494,0.40568041796466864
2022-05-19,3728,0.40976285857632516,0.40038992671453005
2022-05-20,3732,0.42661512279089,0.4188426480492342
2022-05-23,3733,0.4257733443970783,0.4169701607740479
2022-05-24,3732,0.4262896415256366,0.4176839467579286
2022-05-25,3736,0.42389083347160095,0.41357356604086953
2022-05-26,3742,0.43161489422844784,0.4208834053631279
2022-05-27,3742,0.44089132357486727,0.4307649580953883
2022-05-30,3746,0.43591717624064474,0.4256212555599021
2022-05-31,3753,0.4373688585366514,0.42697920639943004
2022-06-01,3756,0.416149287791594,0.40542678611677185
2022-06-02,3758,0.4197073276393713,0.41000626332442064
2022-06-06,3768,0.43087320143289,0.4206218495655069
2022-06-07,3771,0.46408320959186833,0.4550152699960094
2022-06-08,3772,0.48179833732731486,0.4723702570683882
2022-06-09,3771,0.4900546926392132,0.4812113340894558
2022-06-10,3776,0.5016658495483284,0.4932426615917309
2022-06-13,3780,0.5020091673304629,0.4920363849355122
2022-06-14,3780,0.5172694527531144,0.5075092033509697
2022-06-15,3783,0.5297048680728224,0.52151467857415
2022-06-16,3780,0.5166788214379272,0.5069290561558099
2022-06-17,3777,0.5289778351300191,0.5189078485154976
2022-06-20,3780,0.5261317134111572,0.5175949066114226
2022-06-21,3784,0.538350763633495,0.5298127425560761
2022-06-22,3777,0.5289660242053403,0.5193639133516073
2022-06-23,3778,0.5262936475876286,0.5168977237670368
2022-06-24,3776,0.5185294337662113,0.5096575673224397
2022-06-27,3775,0.5052834659073969,0.4964029222962935
2022-06-28,3774,0.4732415572761541,0.4635120178769162
2022-06-29,3773,0.4784175486173316,0.46882345961107896
2022-06-30,3773,0.48742603853291594,0.4759578325590097
2022-07-01,3776,0.48451429619815367,0.4739442651142773
2022-07-04,3774,0.5069588720344068,0.49562848207211924
2022-07-05,3778,0.5295434492365567,0.518212943313519
2022-07-06,3781,0.5072911630164182,0.49634907654333454
2022-07-07,3782,0.49271765608149365,0.4804891269206686
