date,close
2020-06-11,8121.1347
2020-06-12,8003.5495
2020-06-15,7837.4936
2020-06-16,7946.3011
2020-06-17,7862.9524
2020-06-18,8036.5276
2020-06-19,8181.4222
2020-06-22,8537.8648
2020-06-23,8557.3634
2020-06-24,8695.4642
2020-06-29,8524.0106
2020-06-30,8733.8305
2020-07-01,8855.4409
2020-07-02,9071.0546
2020-07-03,9127.63
2020-07-06,9872.8301
2020-07-07,10078.0508
2020-07-08,10338.1511
2020-07-09,10765.999
2020-07-10,10882.3018
2020-07-13,11317.6872
2020-07-14,11170.1264
2020-07-15,10507.4116
2020-07-16,9582.4729
2020-07-17,9472.5716
2020-07-20,9877.0173
2020-07-21,9881.0218
2020-07-22,9935.573
2020-07-23,9894.9089
2020-07-24,9296.6352
2020-07-27,9338.592
2020-07-28,9326.9502
2020-07-29,9805.1233
2020-07-30,9742.7283
2020-07-31,9987.137
2020-08-03,10379.1719
2020-08-04,10083.3756
2020-08-05,10278.7175
2020-08-06,10263.0165
2020-08-07,9932.4096
2020-08-10,9938.2298
2020-08-11,9694.9691
2020-08-12,9719.8219
2020-08-13,9643.2679
2020-08-14,9763.4877
2020-08-17,9955.8448
2020-08-18,9907.4499
2020-08-19,9535.2431
2020-08-20,9435.5672
2020-08-21,9373.818
2020-08-24,9439.8367
2020-08-25,9334.8853
2020-08-26,8996.1784
2020-08-27,9210.3919
2020-08-28,9277.9135
2020-08-31,9193.2661
2020-09-01,9188.1711
2020-09-02,9035.2447
2020-09-03,9034.9718
2020-09-04,9215.6321
2020-09-07,8928.6184
2020-09-08,8755.5683
2020-09-09,8298.0389
2020-09-10,8236.637
2020-09-11,8516.7919
2020-09-14,8625.0644
2020-09-15,8673.0855
2020-09-16,8629.2755
2020-09-17,8767.5751
2020-09-18,8838.3586
2020-09-21,8827.7716
2020-09-22,8629.3413
2020-09-23,8738.3372
2020-09-24,8532.4451
2020-09-25,8444.3683
2020-09-28,8376.1406
2020-09-29,8487.0415
2020-09-30,8456.0288
2020-10-09,8736.0304
2020-10-12,9124.8665
2020-10-13,9095.528
2020-10-14,8889.5922
2020-10-15,8824.5247
2020-10-16,8714.0042
2020-10-19,8614.6542
2020-10-20,8673.8643
2020-10-21,8415.3352
2020-10-22,8399.1611
2020-10-23,8224.4567
2020-10-26,8223.2452
2020-10-27,8264.5216
2020-10-28,8274.4828
2020-10-29,8244.9793
2020-10-30,8440.6032
2020-11-02,8603.027
2020-11-03,8724.0029
2020-11-04,8662.0761
2020-11-05,8782.8809
2020-11-06,8925.6813
2020-11-09,9630.5287
2020-11-10,9365.4985
2020-11-11,8885.8321
2020-11-12,8898.581
2020-11-13,8968.7924
2020-11-16,8865.077
2020-11-17,8954.292
2020-11-18,8916.2855
2020-11-19,8931.6052
2020-11-20,8929.3879
2020-11-23,8959.5708
2020-11-24,9031.9646
2020-11-25,8983.0926
2020-11-26,8876.0961
2020-11-27,8904.2122
2020-11-30,8970.1412
2020-12-01,9117.6619
2020-12-02,9304.1532
2020-12-03,9202.7405
2020-12-04,9259.5919
2020-12-07,9278.7464
2020-12-08,9216.1755
2020-12-09,8932.1223
2020-12-10,9024.1489
2020-12-11,8873.0045
2020-12-14,9011.695
2020-12-15,8917.8094
2020-12-16,8797.6703
2020-12-17,8845.3133
2020-12-18,8781.7463
2020-12-21,8996.7571
2020-12-22,8672.0097
2020-12-23,8953.1273
2020-12-24,8924.4113
2020-12-25,8855.724
2020-12-28,8732.7207
2020-12-29,8766.321
2020-12-30,8877.9405
2020-12-31,8999.452
2021-01-04,9252.309
2021-01-05,9719.926
2021-01-06,9575.3676
2021-01-07,9657.8571
2021-01-08,9631.2194
2021-01-11,9792.9762
2021-01-12,10040.4171
2021-01-13,10233.489
2021-01-14,10199.6565
2021-01-15,9997.6936
2021-01-18,10589.9623
2021-01-19,10420.9444
2021-01-20,10513.6681
2021-01-21,10520.1411
2021-01-22,10385.6872
2021-01-25,10252.0614
2021-01-26,10021.215
2021-01-27,9967.915
2021-01-28,9543.8754
2021-01-29,9354.4774
2021-02-01,9406.0987
2021-02-02,9489.1739
2021-02-03,9138.0712
2021-02-04,9122.574
2021-02-05,8895.4029
2021-02-08,9155.107
2021-02-09,9283.9594
2021-02-10,9356.1413
2021-02-18,9586.3664
2021-02-19,9540.0668
2021-02-22,9294.9277
2021-02-23,9190.1632
2021-02-24,9263.3193
2021-02-25,9185.0626
2021-02-26,9050.5252
2021-03-01,9384.8249
2021-03-02,9484.385
2021-03-03,9493.4123
2021-03-04,9156.571
2021-03-05,9076.6508
2021-03-08,8677.7707
2021-03-09,8234.0849
2021-03-10,8241.9104
2021-03-11,8505.3281
2021-03-12,8370.1103
2021-03-15,8007.8791
2021-03-16,7957.459
2021-03-17,8198.6002
2021-03-18,8206.7352
2021-03-19,8137.5652
2021-03-22,8155.8894
2021-03-23,8154.3226
2021-03-24,7966.3863
2021-03-25,8036.3506
2021-03-26,8196.9142
2021-03-29,8237.7791
2021-03-30,8254.7112
2021-03-31,8234.8237
2021-04-01,8571.4459
2021-04-02,9014.4387
2021-04-06,8957.7941
2021-04-07,8955.429
2021-04-08,8931.3334
2021-04-09,8854.7099
2021-04-12,8699.7943
2021-04-13,8641.1524
2021-04-14,8676.4669
2021-04-15,8621.6743
2021-04-16,8574.0128
2021-04-19,8788.6899
2021-04-20,8694.2698
2021-04-21,8726.3302
2021-04-22,8819.2154
2021-04-23,8855.3305
2021-04-26,8879.1356
2021-04-27,8774.3007
2021-04-28,8953.7504
2021-04-29,9021.5406
2021-04-30,9068.9742
2021-05-06,8943.6241
2021-05-07,8527.4032
2021-05-10,8344.4441
2021-05-11,8418.7419
2021-05-12,8549.613
2021-05-13,8482.662
2021-05-14,8694.044
2021-05-17,8794.1591
2021-05-18,8724.4772
2021-05-19,8855.7676
2021-05-20,8840.7249
2021-05-21,8751.9501
2021-05-24,8831.9983
2021-05-25,9121.2093
2021-05-26,9013.6341
2021-05-27,9395.9611
2021-05-28,9303.2297
2021-05-31,9535.0786
2021-06-01,9640.4441
2021-06-02,9525.5036
2021-06-03,9381.3362
2021-06-04,9588.8874
2021-06-07,9805.3891
2021-06-08,9744.4749
2021-06-09,9868.8644
2021-06-10,10001.43
2021-06-11,9829.7938
2021-06-15,9963.21
2021-06-16,9646.8785
2021-06-17,10435.2717
2021-06-18,10513.1958
2021-06-21,10570.5329
2021-06-22,10550.7064
2021-06-23,11051.7027
2021-06-24,10876.3806
2021-06-25,11014.9061
2021-06-28,11206.6454
2021-06-29,11088.696
2021-06-30,11624.6445
2021-07-01,11342.6726
2021-07-02,11157.5223
2021-07-05,11629.7025
2021-07-06,11388.3305
2021-07-07,11723.6335
2021-07-08,12071.7184
2021-07-09,11886.7174
2021-07-12,12105.7133
2021-07-13,11513.2287
2021-07-14,11378.7607
2021-07-15,11510.0445
2021-07-16,11314.501
2021-07-19,11310.0326
2021-07-20,11570.8988
2021-07-21,12053.4296
2021-07-22,12351.2951
2021-07-23,12356.8265
2021-07-26,12503.0428
2021-07-27,12491.4957
2021-07-28,12337.5562
2021-07-29,13245.9377
2021-07-30,13570.6291
2021-08-02,13246.0952
2021-08-03,12489.3026
2021-08-04,13131.0338
2021-08-05,13096.2246
2021-08-06,12993.9993
2021-08-09,12629.2849
2021-08-10,12555.5739
2021-08-11,12610.4327
2021-08-12,12667.2172
2021-08-13,12147.5195
2021-08-16,12226.9795
2021-08-17,11713.7722
2021-08-18,11730.3
2021-08-19,12010.2001
2021-08-20,12125.4814
2021-08-23,12484.5627
2021-08-24,12693.924
2021-08-25,12638.5495
2021-08-26,12387.5152
2021-08-27,12516.9426
2021-08-30,12416.9289
2021-08-31,12068.2385
2021-09-01,11931.3766
2021-09-02,11585.3766
2021-09-03,11499.5733
2021-09-06,11724.2037
2021-09-07,11753.6572
2021-09-08,11614.104
2021-09-09,11555.9262
2021-09-10,12034.0405
2021-09-13,11553.5498
2021-09-14,11596.1237
2021-09-15,11545.8393
2021-09-16,11138.1919
2021-09-17,11198.9519
2021-09-22,11321.8465
2021-09-23,11534.5917
2021-09-24,11467.3503
2021-09-27,11441.6203
2021-09-28,11438.0935
2021-09-29,11150.783
2021-09-30,11238.4781
2021-10-08,11189.5432
2021-10-11,11100.614
2021-10-12,10747.9074
2021-10-13,11051.8385
2021-10-14,11119.1999
2021-10-15,11489.7922
2021-10-18,11357.9449
2021-10-19,11396.5092
2021-10-20,11379.2354
2021-10-21,11162.0774
2021-10-22,11439.3247
2021-10-25,11560.9809
2021-10-26,11557.4644
2021-10-27,11480.3334
2021-10-28,11470.5018
2021-10-29,11739.0267
2021-11-01,11816.3383
2021-11-02,12076.816
2021-11-03,11966.4522
2021-11-04,12156.8753
2021-11-05,12173.5036
2021-11-08,12005.3236
2021-11-09,12257.6886
2021-11-10,12271.2572
2021-11-11,12540.693
2021-11-12,12505.3167
2021-11-15,12250.4721
2021-11-16,12068.1142
2021-11-17,12113.4097
2021-11-18,11970.6347
2021-11-19,12027.8663
2021-11-22,12563.3617
2021-11-23,12422.775
2021-11-24,12316.4951
2021-11-25,12392.3998
2021-11-26,12126.47
2021-11-29,12189.3178
2021-11-30,12352.4412
2021-12-01,12304.4151
2021-12-02,12340.5674
2021-12-03,12588.9627
2021-12-06,12321.7657
2021-12-07,12065.4384
2021-12-08,12379.4644
2021-12-09,12466.1371
2021-12-10,12359.8795
2021-12-13,12425.077
2021-12-14,12422.1628
2021-12-15,12272.2141
2021-12-16,12240.1649
2021-12-17,11855.7099
2021-12-20,11649.6643
2021-12-21,11753.9535
2021-12-22,11918.5043
2021-12-23,11928.1854
2021-12-24,11915.0902
2021-12-27,11817.592
2021-12-28,11901.7813
2021-12-29,11693.2215
2021-12-30,12010.2127
2021-12-31,11984.311
2022-01-04,11796.8753
2022-01-05,11252.9339
2022-01-06,11190.4382
2022-01-07,11015.564
2022-01-10,10887.0096
2022-01-11,10675.3843
2022-01-12,10907.5938
2022-01-13,10738.5008
2022-01-14,10913.7105
2022-01-17,11159.3011
2022-01-18,11236.5738
2022-01-19,11052.5076
2022-01-20,10954.1591
2022-01-21,10747.9626
2022-01-24,10941.3452
2022-01-25,10683.0516
2022-01-26,10803.9251
2022-01-27,10417.8794
2022-01-28,10227.3086
2022-02-07,10328.7552
2022-02-08,10021.7699
2022-02-09,10098.2508
2022-02-10,10136.2961
2022-02-11,9945.3113
2022-02-14,9844.7726
2022-02-15,10222.1037
2022-02-16,10162.352
2022-02-17,10278.7328
2022-02-18,10178.1199
2022-02-21,10170.8989
2022-02-22,10233.4489
2022-02-23,10812.0461
2022-02-24,10719.4648
2022-02-25,10839.9899
2022-02-28,10895.9059
2022-03-01,10919.7939
2022-03-02,10751.5433
2022-03-03,10504.2255
2022-03-04,10585.4965
2022-03-07,10167.5425
2022-03-08,10147.0776
2022-03-09,10238.4296
2022-03-10,10361.7297
2022-03-11,10358.1476
2022-03-14,10011.495
2022-03-15,9674.0885
2022-03-16,10200.5131
2022-03-17,10340.1594
2022-03-18,10233.8263
