bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp
217,SIZE+DD120+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,18.111971842075448,27.795507366982747,4.202680713887791,13.909291128187656,0.8070939089850745,27.58398252037847,71.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,16.55375985201707,26.718990385473273,4.039911346283559,12.51384850573351,0.3297900446066932,27.58398252037847,77.77777777777779,test,47,2024-09-11,2026-08-10,4744.829787234043,,,20.633025169810736,29.44463976418873,4.452029532345335,16.1809956374654,1.5453802992846495,22.013633909139873,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,-1.0186268195317205,26.454014138687697,3.99984693776958,-5.018473757301301,-0.5761579161145844,22.013633909139873,37.5,0.008906682849,0.11133353561249999,-2.6308815856669856,-7.865219634939988,-1.9275705712912732,-7.373123054992469,-4.064746127868752,-8.58027423749007,-3.8671558580471754,-15.606052941476188
218,H03+DD120+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,18.824488978638108,27.69745680922068,4.187855469554166,14.636633509083943,0.8382067434671207,25.722703843483796,75.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,17.73279032576517,26.82228981558025,4.055530220115734,13.677260105649436,0.3650332129473211,25.722703843483796,77.77777777777779,test,47,2024-09-11,2026-08-10,4744.829787234043,,,20.2499988805376,29.03813816118046,4.390566489970485,15.859432390567116,1.5694308912508166,21.52384225360615,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,0.4261050615122275,26.230782626434003,3.9660943331168217,-3.539989271604594,-0.527065833313265,21.523842253606162,50.0,0.010014901933799999,0.12518627417249997,-1.962924919427472,-3.462305775223701,-1.8061844376825942,-1.0634620227009641,-2.177249310356375,-8.866428562510118,-4.48346885269815,-18.554978286998114
219,SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4283.175,,,22.857457961471628,26.5185892131343,4.009610689025906,18.847847272445723,0.9294365198457847,28.5236013805351,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,20.454762770333502,25.513979097039858,3.8577136394724265,16.597049130861073,0.447102962105792,28.5236013805351,80.55555555555556,test,47,2024-09-11,2026-08-10,4744.829787234043,,,27.042972264157218,28.057566412257696,4.242304041533364,22.800668222623855,1.7023849216735958,21.05386036024255,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,5.36563810564229,25.27939099510157,3.8222439184593573,1.5433941871829324,-0.2793228564900707,21.05386036024254,37.5,0.0100532304025,0.12566538003125,-2.0621133534053975,-2.9266634906819213,-2.2272681039002933,-3.2899224298649052,-1.9039351715508133,-1.960601652331615,-4.4527569729167595,-13.471594828210588
220,RET40+DD120+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,15.151160121616392,35.202829557031215,5.3226678290231195,9.828492292593271,0.7063527577988498,26.208232672296884,66.66666666666666,train,73,2021-09-07,2024-08-28,3985.945205479452,,,13.93054459327444,34.493717232043146,5.215450045484923,8.715094547789517,0.20825423326756787,26.208232672296884,69.44444444444444,test,47,2024-09-11,2026-08-10,4744.829787234043,,,17.066308615588465,36.28912928892783,5.486916348485889,11.579392267102577,1.4472079133518438,21.88772686781646,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,-0.7842034435336376,34.32761848538893,5.190335914990807,-5.974539358524444,-0.6511281930035862,21.887726867816472,37.5,0.010728155274200003,0.13410194092750002,-0.6009821338050507,-0.590873402168743,-0.7557417354841967,-0.548812660523005,-0.5732296401839374,-0.6021687270092073,-1.3418747169444298,-3.1254509866959874
221,SIZE+RET40+DD120+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4283.175,,,19.836556272638852,34.404117298218964,5.201902535490708,14.634653737148144,0.8213283353679984,27.360733646241354,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,17.268806716277695,33.49219079035556,5.064019247501761,12.204787468775935,0.31803655581925067,27.360733646241354,80.55555555555556,test,47,2024-09-11,2026-08-10,4744.829787234043,,,24.580953787502402,35.80111109749907,5.413127997941858,19.167825789560546,1.604974752886242,21.082286200820676,62.5,recent,15,2026-01-09,2026-08-10,4822.8,,,2.908618212949987,33.59578568603537,5.079682795728548,-2.1710645827785613,-0.4426267879594074,21.082286200820665,37.5,0.010647608186166668,0.13309510232708335,-0.8738285901758811,-7.1398570259795004,-0.8574828951534545,-7.6821840919500435,-2.6988174129442015,-5.593444085394925,-1.830563056308452,-12.758643766953448
222,H03+RET40+DD120+CHIP250+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4283.175,,,19.46000256851277,34.50285137473668,5.2168311278601855,14.243171440652583,0.8205760858295641,26.416731984617314,75.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,17.298788528082166,33.60488255876171,5.08105824288477,12.217730285197396,0.3181894392757918,26.416731984617314,77.77777777777779,test,47,2024-09-11,2026-08-10,4744.829787234043,,,23.286663529235383,35.87846317793238,5.424823632503376,17.86183989673201,1.600181548202149,20.32402063958513,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,4.517969643026721,34.258392010582675,5.1798688720001005,-0.6618992289733804,-0.39193860491988813,20.32402063958513,62.5,0.011571124090166668,0.14463905112708333,-1.6653199586714234,-3.8557678436550606,-1.4595298204520404,-2.5229918431530045,-3.099810565789479,-6.864021056345223,-2.4274638726924147,-15.676888244366902
223,SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH+C01,7,full,120,2021-09-07,2026-08-10,4283.175,,,23.28621086430809,33.128903698358506,5.009090239191806,18.277120625116282,0.9109296193671383,28.418041682589966,75.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,20.10073963760376,32.296649016106564,4.883253331235312,15.217486306368446,0.40518291181288757,28.418041682589966,77.77777777777779,test,47,2024-09-11,2026-08-10,4744.829787234043,,,29.25414474776453,34.40384704138279,5.201861672657078,24.052283075107457,1.722797660112463,20.451835366042538,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,8.380068267616492,32.05884389714804,4.847297197248783,3.532771070367709,-0.19601382240547557,20.451835366042538,62.5,0.011381659612428572,0.14227074515535715,-1.493154939397293,-3.4973901380113617,-1.507422431145713,-4.669485254357532,-1.4117574600367142,-0.708986799848013,-1.4166290660075638,-11.482217945025813
224,DD60+ASSET_GROWTH+C01,3,full,120,2021-09-07,2026-08-10,4283.175,,,11.365868153134784,33.0152988314581,4.991913183316464,6.37395496981832,0.6134419784741321,27.23522248352407,65.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,10.279843409474354,31.93537967849231,4.828629407388037,5.451214002086316,0.10293789918280806,27.23522248352407,72.22222222222221,test,47,2024-09-11,2026-08-10,4744.829787234043,,,13.189960977856297,34.66964306578868,5.242050031547247,7.947910946309049,1.358363859223973,22.335566260382144,54.166666666666664,recent,15,2026-01-09,2026-08-10,4822.8,,,-2.6428660910752577,32.34373902371557,4.890373340385795,-7.533239431461053,-0.7009198255750655,22.3355662603822,25.0,0.007856922006,0.098211525075,-2.174049068606922,-4.045410724943694,-2.7101563087641205,-3.812693206226206,-1.375944265449398,-4.233650047802735,-1.7741925458551933,-2.9534450857583634
225,SIZE+DD60+ASSET_GROWTH+C01,4,full,120,2021-09-07,2026-08-10,4283.175,,,17.391610295699465,31.25882092769592,4.726333724267623,12.665276571431844,0.7704571554959512,30.08942993029048,68.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,15.053321509205675,30.139858405457847,4.557146590905227,10.496174918300447,0.2700122737651222,30.08942993029048,77.77777777777779,test,47,2024-09-11,2026-08-10,4744.829787234043,,,21.753375299795596,32.972976280911695,4.985514013673849,16.76786128612175,1.5468717229658009,21.292444250024033,54.166666666666664,recent,15,2026-01-09,2026-08-10,4822.8,,,3.3142512811407454,30.118210872822214,4.553873483970719,-1.2396222028299735,-0.38157744666899185,21.292444250024033,37.5,0.008453909691,0.10567387113749999,-4.630237100415746,-9.1092341916958,-4.911109660057733,-9.390796642425531,-4.339326984867348,-7.99340858883372,-3.8677899266646074,-11.82720138700486
226,H03+DD60+ASSET_GROWTH+C01,4,full,120,2021-09-07,2026-08-10,4283.175,,,18.87520118711119,31.892868012494542,4.822201643489175,14.052999543622017,0.8170731404716021,29.13157969480259,80.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,16.161017292617842,31.011184021989745,4.68889102412485,11.47212626849299,0.29745284283013845,29.13157969480259,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,24.020806329456757,33.24353284901257,5.026422166770699,18.994384162686057,1.6122108708888605,20.12899065771946,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,6.227861820117953,30.488751492404138,4.609899225651506,1.6179625944664469,-0.2746342100366439,20.12899065771945,62.5,0.009839183546999999,0.12298979433749999,-4.97335927545239,-4.045939740685627,-5.211171987866111,-3.2685958598574096,-4.115913602712144,-5.731476790391177,-5.944609317571888,-13.397026420927075
227,SIZE+H03+DD60+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,24.09211918094678,29.357882407143265,4.438911819960062,19.65320736098672,0.9465213091367525,29.738781509253307,81.66666666666667,train,73,2021-09-07,2024-08-28,3985.945205479452,,,21.14196136963068,28.817680682811925,4.357233319241162,16.784728050389518,0.4520965412899567,29.738781509253307,88.88888888888889,test,47,2024-09-11,2026-08-10,4744.829787234043,,,29.46530762340871,30.18542547420403,4.56403633169965,24.901271291709058,1.7315159588571392,20.15491650811282,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,9.711332296518883,27.239206153020795,4.118567970336744,5.592764326182138,-0.10412267925651908,20.15491650811282,75.0,0.0099203213868,0.124004017335,-2.15634210877446,-2.1213034021409243,-2.45172642534002,-3.1022435103364607,-5.285959253624824,0.1400014167535879,-5.613447673343535,-9.422224689211383
228,RET40+DD60+ASSET_GROWTH+C01,4,full,120,2021-09-07,2026-08-10,4283.175,,,11.940229368870781,38.55319213767013,5.829242651215724,6.110986717655057,0.6052743985887756,27.267649140092555,65.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,10.85446557097719,37.74924451469379,5.707685770621701,5.146779800355489,0.09227640240303402,27.267649140092555,69.44444444444444,test,47,2024-09-11,2026-08-10,4744.829787234043,,,13.72989210957789,39.78477147499559,6.015457447019333,7.714434662558557,1.3749021597381694,21.348956126332506,58.333333333333336,recent,15,2026-01-09,2026-08-10,4822.8,,,1.4426329609680266,38.16967565323394,5.771254958768971,-4.328621997800944,-0.5543627558499178,21.348956126332506,37.5,0.010730750222500002,0.13413437778125,-1.5018363325702744,-4.308378977106957,-1.8350985648597797,-4.1171274079570335,-0.5910875659340364,-4.467126331553227,-0.01987398339890678,-1.4795336259724876
229,SIZE+RET40+DD60+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,17.596258652418804,37.75205817056025,5.708111195388709,11.888147457030096,0.7483724343484482,29.55604878834134,70.0,train,73,2021-09-07,2024-08-28,3985.945205479452,,,14.394582665703137,36.83129449624427,5.568891727832133,8.825690937871004,0.2164625416864339,29.55604878834134,72.22222222222221,test,47,2024-09-11,2026-08-10,4744.829787234043,,,23.97558029426412,39.16258975674645,5.921383571220064,18.054196723044058,1.5790398656631155,20.66065785985767,66.66666666666666,recent,15,2026-01-09,2026-08-10,4822.8,,,6.455341136543035,36.80039590965656,5.564219861540072,0.8911212750029638,-0.3006601074116797,20.66065785985767,50.0,0.010633574727200001,0.13291968409000002,-3.1268527487151374,-9.886363306097548,-2.8944660146944887,-11.061280622854975,-3.4160896420008875,-6.707073151911413,-0.4773540883072871,-9.696457909171922
230,H03+RET40+DD60+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4283.175,,,17.43309167859659,38.25012238354386,5.783418504391832,11.649673174204759,0.7504567362861736,28.85346694612565,73.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,14.348394288021426,37.35134202705323,5.647522914490448,8.700871373530978,0.2095006936394811,28.85346694612565,75.0,test,47,2024-09-11,2026-08-10,4744.829787234043,,,23.546053426381096,39.62697739774229,5.991598982538633,17.554454443842467,1.5845527123431409,20.011794433340114,70.83333333333334,recent,15,2026-01-09,2026-08-10,4822.8,,,8.0733021533419,37.57031096326951,5.680631017646351,2.392671135695548,-0.2402280146782431,20.011794433340114,62.5,0.011741793812,0.14677242265,-3.883964915705503,-6.449266110102885,-3.804501581428875,-6.0398507548194225,-3.7563122801503255,-7.171406509234767,-3.79747175203089,-12.622317879697974
231,SIZE+H03+RET40+DD60+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4283.175,,,22.309670787234914,36.445270274538444,5.510524865510213,16.7991459217247,0.8760083965104325,29.79362014896213,78.33333333333333,train,73,2021-09-07,2024-08-28,3985.945205479452,,,18.455314423783886,35.649551582429055,5.390212199263273,13.065102224520613,0.34307044784492824,29.79362014896213,86.11111111111111,test,47,2024-09-11,2026-08-10,4744.829787234043,,,29.913280320772763,37.664243590110274,5.694833630824673,24.218446689948088,1.7269666845269658,19.418163346082817,66.66666666666666,recent,15,2026-01-09,2026-08-10,4822.8,,,12.000697137022708,34.9991103918365,5.291865491245678,6.70883164577703,-0.06521107895796807,19.418163346082817,62.5,0.011492306967666668,0.14365383709583335,-3.1525232645488117,-4.975364841402943,-3.8516851639502487,-6.821869336205365,-2.0105814859351057,-0.5428231850073821,-3.194838177914111,-8.306157369616491
