rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
17,0.007872638292610645,0.007872638292610645,-0.011532767675817013,0.004653993993997574,0.002054918324574828,0.0008247341611422598,-0.007549792993813753,-0.09250342486655876,0.16871877014636993,0.05102055609226227,-0.14352398095882102,146,0.036282973204340256,0.15187998116016388,0.04592850630283356,-0.009645533098493302,49,0.06662283763289452,0.1463317573070526,0.04425072340965271,0.022372114223241805,48,"TsCorr($ratio_pcf_ocf_ttm,Mul(Div(-10.0,Greater(Rank($current_assets),$book_to_market_ratio_lf)),Rank(Mul(Div($vwap,$current_liabilities),Greater($ratio_ep_ttm,$close)))),30)"
18,0.0020232400856912136,0.002023345325142145,-0.002253435319289565,0.009198535233736038,0.009618490934371948,0.006120655220001936,-0.004727288149297237,0.0066186169443065174,0.011247072368860245,0.003401114684343338,0.0032175022599631796,146,0.020066494601113455,0.010476588271558285,0.003168120293319225,0.01689837430779423,49,-0.04607452880591154,0.010951523669064045,0.0033117407575249673,-0.04938626956343651,48,"Sub(10.0,$inventory)"
19,0.001618072623386979,0.001630011829547584,0.004067586734890938,-0.007782401517033577,-0.00842216145247221,-0.004184953402727842,-0.0006862841546535492,0.016581403637585576,0.002964196028187871,0.0008963728789240122,0.015685030758661563,146,-0.16410723413739886,0.0024393624626100063,0.000737663208693266,-0.16484489734609212,49,-0.05311210826039314,0.002298768376931548,0.0006951475571841002,-0.05380725581757724,48,"Sign(Mul($current_liabilities,-10.0))"
20,0.023575684055685997,0.023575685918331146,0.0596725195646286,-0.0013372849207371473,0.04725927114486694,-0.008056862279772758,0.03440629318356514,0.07499080969862743,0.31828972697257996,0.09625081343650818,-0.021260003737880756,146,-0.17172369616372246,0.2965875267982483,0.08968806810379028,-0.2614117642675127,49,-0.1240084994584322,0.2904230058193207,0.08782391695976256,-0.21183241641819478,48,"Rank(TsIr($ratio_bm_ttm,30))"
21,0.00218541850335896,0.0007418242166750133,0.008818862959742546,0.007761993911117315,-0.004812100436538458,0.009403998963534832,0.002619596663862467,0.024960445296274475,0.13362160325050354,0.04040717282295227,-0.015446727526677792,146,-0.041791663425309315,0.1512131690979004,0.04572686233520508,-0.08751852576051439,49,-0.018846635799854995,0.1547752320766449,0.04680403017997742,-0.0656506659798324,48,"SLog1p(Mul($oper_main_profit_ttm,TsMaxDiff(Div(-30.0,$current_liabilities),20)))"
22,0.008884728886187077,0.008884729817509651,0.08118148893117905,-0.010514230467379093,0.06876440346240997,0.0038531667087227106,0.06785384565591812,0.057106965045406397,0.33560287952423096,0.10148631076812745,-0.04437934572272105,146,-0.16181529419762747,0.3153783679008484,0.09537041845321656,-0.257185712650844,49,-0.05530194137245417,0.30988696217536926,0.09370981736183166,-0.14901175873428585,48,"Div(0.01,$turnover)"
23,0.0024994907435029745,0.0024994907435029745,0.013094105757772923,-0.0014736935263499618,0.003551682224497199,0.003300066338852048,0.013891887851059437,0.036638533864935784,0.05325404182076454,0.016104022246599195,0.02053451161833659,146,-0.12010786363056727,0.0480947270989418,0.01454384547472,-0.1346517091052873,49,0.007180791255086661,0.05088233947753906,0.015386819458007813,-0.008206028202921153,48,"Mul(Div($book_to_market_ratio_lyr,Greater($ratio_pcf_ocf_ttm,-10.0)),$gr_total_asset_lyr)"
24,0.009116540662944317,0.009235411882400513,-0.0019400401506572962,0.0032721967436373234,-0.0025681867264211178,0.005243278574198484,-0.0003202000225428492,0.06335432807060137,0.28475162386894226,0.08610889105796814,-0.022754562987366764,146,-0.02067374289035797,0.289337694644928,0.08749571886062622,-0.10816946175098419,49,-0.020513818692415954,0.28364232182502747,0.08577343811988832,-0.10628725681230428,48,"TsRank(Pow($gr_total_asset_lyr,TsDelta($oper_main_profit_ttm,40)),50)"
25,0.0016579164657741785,0.0016579166986048222,-0.01703616790473461,0.0005908070597797632,-0.0053582205437123775,0.002600196050480008,-8.136082760756835e-05,-0.17539883313113697,0.03721921890974045,0.011255091798305512,-0.18665392492944247,146,-0.1004531570843288,0.04115689545869827,0.012445845186710358,-0.11289900227103915,49,0.038622617907822135,0.04043480008840561,0.012227483546733857,0.026395134361088278,48,"Div($oper_roe_lyr,$ratio_sp_ttm)"
26,0.001287537277676165,0.0012875872198492289,0.00050752965034917,0.00021335954079404473,-0.007746498100459576,0.003240601858124137,-0.004781818483024836,0.02016007377676768,0.01015296671539545,0.0030702571347355845,0.017089816642032095,146,-0.12363755873271397,0.00931193120777607,0.0028159279972314833,-0.12645348672994544,49,-0.02056456329301,0.011803323403000832,0.003569324997067451,-0.02413388829007745,48,"Pow(Sign(Mul(0.01,$oper_main_profit_ttm)),$high)"
