selection,size,net_5y,turn_5y,s_5y,comb_5y,net_1y,turn_1y,s_1y,comb_1y,net_3m,turn_3m,s_3m,comb_3m,comb_mean,comb_min,change
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact_g13']",5,23.63788958401034,21.808088169209604,0.04307369366091672,0.6375168979299919,11.783942051759205,21.337270453990982,0.007847980811026658,0.21803995801639137,56.24713177099283,16.665137875288245,0.08972100491466382,0.8495238640595,0.5683602400019611,0.21803995801639137,R3 swap f_i10_01 -> t10_size_plus_impact_g13
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'growth_revenue', 't10_size_plus_impact_aggregate']",5,24.660788006170982,21.919466870424568,0.040329733351965574,0.6163139042745702,13.52323515173565,21.394842244939174,0.00820597004890606,0.2409923082414551,63.92476161363672,16.4484461313321,0.09485237174536441,0.8476514679375,0.5683192268178417,0.2409923082414551,R2 swap book_to_market_lf_plus_impact -> t10_size_plus_impact_aggregate
"['size_only', 'impact60', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 't10_size_plus_impact_dd120']",5,24.892760125588474,15.840685065536569,0.03402281087604368,0.6923801169029214,7.9862359483896475,15.000086310772371,0.005103406480293967,0.16850067072874034,57.46898731764176,12.413524666141111,0.08496080224911373,0.8439137201260001,0.5682648359192206,0.16850067072874034,R1 swap t10_size_plus_impact_bm -> t10_size_plus_impact_dd120
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 't10_size_plus_impact_aggregate']",5,24.034010927126047,21.56201102613352,0.04177981203334523,0.6249810313789035,12.445222793930554,20.96699851905086,0.008615470938898934,0.2303793438344293,60.08998450521372,15.759591858186884,0.09420840780858462,0.8493620915644999,0.5682408222592775,0.2303793438344293,R3 swap book_to_market_lf_plus_impact -> t10_size_plus_impact_aggregate
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'ltmom_exhigh252_21']",5,22.961801239748862,14.094453014748535,0.035169344972087485,0.673816803055553,8.852378098532174,13.200019883778676,0.006412491320214407,0.19087945995858568,45.77746257350274,11.644583582412418,0.07840394314035085,0.839961313129,0.5682191920477129,0.19087945995858568,R1 swap book_to_market_lf_minus_size -> ltmom_exhigh252_21
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'ltmom_exhigh252_21']",5,22.961801239748862,14.094453014748535,0.035169344972087485,0.673816803055553,8.852378098532174,13.200019883778676,0.006412491320214407,0.19087945995858568,45.77746257350274,11.644583582412418,0.07840394314035085,0.839961313129,0.5682191920477129,0.19087945995858568,R2 swap growth_revenue -> ltmom_exhigh252_21
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'f_i10_01', 't10_size_plus_impact_fscore']",5,23.848100332931967,20.115130156133795,0.04166138120705434,0.6487907205019321,9.711412559819735,19.28474698697527,0.006053609792146638,0.19472256293497275,60.83461101671327,15.748652895768187,0.08937083737371627,0.860144248587,0.5678858440079683,0.19472256293497275,R3 swap growth_revenue -> t10_size_plus_impact_fscore
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'f_i10_01', 't10_size_plus_impact_g13']",5,23.86900952810278,18.68860831511737,0.040079555572772874,0.6566685189429167,9.224635003737102,17.994400948494658,0.006268884364045549,0.1905333915853979,54.53453664377466,14.34572977246072,0.08622341872669952,0.8563568800554999,0.5678529301946048,0.1905333915853979,R3 swap growth_revenue -> t10_size_plus_impact_g13
"['impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01', 'reversal_chip_turn_eq']",5,24.057550937250983,20.559448326829806,0.04162943466281888,0.6426728931148415,12.431918775434196,20.242429256972656,0.008448132025791363,0.22553779232480908,57.05270063767559,15.542310864842696,0.09130959337090237,0.835002899322,0.5677378615872168,0.22553779232480908,R3 swap t10_size_plus_impact_bm -> reversal_chip_turn_eq
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'f_i10_01', 'book_to_market_lf_div_oper_main_profit_ttm']",5,22.055422208802682,13.744670682725063,0.03404030552731954,0.6374689998834954,10.50419339248721,13.242698345244348,0.00581886206249873,0.2223826216675911,46.84644654982401,11.285132566361666,0.08187391519315884,0.8433453872529999,0.5677323362680288,0.2223826216675911,R3 swap growth_revenue -> book_to_market_lf_div_oper_main_profit_ttm
"['impact60', 'book_to_market_lf_plus_impact', 'growth_revenue', 'f_i10_01', 'reversal_turn_paper']",5,22.259753781622862,18.515984276246435,0.04100381940928941,0.6399413083057603,10.980017689677817,17.863595247034635,0.008356545097902155,0.22439650861204952,54.056605312620185,13.768243158251705,0.08662245777409894,0.8388371435049999,0.5677249868076033,0.22439650861204952,R3 swap t10_size_plus_impact_bm -> reversal_turn_paper
"['impact60', 't10_size_plus_impact_bm', 'growth_revenue', 'f_i10_01', 't10_size_plus_impact_downside']",5,24.111948664062233,21.725850458399986,0.041963915926236314,0.6253802563008858,12.407145523575414,21.165860414378944,0.008657978899735231,0.2285335943194264,60.864596982832396,15.887884920560285,0.09456005379787866,0.849159405714,0.5676910854447708,0.2285335943194264,R3 swap book_to_market_lf_plus_impact -> t10_size_plus_impact_downside
"['size_only', 'impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_minus_size', 'book_to_market_lf_plus_impact', 'f_i10_01']",6,24.213085628736945,13.281493153719978,0.031916634047834916,0.6817070587173704,8.217256289819062,12.574002540362459,0.0050806730361706255,0.17523731072795054,53.838049185257155,10.568088929360346,0.0810649126938566,0.8455266934383333,0.5674903542945514,0.17523731072795054,R1 add f_i10_01
"['impact60', 't10_size_plus_impact_bm', 'book_to_market_lf_plus_impact', 'growth_revenue', 't10_size_plus_impact_downside']",5,23.375190318608702,21.900370776682955,0.04357476074355486,0.6351185999288056,11.611054305537007,21.433546820041848,0.00790761258635005,0.21522427325356147,56.55538400983448,16.534988485486128,0.090289663702842,0.8500243578819999,0.5667890770214556,0.21522427325356147,R2 swap size_only -> t10_size_plus_impact_downside
