selection,size,comb,na,nb,nc,net,turnover,test,recent,s_recent,raw_a,change
size_only+impact60+chip250+book_to_market_lf_minus_size+weighted_reversal,5,0.25814592037424056,0.1897354276125,0.15143238448495566,0.37155000062668014,22.21458482518344,34.00688365541896,27.441943751642683,8.652712221480128,0.00908594306909734,0.015178834209,swap book_to_market_lf_plus_impact -> weighted_reversal
size_only+impact60+chip250+book_to_market_lf_minus_size+exp_weighted_reversal63,5,0.257250726847316,0.19873022860999998,0.13947100966817325,0.3748662838699008,22.473038513106076,33.72546925358806,27.48227158823337,9.566212756507776,0.008368260580090395,0.0158984182888,swap book_to_market_lf_plus_impact -> exp_weighted_reversal63
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+weighted_reversal,5,0.2569355290335382,0.20261330658750001,0.14577573079144718,0.3675363598645149,19.803654772845412,31.74556795342567,21.435465225581556,7.639504871049701,0.00874654384748683,0.016209064527,swap size_only -> weighted_reversal
size_only+impact60+chip250+book_to_market_lf_plus_impact+reversal20,5,0.24611032528803412,0.17711919094499998,0.1399704528600977,0.35932628577333314,22.33551466326453,35.838273747015634,27.634270272869916,8.892654205849562,0.008398227171605863,0.014169535275599998,swap book_to_market_lf_minus_size -> reversal20
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+exp_weighted_reversal63,5,0.24422532906231675,0.21160810758499995,0.13505562502763682,0.34363164174587524,19.339689481825246,31.77960882331938,21.873732213091277,8.07611734752288,0.008103337501658208,0.016928648606799997,swap size_only -> exp_weighted_reversal63
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max_return21_low,5,0.24374471015971438,0.15690739267499998,0.08103678717523043,0.40888968025196387,18.673142782293915,26.739007957388544,17.93862587099217,5.909401040462735,0.004862207230513825,0.012552591414,swap impact60 -> max_return21_low
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+rsi14,6,0.2398636005598651,0.16039294571249998,0.13284731561274857,0.35841877989534027,20.979977732492927,32.71322175270186,25.664184995760447,8.972850357849993,0.007970838936764913,0.012831435656999998,add rsi14
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal20,5,0.23759743468978062,0.19379480657999998,0.1234652542542597,0.34583474307731044,20.243580127498653,33.924298000896705,22.818438326276624,7.763283218829595,0.007407915255255582,0.015503584526399999,swap size_only -> reversal20
size_only+impact60+chip250+book_to_market_lf_minus_size+reversal20,5,0.23587714641726681,0.180916927605,0.12835816584163012,0.34392978411488057,22.267417538709278,36.416633956500846,27.463984284221493,8.902900926634572,0.007701489950497807,0.0144733542084,swap book_to_market_lf_plus_impact -> reversal20
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+weighted_reversal,5,0.22984238581721902,0.1887605680275,0.12327925109792484,0.33098340961654515,19.48533561924417,32.833623489424,22.71983126824265,8.399355345406768,0.0073967550658754905,0.0151008454422,swap impact60 -> weighted_reversal
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+exp_weighted_reversal63,5,0.22657935642398808,0.197755369025,0.11242838314016103,0.32817410782207046,19.597320734242242,32.7700076452979,23.49151968517124,7.896868755652528,0.0067457029884096615,0.015820429522,swap impact60 -> exp_weighted_reversal63
size_only+impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha13,6,0.2250087746159746,0.152403802,0.1411117002548409,0.32253093139284505,20.321690941132797,34.2955862577112,22.637492933175544,6.460674518083567,0.008466702015290454,0.01219230416,add alpha13
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha13,5,0.21708920567215723,0.15970814101499997,0.1885334700239541,0.2648019176906073,17.533935006533227,32.82671062982557,19.59644384027582,5.224194502530071,0.011312008201437245,0.012776651281199999,swap chip250 -> alpha13
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+reversal20,5,0.21252736944602124,0.17994206801999998,0.1110018030187029,0.3059740550788338,19.57371261264714,35.17764336411691,22.86025557203835,7.300320668862936,0.006660108181122173,0.0143953654416,swap impact60 -> reversal20
