net_5y,turn_5y,comb_5y,net_1y,turn_1y,comb_1y,net_3m,turn_3m,comb_3m,comb_mean,comb_min,selection,size
25.430475635366967,23.117343249137328,0.6429020654192622,12.3474119869403,22.793575461480692,0.2260542024832954,60.08218397192295,18.556245259330982,0.8649284378465,0.5779615685830192,0.2260542024832954,impact60+t10_size_plus_impact_downside+t10_size_plus_impact_g13+t10_size_plus_impact_fscore+f_i10_01,5
27.079693393433473,20.7560609923042,0.6592247005015637,11.82405506933868,20.049071418090225,0.21802551726437042,63.007344439618784,16.321060783909445,0.856563934792,0.5779380508526447,0.21802551726437042,size_only+impact60+t10_size_plus_impact+t10_size_plus_impact_fscore+f_i10_01,5
25.164999472464057,23.172999569352413,0.6392240097576126,12.245936943372254,22.784367644309327,0.22528557945229427,59.21765960360699,18.466887162621155,0.8656316175195,0.576713735576469,0.22528557945229427,impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_downside+t10_size_plus_impact_fscore+f_i10_01,5
26.418191253133394,19.094836368358322,0.6563896810938173,11.326845159846549,18.20564891946381,0.21810279192811427,61.847677169662774,15.198760843957688,0.8544844839335,0.5763256523184772,0.21810279192811427,size_only+impact60+t10_size_plus_impact_bm+t10_size_plus_impact_aggregate+f_i10_01,5
26.509957984569297,19.030577343904003,0.6560992981441673,11.332384242704515,18.14817536648261,0.21798307550062462,61.422020873493956,15.330750348853334,0.8537813042605,0.575954559301764,0.21798307550062462,size_only+impact60+t10_size_plus_impact_bm+t10_size_plus_impact_g13+f_i10_01,5
26.04372911311043,19.610222180575278,0.6485921682617323,12.049443592107432,19.075257453776423,0.22425860546224974,59.17892949652441,15.50360981877517,0.854366232976,0.5757390022333273,0.22425860546224974,size_only+impact60+t10_size_plus_impact_bm+t10_size_plus_impact_wc+f_i10_01,5
26.377143769967716,19.198471908881565,0.6541114128008909,11.338772012677014,18.310967854677568,0.21754889232613184,61.08793412830832,15.242516742193896,0.854281798083,0.5753140344033408,0.21754889232613184,size_only+impact60+t10_size_plus_impact_bm+t10_size_plus_impact_downside+f_i10_01,5
25.81224102816056,22.84200744586751,0.6259989289161958,12.870207028995928,22.321432136598883,0.2359029456769937,60.894122532714064,17.642646979505354,0.8634594675125,0.5751204473685632,0.2359029456769937,impact60+t10_size_plus_impact_downside+t10_size_plus_impact_g13+t10_size_plus_impact+f_i10_01,5
25.552021782113094,22.72900358821434,0.6219908963139309,13.002881784495937,22.12225089431596,0.2394285294349829,60.438675292529474,17.514630068173112,0.863662153363,0.5750271930373047,0.2394285294349829,impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_g13+t10_size_plus_impact+f_i10_01,5
26.461524592863878,19.261076127484124,0.6442833149325756,12.022702025228016,18.452924047354735,0.22733210848820112,58.851093919704944,15.23820401760273,0.853277060083,0.5749641611679256,0.22733210848820112,size_only+impact60+t10_size_plus_impact_downside+t10_size_plus_impact+f_i10_01,5
25.5217447806048,22.825393405992557,0.623684252461959,12.83789505329519,22.255218331945464,0.2368115812891847,60.02440266967286,17.642740070372504,0.8641626471855,0.5748861603122145,0.2368115812891847,impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_downside+t10_size_plus_impact+f_i10_01,5
26.357332696015746,20.564686852627652,0.6567275191703553,11.135096624840807,19.773507259622832,0.2089761707186435,63.557183651362216,16.451196209273885,0.857568672792,0.5744241208936662,0.2089761707186435,size_only+impact60+t10_size_plus_impact_bm+t10_size_plus_impact_fscore+f_i10_01,5
25.590865162375838,18.538906285324998,0.6387097301544418,12.142818510551507,18.00672590808963,0.23199686629822866,58.549590865622235,14.516018712526085,0.8517462764515,0.5741509576347235,0.23199686629822866,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact_wc+f_i10_01,5
26.488680635073393,19.18909133139467,0.6450968322873261,11.769316985384384,18.3304007285531,0.2235539754342202,59.581620712992,15.195098967652928,0.8534797459335,0.5740435178850154,0.2235539754342202,size_only+impact60+t10_size_plus_impact_aggregate+t10_size_plus_impact+f_i10_01,5
25.599079431347004,18.646411308678516,0.6393311709622088,12.092859749769518,18.148829669100092,0.23016384724501113,58.40819563828544,14.6881556098162,0.851543590601,0.5736795362694066,0.23016384724501113,size_only+impact60+t10_size_plus_impact_downside+t10_size_plus_impact_wc+f_i10_01,5
