field,direction,periods,rank_ic,ic_ir,win,s_i,turnover,gross,net,efficiency,finite_share
bs_fin_lease_payable,0,120,-0.008982445726242017,-0.01804805253975609,0.2916666666666667,4.728373195079434e-05,0.011008624401983974,-0.0644665804497655,-0.06613108445934547,0.0023641865975397173,0.8443697868396663
bs_inventory,0,120,-0.009724012671270708,-0.10204646253613908,0.4166666666666667,0.0004134587894832367,0.01022193836975413,-0.046953106442718884,-0.04849866352422571,0.020672939474161836,0.9526521470497377
bs_lease_liab,0,120,-0.008982445726242017,-0.01804805253975609,0.2916666666666667,4.728373195079434e-05,0.011008624401983974,-0.0644665804497655,-0.06613108445934547,0.0023641865975397173,0.8443697868396663
bs_lt_borr,0,120,-0.008250532121830129,-0.04706271321130983,0.4166666666666667,0.0001617885112876629,0.010033288423800565,-0.04297080436772105,-0.04448783757739969,0.008089425564383145,0.7487287611986406
bs_money_cap,0,120,-0.014334256640955874,-0.055953817112401195,0.35,0.0002807197310855935,0.013941938592452316,-0.062426103287454904,-0.06453412440263369,0.014035986554279675,0.9664828544949027
bs_ncl_due_1y,0,120,-0.009063281389244816,-0.08727030166949021,0.4083333333333333,0.0003229734145565725,0.0174501560526831,-0.06432424146025917,-0.06696270505542486,0.016148670727828624,0.8999737411183194
bs_non_cur_liab_due_1y,0,120,-0.009063281389244816,-0.08727030166949021,0.4083333333333333,0.0003229734145565725,0.0174501560526831,-0.06432424146025917,-0.06696270505542486,0.016148670727828624,0.8999737411183194
bs_st_borr,0,120,-0.007742091103321689,-0.0734926680681093,0.375,0.00021337009935355612,0.013589071295927919,-0.05280397986291163,-0.054858647442855936,0.010668504967677805,0.9018829162805067
bs_total_assets,1,120,-0.013152383594634463,0.049204206029073286,0.30833333333333335,0.00019953871591717095,0.005210731849683014,-0.06517752096512597,-0.06596538362079804,0.009976935795858547,0.9759051590979302
bs_total_cur_assets,0,120,-0.015646402466272472,-0.08575013261123264,0.425,0.0005702144617079223,0.008090746549099855,-0.05642950409070635,-0.05765282496893025,0.028510723085396115,0.9575857275254867
bs_total_cur_liab,0,120,-0.01149486090848616,-0.08021470282510587,0.4083333333333333,0.0003765065478143087,0.00833329930952125,-0.0625448586258357,-0.06380485348143532,0.018825327390715435,0.9576027185665741
bs_total_hldr_eqy_exc_min_int,1,120,-0.013160770061322102,0.02190592870813006,0.3416666666666667,9.850212099169994e-05,0.005562749068790096,-0.05715443272657161,-0.05799552038577267,0.004925106049584997,0.9753151065801667
