rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_periods,formula
11,0.017891721799969673,0.020077532157301903,-0.021379394456744194,0.03325626999139786,-0.04525952413678169,0.010404015891253948,-0.014073042199015617,-0.016570810932819157,0.7640934586524963,0.2310618618965149,-0.24763267282933404,146,0.06461074437413897,0.7337200045585632,0.22187692937850953,-0.15726618500437056,49,0.0003382321447134018,0.7671623826026917,0.23198990449905396,-0.23165167235434056,48,"TsRank($turnover,50)"
12,0.0008728628745302558,0.0008728628745302558,0.003783989232033491,0.0,-0.008483042009174824,-0.0004843304632231593,-0.00047231826465576887,,,,,0,,,,,0,,,,,0,"Pow(-1.0,Mul($gr_total_asset_lyr,-2.0))"
13,0.002394880400970578,0.002394879935309291,0.03753666952252388,0.0017654264811426401,0.026584457606077194,0.00393432192504406,0.028469638898968697,0.04102485498336897,0.028946541249752045,0.008753434073925018,0.03227142090944395,146,-0.09048853601728167,0.026464683935046196,0.00800292042195797,-0.09849145643923964,49,-0.05333393253386021,0.025657907128334045,0.007758951115608216,-0.061092883649468424,48,"Div(-0.01,$ratio_sp_ttm)"
14,0.005663186777383089,0.005663186311721802,0.02752606011927128,-0.019503969699144363,0.008826767094433308,-0.003677456174045801,0.025006096810102463,0.04409056918261803,0.04245857149362564,0.012839472019672393,0.031251097162945635,146,-0.23077671187264578,0.04127749800682068,0.012482315397262574,-0.24325902726990836,49,-0.0372057119384408,0.04140331596136093,0.012520362746715544,-0.04972607468515634,48,"Sub(Rank($ratio_ep_ttm),-0.01)"
15,0.003458192106336355,0.003458192106336355,0.007306368555873632,0.00942664872854948,0.011187221854925156,0.001336355460807681,0.005621672607958317,-0.019129560622450425,0.4442220628261566,0.13433275179862977,-0.1534623124210802,146,0.03601607424872262,0.42833584547042847,0.12952875967025756,-0.09351268542153494,49,-0.04605985265225172,0.42632755637168884,0.12892145304679872,-0.17498130569905046,48,"TsSkew(Sub(0.01,$ratio_pcf_ocf_ttm),50)"
16,0.013289480470120907,0.013289482332766056,0.021750377491116524,0.005925038829445839,0.020842038094997406,0.004459158983081579,0.031737033277750015,-0.005456023551013372,0.5133348703384399,0.15523246479034425,-0.16068848834135763,146,-0.0896539398602077,0.5469930171966553,0.16541068840026857,-0.25506462826047627,49,0.07220838144421578,0.523982048034668,0.1584521713256836,-0.08624378988146782,48,"Sub($ratio_ep_ttm,Mul(-30.0,TsDelta($ratio_ep_ttm,10)))"
17,0.0035051179584115744,0.0035051179584115744,0.014425920322537422,0.0013288042973726988,0.040295615792274475,-0.001070008729584515,0.040992699563503265,0.06801999464426955,0.039147138595581055,0.01183809471130371,0.056181899932965844,146,-0.10012514591217041,0.04019057750701904,0.012153630638122559,-0.11227877655029296,49,-0.05585027094930411,0.03951370343565941,0.011948943918943404,-0.06779921486824751,48,"Log(Greater($ratio_bm_ttm,Less(Rank($ratio_pcf_ocf_ttm),Sign(Sign(Sign($inventory))))))"
18,0.015244453214108944,0.015244454145431519,0.022473948076367378,0.014639017172157764,0.01834404096007347,0.0018522393656894565,0.007957996800541878,0.04250076584620019,0.7661352157592773,0.23167928924560546,-0.18917852339940527,146,0.025481422458376205,0.7533948421478271,0.22782660026550292,-0.2023451778071267,49,-0.06464415807276964,0.7635072469711304,0.2308845914840698,-0.29552874955683944,48,"TsSkew($ratio_sp_ttm,20)"
19,0.003601108444854617,0.003601108444854617,0.02473238855600357,-0.007656380534172058,0.0050828903913497925,0.0027151694521307945,0.01508555468171835,0.05148876521685352,0.023758722469210625,0.007184637674689293,0.04430412754216423,146,-0.18950861181531634,0.020457159727811813,0.006186245101690292,-0.19569485691700664,49,-0.03012384194880724,0.02195589989423752,0.006639464128017426,-0.03676330607682467,48,"Mul(TsMean(Mul(Sign(Sign($book_to_market_ratio_lyr)),$ratio_ep_ttm),50),$ratio_sp_ttm)"
20,0.004528383258730173,0.004528383258730173,0.018687937408685684,-0.002374370116740465,0.024004260078072548,-0.0024390299804508686,0.01745389588177204,-0.07130536118598833,0.5856132507324219,0.17708944702148438,-0.24839480820747273,146,-0.11712679522378104,0.6436672806739807,0.19464498567581176,-0.3117717808995928,49,0.0326836533844471,0.5852689146995544,0.17698531980514526,-0.14430166642069817,48,"TsMaxDiff(Mul(5.0,$ratio_pcf_ocf_ttm),50)"
