candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
"Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Add(TsDiv(b","Mul(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Add(TsDiv(book_to_market_ratio_lf,20),TsMean(Constant(-10.0),30)),30)),market_cap)",0.002149256563389772,0.0939383655786514,replace-SIZE,0.21877796183347445,1.0,0.4937555923666949,0.23137671333272497,0.25420986902828235,0.15101293449442715,0.3020258689888543,1.1375150771342522,0.2503838871336882,0.609599787519546,0.8328251467408094
"Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap)","Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap)",0.0021401189202181247,0.0842720717191696,replace-SIZE,0.21875511772554532,1.0,0.4937510235451091,0.2323531447960024,0.25527661919625455,0.1516102804249482,0.3032205608498964,1.1406856470293376,0.2501024645498152,0.6117551485271774,0.8166404077849861
"Sub(TsMaxDiff(Sub(TsMinDiff(TsMin(ratio_bm_ttm,20),50),marke","Sub(TsMaxDiff(Sub(TsMinDiff(TsMin(ratio_bm_ttm,20),50),market_cap),10),market_cap)",0.0024854071529998543,0.1253534257411956,add-6th,0.2043587668104164,1.0,0.4908717533620833,0.24040678068969323,0.26189876704840787,0.14214276692271585,0.2842855338454317,1.1360992085416923,0.2742487517202091,0.6108020372457174,0.8211214087117701
"Sub(TsMaxDiff(Sub(TsMinDiff(TsMinDiff(ratio_bm_ttm,30),30),m","Sub(TsMaxDiff(Sub(TsMinDiff(TsMinDiff(ratio_bm_ttm,30),30),market_cap),10),market_cap)",0.0024457942019787075,0.1255319863557815,add-6th,0.20427623982912232,1.0,0.49085524796582447,0.2401039130786136,0.26160851302513466,0.14222619012249377,0.28445238024498753,1.1352710937309662,0.2741752934031916,0.6096679755873545,0.8251606425702811
Sub(TsMinMaxDiff(TsMax(TsMax(TsMax(TsMad(book_to_market_rati,"Sub(TsMinMaxDiff(TsMax(TsMax(TsMax(TsMad(book_to_market_ratio_lf,40),50),40),10),50),market_cap)",0.0024278196525947047,0.0847173184156417,add-6th,0.20423879285123894,1.0,0.4908477585702478,0.2377110074636993,0.2591925173766445,0.14207347826021963,0.28414695652043925,1.1334234889580785,0.2745245396366829,0.6022332426491954,0.7773988260735248
Sub(TsDiv(TsStd(TsKurt(TsSkew(Sub(TsMinMaxDiff(TsMean(ratio_,"Sub(TsDiv(TsStd(TsKurt(TsSkew(Sub(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),market_cap),50),50),50),50),market_cap)",0.002399641242004477,0.0841612070798873,add-6th,0.204180087829176,1.0,0.4908360175658352,0.23755925098865543,0.2590454896291843,0.1421047529135506,0.2842095058271012,1.1330482414619385,0.2747146239590095,0.6014448587334197,0.7379734321902996
"Sub(TsDiv(TsStd(TsKurt(Sub(TsDiv(book_to_market_ratio_lyr,30","Sub(TsDiv(TsStd(TsKurt(Sub(TsDiv(book_to_market_ratio_lyr,30),market_cap),50),50),50),market_cap)",0.002398589312393681,0.0844388678669929,add-6th,0.2041778963091535,1.0,0.49083557926183075,0.23718873769094792,0.2586772383735776,0.14211971350945551,0.28423942701891103,1.1328154293760495,0.2742424193204275,0.6008909251600904,0.7807352486870559
"Sub(TsMin(TsCorr(TsMed(TsVar(ratio_sp_ttm,40),40),TsMad(Grea","Sub(TsMin(TsCorr(TsMed(TsVar(ratio_sp_ttm,40),40),TsMad(Greater(market_cap,gr_total_asset_lyr),40),50),50),market_cap)",0.00239772143267247,0.0845172330737114,add-6th,0.204176088226401,1.0,0.4908352176452802,0.23740272784563973,0.25890112988703984,0.14218519868650867,0.28437039737301734,1.133312394156841,0.2742424193204275,0.6016968930519024,0.7801668211306765
"Sub(TsMinMaxDiff(TsMean(TsMinMaxDiff(TsMean(ratio_bm_ttm,40)","Sub(TsMinMaxDiff(TsMean(TsMinMaxDiff(TsMean(ratio_bm_ttm,40),50),40),50),market_cap)",0.002396978759587522,0.0844259485602378,add-6th,0.20417454099080734,1.0,0.4908349081981615,0.23730894118584184,0.2587780208757029,0.14199126779008636,0.2839825355801727,1.133082920283967,0.2742424193204275,0.6013374070187719,0.7810009267840593
"Sub(TsMaxDiff(TsMinDiff(TsMaxDiff(TsMinDiff(ratio_ep_ttm,50)","Sub(TsMaxDiff(TsMinDiff(TsMaxDiff(TsMinDiff(ratio_ep_ttm,50),40),50),40),market_cap)",0.0023966696006393166,0.0846766978502273,add-6th,0.20417389690966528,1.0,0.4908347793819331,0.23734735169977994,0.25884189739849606,0.14215969377457754,0.2843193875491551,1.1331961985131824,0.2742424193204275,0.601494866219367,0.7804603027494593
