candidate,formula,s_i,seat_turnover,tag,na,nc,comb,net,gross,turnover,monthly_turnover,sr,dd,raw_c,finite_share
Log(Log(amount)),Log(Log(amount)),0.0344888634303465,0.3649474382400512,add-6th,0.27103263405488853,0.7266271664628353,0.3811887517192536,0.2120616470345727,0.23791400175288535,0.1709811819994223,0.3419623639988446,1.0504656961930017,0.27561368995914415,0.43597629987770115,0.8530892801977139
"Log(Add(amount,TsMin(TsMed(TsDelta(Div(TsCov(book_to_market_","Log(Add(amount,TsMin(TsMed(TsDelta(Div(TsCov(book_to_market_ratio_lyr,Constant(0.01),20),TsMin(Constant(-10.0),30)),10),30),40)))",0.034278104478861,0.3635818362236023,replace-SIZE,0.2991000816221525,0.592393671454068,0.3263971684787611,0.19026239491493682,0.2187228325422701,0.18823040758818307,0.37646081517636615,1.015053167065242,0.2559577111288167,0.35543620287244077,0.812709298733395
SLog1p(amount),SLog1p(amount),0.0341016204406239,0.3649474382400512,replace-SIZE,0.2986588715265598,0.5825965722609687,0.3219002318227479,0.1878999356081693,0.21631877735366545,0.1879553025495777,0.3759106050991554,1.0089819841443421,0.25575291029422054,0.34955794335658125,0.8530892801977139
"Log(Add(amount,TsMinDiff(TsRank(Constant(-0.01),50),30)))","Log(Add(amount,TsMinDiff(TsRank(Constant(-0.01),50),30)))",0.0341013123246137,0.3649474382400512,replace-SIZE,0.29865810123653425,0.5825965722609687,0.32190007776474283,0.1878999356081693,0.21631877735366545,0.1879553025495777,0.3759106050991554,1.0089819841443421,0.25575291029422054,0.34955794335658125,0.8530892801977139
Log(amount),Log(amount),0.0341013123246137,0.3649474382400512,replace-SIZE,0.29865810123653425,0.5825965722609687,0.32190007776474283,0.1878999356081693,0.21631877735366545,0.1879553025495777,0.3759106050991554,1.0089819841443421,0.25575291029422054,0.34955794335658125,0.8530892801977139
"Log(Greater(amount,TsPctChange(close,20)))","Log(Greater(amount,TsPctChange(close,20)))",0.0342500019324323,0.3650614321231842,replace-SIZE,0.29902982525608074,0.5822874573541298,0.3218353208605746,0.18789723842447573,0.21633007338777555,0.1880478502863745,0.376095700572749,1.0089576713328967,0.2557529102942204,0.3493724744124779,0.8489141180105035
Log(SLog1p(amount)),Log(SLog1p(amount)),0.0344901557177959,0.3649474382400512,replace-SIZE,0.2996302097194898,0.5534784064722303,0.30899132485640163,0.18832533688600722,0.2183323896739453,0.1984593438355694,0.3969186876711388,1.0072763573530423,0.25428496838799597,0.3320870438833382,0.8530892801977139
Log(Log(amount)),Log(Log(amount)),0.0344888634303465,0.3649474382400512,replace-SIZE,0.29962697900086627,0.5534784064722303,0.30899067871267694,0.18832533688600722,0.2183323896739453,0.1984593438355694,0.3969186876711388,1.0072763573530423,0.25428496838799597,0.3320870438833382,0.8530892801977139
"Greater(turnover,TsMean(Constant(10.0),20))","Greater(turnover,TsMean(Constant(10.0),20))",0.0423754290348782,0.3488397598266601,add-6th,0.28746297906432955,0.4528272124925242,0.2612648414345018,0.15583811941495243,0.18179028725843205,0.17164132171613508,0.34328264343227016,0.9076808414998934,0.28385888668119186,0.27169632749551453,0.8530892801977139
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinDiff(turnover,30)),30))",0.0390527802761198,0.2504379451274872,add-6th,0.2805407941502496,0.4528650609965186,0.2598974362784833,0.15655604336655246,0.18266405318777745,0.1726720226271495,0.345344045254299,0.9086222649914337,0.28361834247317785,0.27171903659791113,0.8295350633302441
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinDiff(TsMinDiff(turnover,30),30)),30))",0.0383668453263636,0.2403102964162826,add-6th,0.27911176300492413,0.4499280660190102,0.2582899823095394,0.15593506587411327,0.18203511250236226,0.17261935600693776,0.3452387120138755,0.9068676046575153,0.284115158455825,0.2699568396114061,0.8177988878591288
"Greater(Constant(5.0),TsMinDiff(TsMinDiff(Greater(Constant(5","Greater(Constant(5.0),TsMinDiff(TsMinDiff(Greater(Constant(5.0),TsMinDiff(TsMinDiff(turnover,30),30)),30),30))",0.0364731436355252,0.2393379211425781,add-6th,0.2751665511490109,0.44456350762470426,0.2550868886609191,0.15462732198605944,0.1808193591562861,0.17322775906234567,0.34645551812469133,0.9056561868138528,0.28341055998065223,0.26673810457482255,0.805982391102873
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(2.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(2.0),TsMinDiff(Greater(Constant(2.0),TsMinDiff(turnover,30)),30)),30))",0.0391534573712977,0.2917928099632263,add-6th,0.2807505380985369,0.427397975975205,0.24847919680854963,0.15157924266554743,0.1779522895881751,0.1744249135094424,0.3488498270188848,0.8952431020237721,0.2839692515890241,0.256438785585123,0.8177988878591288
"Greater(TsDelta(Greater(TsDelta(turnover,40),TsDiv(low,50)),","Greater(TsDelta(Greater(TsDelta(turnover,40),TsDiv(low,50)),40),TsSum(TsMax(Constant(0.5),20),10))",0.0341016771233661,0.3564047515392303,add-6th,0.270225995915346,0.40692372982065134,0.23716087760236232,0.14928065916755315,0.1761774151074298,0.17788859748595665,0.3557771949719133,0.8905681930314729,0.2888427121998758,0.2441542378923908,0.8279888785912882
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinDiff(turnover,30)),30))",0.0390527802761198,0.2504379451274872,replace-SIZE,0.31103677111529954,0.3473902311372997,0.2185329582348448,0.13378707682442895,0.1619496908062359,0.1862606744828502,0.3725213489657004,0.8629493667980934,0.27288021004842855,0.2084341386823798,0.8295350633302441
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(5.0),TsMinDiff(TsMinDiff(turnover,30),30)),30))",0.0383668453263636,0.2403102964162826,replace-SIZE,0.309321933740909,0.34547760979230924,0.21732931115472098,0.13366679180977117,0.16185375766119847,0.18642173182160915,0.3728434636432183,0.862989610639466,0.2750079760009705,0.20728656587538555,0.8177988878591288
"Greater(turnover,TsMean(Constant(10.0),20))","Greater(turnover,TsMean(Constant(10.0),20))",0.0423754290348782,0.3488397598266601,replace-SIZE,0.3193433930121955,0.34081722995417074,0.21723643208181592,0.13154158152297582,0.1597468901815542,0.18654304668371943,0.37308609336743886,0.8569042425970145,0.2692993701426799,0.20449033797250243,0.8530892801977139
"Greater(Constant(5.0),TsMinDiff(TsMinDiff(Greater(Constant(5","Greater(Constant(5.0),TsMinDiff(TsMinDiff(Greater(Constant(5.0),TsMinDiff(TsMinDiff(turnover,30),30)),30),30))",0.0364731436355252,0.2393379211425781,replace-SIZE,0.304587679513813,0.33589681390556037,0.21207110216026478,0.13094388384707334,0.15914315241140686,0.1865030989704598,0.3730061979409196,0.8576426570651912,0.27550528781037675,0.20153808834333622,0.805982391102873
"Greater(Constant(5.0),TsMinDiff(Greater(Constant(2.0),TsMinD","Greater(Constant(5.0),TsMinDiff(Greater(Constant(2.0),TsMinDiff(Greater(Constant(2.0),TsMinDiff(turnover,30)),30)),30))",0.0391534573712977,0.2917928099632263,replace-SIZE,0.31128846385324427,0.3301735774233079,0.2108358026111374,0.13040785820389778,0.15887829895271488,0.18829656579905493,0.37659313159810986,0.854196594913656,0.2752190764648853,0.19810414645398472,0.8177988878591288
"Greater(TsDelta(Greater(TsDelta(turnover,40),TsDiv(low,50)),","Greater(TsDelta(Greater(TsDelta(turnover,40),TsDiv(low,50)),40),TsSum(TsMax(Constant(0.5),20),10))",0.0341016771233661,0.3564047515392303,replace-SIZE,0.29865901323341526,0.302729382842331,0.195960024925732,0.12486909454376983,0.15392280319928076,0.19215415777454312,0.38430831554908623,0.8381423819347463,0.27751662611180183,0.18163762970539857,0.8279888785912882
