components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,full_min_member_addition_pp,full_vs_best_single_pp
SIZE+CHIP250+DD60+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.382222789367868,30.765216428464885,4.651700723983892,8.730522065383976,0.6495715824732653,32.95409762307254,71.66666666666667,-1.6339099856750323,-8.395441475805391
H03+RET40+DD120+CHIP250+ASSET_GROWTH+C01+C02,7,full,120,2021-09-07,2026-08-10,4743.825,,,13.441152322336912,33.96878011125394,5.136079552821596,8.305072769515318,0.6517809289327119,32.929585171929055,70.0,-1.1269224559197628,-5.96139444044079
SIZE+H03+RET40+DD120+CHIP250+DD60+C01,7,full,120,2021-09-07,2026-08-10,4743.825,,,15.345347655410698,36.00932505153488,5.444609947792074,9.900737707618624,0.6785338304368204,33.71886686768352,71.66666666666667,-1.1878590886907665,-7.225225833570743
SIZE+DD120+CHIP250+DD60+ASSET_GROWTH+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,12.998234714943994,31.1360677520696,4.707773444112923,8.29046127083107,0.6362271256618917,32.708821803817244,68.33333333333333,-0.7544407213333688,-8.835502270358297
H03+CHIP250+DD60+ASSET_GROWTH+C01+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.599866897821837,31.552922460871415,4.770801876083759,8.829065021738078,0.6657721127399422,32.530062383847124,66.66666666666666,-0.7908859893135354,-5.43740218821803
SIZE+RET40+CHIP250+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.823972887254266,33.57464710214047,5.076486641843638,9.747486245410627,0.692845637712177,33.83385601045104,73.33333333333333,-1.2836086582226915,-7.378477295778739
H03+DD120+ASSET_GROWTH+C01+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,12.709564889593604,29.10367443860006,4.400475575116328,8.309089314477275,0.6558341536819511,33.18045775753868,75.0,-1.7082501654716309,-5.9573778954788335
SIZE+H03+RET40+DD60+C03,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,15.456844825474043,38.228450637231134,5.780141736349348,9.676703089124697,0.6602340361348898,35.267122016500544,71.66666666666667,-2.8478584874787085,-7.449260452064671
SIZE+H03+RET40+CHIP250+DD60+ASSET_GROWTH+C01+C03,8,full,120,2021-09-07,2026-08-10,4743.825,,,14.811482661902184,35.03759180486553,5.297683880895668,9.513798781006516,0.6786975740117194,33.79004464069657,73.33333333333333,-1.8496054908781316,-7.612164760182852
SIZE+CHIP250+C01+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.579420373941886,32.91319943545167,4.976475754640294,8.602944619301592,0.652545315360681,33.4541216236679,71.66666666666667,-1.673226880049084,-8.523018921887775
H03+RET40+CHIP250+ASSET_GROWTH+C02+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,14.14593719285138,34.457205034366176,5.209929401196166,8.936007791655214,0.6745134834863833,32.95986147140207,71.66666666666667,-0.8421401131458541,-5.330459418300894
SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH+C02,7,full,120,2021-09-07,2026-08-10,4743.825,,,14.002165963513546,34.41329446058627,5.203290122440644,8.798875841072903,0.6467370439525344,34.474066306399365,70.0,-1.7804463956854877,-8.327087700116465
SIZE+DD120+C01+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.13013655010693,33.138636068570094,5.010561773567797,8.119574776539132,0.6323995241726772,33.20855447361987,73.33333333333333,-1.4951630607676467,-9.006388764650236
SIZE+CHIP250+DD60+ASSET_GROWTH+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.274887884043174,30.625582856167505,4.630588127852526,8.644299756190648,0.6496855060843992,32.83942914627631,70.0,-1.6503227492847383,-8.48166378499872
SIZE+RET40+CHIP250+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.324232060621206,33.30708586278675,5.036031382453357,9.288200678167849,0.6749044413742663,33.866445651535095,73.33333333333333,-1.7428942254654718,-7.837762863021519
SIZE+H03+RET40+DD60+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,16.128129423254027,38.34812876293838,5.798237068956283,10.329892354297742,0.698935308348803,34.872391932579085,73.33333333333333,-2.4758058579556987,-6.796071186891625
H03+DD120+CHIP250+DD60+ASSET_GROWTH+C01+C02,7,full,120,2021-09-07,2026-08-10,4743.825,,,12.837981678251817,31.97671805067871,4.834879769262621,8.003101908989196,0.6387224907052504,33.0191735789834,68.33333333333333,-0.825963112748882,-6.263365300966912
SIZE+H03+RET40+DD120+CHIP250+DD60+C02+C03,8,full,120,2021-09-07,2026-08-10,4743.825,,,14.30033874622011,36.4936195817216,5.517835280756306,8.782503465463803,0.6434143894432215,33.31365903207541,73.33333333333333,-1.2985781832425332,-8.343460075725565
SIZE+H03+RET40+DD120+CHIP250+DD60+C01+C02,8,full,120,2021-09-07,2026-08-10,4743.825,,,14.719217982084098,36.33643487868274,5.4940689536568295,9.225149028427268,0.65879038485572,33.493271875752924,71.66666666666667,-1.2861063521344818,-7.9008145127621
H03+RET40+CHIP250+ASSET_GROWTH+C01+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,14.579963550728204,34.04740955881697,5.147968325293125,9.43199522543508,0.6944617805957092,32.72646395704082,68.33333333333333,-0.8920809312439673,-4.834471984521027
SIZE+H03+RET40+CHIP250+DD60+C01+C03,7,full,120,2021-09-07,2026-08-10,4743.825,,,15.696507393865552,37.80234570536451,5.715714670651114,9.98079272321444,0.6833365109727699,34.016823609513416,73.33333333333333,-1.0962159083390546,-7.145170817974929
SIZE+H03+RET40+DD120+DD60+C01,6,full,120,2021-09-07,2026-08-10,4743.825,,,14.86580108955481,37.01217123212511,5.596240290297317,9.269560799257492,0.6592116461770685,34.300838534176435,75.0,-2.504928242633767,-7.856402741931875
SIZE+CHIP250+DD60+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.034201563771338,30.978157778440124,4.683897456100147,8.350304107671192,0.6368240258727911,33.222348231308985,66.66666666666666,-1.870866174655216,-8.775659433518175
