components,factor_count,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_min_member_addition_pp,recent_vs_best_single_pp
SIZE+H03+C01+C02+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.11770544940586,29.955945301715765,4.529338929619423,3.5883665197864354,-0.2847717676632927,21.27493914829922,50.0,-4.5429449330671,-12.687784918006598
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.477045046970392,30.452883485408044,4.604475982993696,3.872569063976696,-0.2724817689507479,21.472850880325844,50.0,-5.332495615652311,-12.403582373816336
SIZE+H03+CHIP250+DD60+ASSET_GROWTH+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.422403551963732,26.99267242119604,4.081292070084841,1.3411114818788898,-0.3734222668666105,22.155981713468453,50.0,-6.045914660866943,-14.935039955914142
SIZE+H03+CHIP250+C01+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.435127886171865,30.25601523513389,4.574709503552245,1.8604183826196208,-0.3566382911673523,21.927342480411347,50.0,-2.170801274721131,-14.415733055173412
SIZE+H03+DD120+C02+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.84587101720819,29.79790772705222,4.505443648330296,4.340427368877895,-0.2597474007765201,20.402870688986617,62.5,-2.77774865074643,-11.93572406891514
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01+C02+C03,8,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,1.6542269876993512,28.32332984473928,4.282487472524578,-2.628260484825228,-0.5480417377690395,22.308580907647716,50.0,-3.040076855043215,-18.90441192261826
SIZE+H03+DD120+C01+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.969302692609878,31.03856877271049,4.693031598433826,1.2762710941760511,-0.3803856833000787,21.42695792663709,62.5,-3.064156274701843,-14.99988034361698
SIZE+H03+CHIP250+DD60+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.835014461070893,30.59667614434249,4.626217433024584,4.208797028046309,-0.2598952770521226,21.47004271223813,50.0,-4.642669808025477,-12.067354409746724
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.2929524633457947,28.715794993918298,4.341828203080446,-1.0488757397346518,-0.4775189479239753,22.062158143896472,50.0,-1.8976861973793155,-17.325027177527684
SIZE+H03+CHIP250+DD60+ASSET_GROWTH+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.432029533582707,27.81551514926559,4.205705890568957,1.22632364301375,-0.3748476019842682,21.753367563335654,50.0,-5.225547343424302,-15.049827794779285
SIZE+H03+DD60+ASSET_GROWTH+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.635654001259695,27.1890304379455,4.11098140221736,5.524672599042337,-0.2072698346921204,20.38914208152885,50.0,-5.14880368310549,-10.751478838750696
SIZE+H03+DD120+DD60+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.331849850957692,31.653715307336324,4.786041754469252,3.5458080964884413,-0.2870501276127529,20.82732641290299,62.5,-5.305658739583345,-12.730343341304591
SIZE+H03+CHIP250+DD60+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.606647692489585,31.11875994874131,4.705156504249686,3.901491188239899,-0.272052194452609,21.184904397686733,50.0,-2.9909721087486694,-12.374660249553134
SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.285326661330765,31.117613697986457,4.704983191135552,1.5803434701952126,-0.3682886838922943,21.79901072285474,50.0,-2.181081038343525,-14.69580796759782
SIZE+H03+RET40+ASSET_GROWTH+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,12.504071583638874,30.165120006280173,4.560966144949561,7.943105438689312,-0.1146187358982967,19.823882839033413,62.5,-5.250942948392053,-8.333045999103721
SIZE+H03+DD120+DD60+ASSET_GROWTH+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.1293577176266565,28.0626041051478,4.243065740698347,-0.1137080230716902,-0.4261085653826305,21.562279594214,62.5,-5.638380622114028,-16.389859460864724
SIZE+H03+RET40+CHIP250+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.779386542140417,34.12191173547853,5.159233054404353,4.620153487736061,-0.2427922380315189,21.35562242336786,62.5,-4.961468509821979,-11.655997950056973
SIZE+H03+RET40+CHIP250+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,11.095130193299932,35.46860387834824,5.362852906406254,5.7322772868936775,-0.198927340936939,20.942720435013676,62.5,-4.101258456418733,-10.543874150899356
SIZE+H03+RET40+CHIP250+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.013776831843622,34.18678766691327,5.169042295237286,4.844734536606336,-0.2323807564456102,21.54609651137556,50.0,-5.259691527001862,-11.431416901186696
SIZE+H03+DD120+CHIP250+C01+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.291384172315676,29.720856937795848,4.493793568994732,0.797590603320944,-0.399835465953031,21.87935491653571,50.0,-3.3705922637066106,-15.478560834472088
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.1927962522649485,29.224273292036628,4.418710121755939,-1.2259138694909903,-0.4806301413691677,21.76707573725104,50.0,-2.673610174637151,-17.502065307284024
SIZE+H03+CHIP250+ASSET_GROWTH+C01+C02+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.5185092636776165,27.160667284785905,4.106692893459629,0.4118163702179871,-0.4146230384396345,22.288699020068137,50.0,-3.481268488690894,-15.864335067575045
SIZE+H03+DD120+CHIP250+C01+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.112393598704845,28.780441287612195,4.351602722686964,0.7607908760178805,-0.4045389884146875,21.987346691931364,50.0,-2.9323270493798668,-15.515360561775152
SIZE+H03+RET40+DD120+CHIP250+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.908138527892005,34.462141459549606,5.210675788683901,1.6974627392081048,-0.3605347536297427,21.781118432073253,62.5,-3.5397292580250306,-14.578688698584928
SIZE+H03+CHIP250+DD60+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,7.252956922721919,30.63591561118034,4.632150440410468,2.620806482311451,-0.322441821463678,21.67399443517044,50.0,-4.510273775893419,-13.65534495548158
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH+C01,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.947754715673897,28.859534477024702,4.363561612926135,-0.4158068972522376,-0.4504578633616599,21.909457192021232,50.0,-1.7569183791311276,-16.69195833504527
SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.965672439267433,31.50951735344616,4.76423902384106,2.201433415426373,-0.343871544378415,21.39354568393599,62.5,-1.6780354268492168,-14.07471802236666
SIZE+H03+DD120+DD60+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.9224637813840415,30.55630851089301,4.620113846847024,2.302349934537018,-0.3377529264676129,21.297783954717232,62.5,-4.828730323667852,-13.973801503256016
SIZE+H03+DD120+DD60+C01+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.165588440493488,32.13696634588185,4.859109311497336,0.3064791289961517,-0.4189422162022096,21.42524705199067,62.5,-4.69439923443005,-15.96967230879688
SIZE+H03+RET40+DD120+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.617693668861456,35.58532851606032,5.380501671628321,5.237191997233135,-0.2189085499658215,20.67047575286628,62.5,-4.867234066375063,-11.038959440559896
SIZE+H03+RET40+DD120+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.12613086780643,34.51366080803517,5.218465514174917,3.9076653536315127,-0.2730650441207156,20.8459417333953,62.5,-5.673956643926527,-12.36848608416152
SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH+C01,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.098832077237521,31.04010004527345,4.693263126845346,1.4055689503921756,-0.3753477777955754,21.856831012713208,50.0,-2.6415253018307894,-14.870582487400856
SIZE+H03+RET40+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,13.86926408846774,30.847879688086856,4.664199408838733,9.205064679629007,-0.0716347139766878,19.08636576534888,62.5,-3.988983707452357,-7.071086758164025
SIZE+H03+DD60+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,10.612853885902364,27.51972817106027,4.1609828994643125,6.451870986438052,-0.1757811551337041,19.978572016217637,62.5,-4.568293491090095,-9.82428045135498
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C01+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,7.520087162470099,30.843433739177428,4.6635271813636265,2.856559981106472,-0.3147122489124959,21.853729587934257,50.0,-1.8200636825152832,-13.41959145668656
