variant,scope,label_offset,group,periods,platform_periods,local_cumulative_return,platform_cumulative_return_window,local_cumulative_excess,platform_cumulative_excess_window,local_annualized_return,platform_window_annualized_return,platform_reported_annualized_return,local_annualized_excess,platform_window_annualized_excess,platform_reported_annualized_excess,local_turnover,platform_reported_turnover,platform_reported_sharpe,same_group_return_sequence,same_group_excess_sequence,best_platform_group_by_return_corr,best_platform_return_corr,best_platform_group_by_excess_corr,best_platform_excess_corr
raw_close_2024,raw_2024,1,4,48,48,0.15083996567782731,0.08662675321102142,0.0332822509055668,-0.04073259234428406,0.15838196396171866,0.09095809087157249,0.08779999999999999,0.03494636345084514,-0.04276922196149826,-0.033,0.887799394873787,0.2606,0.2406,"{'n': 48, 'corr': 0.9944845652955563, 'rmse': 0.6917735756316337, 'mean_delta': 0.13377752597251233, 'sign_agreement': 0.9583333333333334}","{'n': 48, 'corr': 0.3330150526975075, 'rmse': 0.6930697996450517, 'mean_delta': 0.15419759010385597, 'sign_agreement': 0.5833333333333334}",4,0.9944845652955563,3,0.615181309514388
raw_close_2024,raw_2024,1,5,48,48,0.19539604165431002,0.12726211175322533,0.07783832688204946,-9.726919233798981e-05,0.2051658437370255,0.1336252173408866,0.1137,0.08173024322615192,-0.00010213265195488929,-0.0070999999999999995,0.8882449277381469,0.39590000000000003,0.32,"{'n': 48, 'corr': 0.9943517870535818, 'rmse': 0.8390783333829362, 'mean_delta': 0.14194568729392645, 'sign_agreement': 0.9583333333333334}","{'n': 48, 'corr': 0.04053432663796385, 'rmse': 0.8189415541661536, 'mean_delta': 0.16236582515497386, 'sign_agreement': 0.4375}",4,0.9956675344646194,3,0.48904627457107086
raw_close_2024,raw_2024,1,6,48,48,0.17815902400652975,0.13059186190366745,0.06060130923426925,0.0032324977219104767,0.18706697520685622,0.1371214549988508,0.1363,0.0636313746959827,0.0033941226080060004,0.015300000000000001,0.8889997877441664,0.499,0.3857,"{'n': 48, 'corr': 0.9917476976778952, 'rmse': 0.9717604859409048, 'mean_delta': 0.09909825438096322, 'sign_agreement': 0.9166666666666666}","{'n': 48, 'corr': 0.1692448083124615, 'rmse': 0.9359416294205894, 'mean_delta': 0.1195183573174141, 'sign_agreement': 0.4583333333333333}",5,0.9934096658261968,5,0.2897147722799528
raw_close_2024,raw_2024,1,7,48,48,0.15202707222393547,0.1278061717748642,0.03446935745167494,0.00044681038707494736,0.15962842583513223,0.1341964803636074,0.1324,0.03619282532425869,0.0004691509064286947,0.011399999999999999,0.8893891421466269,0.5717,0.3574,"{'n': 48, 'corr': 0.9916926050203011, 'rmse': 1.0151335033889108, 'mean_delta': 0.050460209268898534, 'sign_agreement': 0.9375}","{'n': 48, 'corr': 0.49839779490189096, 'rmse': 0.9758736813825126, 'mean_delta': 0.07088030638458331, 'sign_agreement': 0.5625}",5,0.9926526346106045,7,0.49839779490189096
raw_close_2024,raw_2024,1,8,48,48,0.15139339260611512,0.12510308623313904,0.03383567783385452,-0.0022562257945537567,0.15896306223642087,0.13135824054479597,0.1578,0.035527461725547244,-0.0023690370842814443,0.0368,0.8982051842634114,0.6046,0.4331,"{'n': 48, 'corr': 0.9871928067395151, 'rmse': 1.193154548528761, 'mean_delta': 0.05477147161036668, 'sign_agreement': 0.9375}","{'n': 48, 'corr': 0.48292691919034936, 'rmse': 1.1520660265697575, 'mean_delta': 0.07519146589251721, 'sign_agreement': 0.5416666666666666}",6,0.9904377374372705,6,0.5211824473904196
raw_close_2024,raw_2024,1,9,48,48,0.10550218775073789,0.13408225029706955,-0.012055527021522627,0.006722856312990189,0.11077729713827478,0.14078636281192303,0.1825,-0.012658303372598758,0.007058999128639698,0.0616,0.8932765507589083,0.573,0.5147,"{'n': 48, 'corr': 0.9814101645356663, 'rmse': 1.3434462356186778, 'mean_delta': -0.05954179697152426, 'sign_agreement': 0.9583333333333334}","{'n': 48, 'corr': 0.46154808749256204, 'rmse': 1.3053461665010218, 'mean_delta': -0.039121631946901714, 'sign_agreement': 0.5625}",6,0.9877073554653987,6,0.5661905578593476
raw_close_2024,raw_2024,1,10,48,48,0.03964673706502811,0.09859441965818405,-0.07791097770723243,-0.028764944523572922,0.04162907391827951,0.10352414064109325,0.1379,-0.08180652659259405,-0.030203191749751567,0.017,0.8507694951835327,0.337,0.3871,"{'n': 48, 'corr': 0.9711540029231751, 'rmse': 1.757335691242734, 'mean_delta': -0.12280767206907489, 'sign_agreement': 1.0}","{'n': 48, 'corr': 0.1879217836816799, 'rmse': 1.7454421465653933, 'mean_delta': -0.10238756913262391, 'sign_agreement': 0.625}",6,0.9879710900089905,6,0.6697676484861262
raw_close_2024,raw_2024,0,1,48,48,-0.062186534752634914,0.16142367757856846,-0.15219699360582048,0.03406430594623089,-0.06529586149026666,0.16949486145749687,0.07919999999999999,-0.1598068432861115,0.03576752124354243,-0.0417,0.8457820885254675,0.021400000000000002,0.2736,"{'n': 48, 'corr': 0.681709760096792, 'rmse': 4.02858824572492, 'mean_delta': -0.46585460902334036, 'sign_agreement': 0.8125}","{'n': 48, 'corr': 0.19502946508453786, 'rmse': 2.7554459638078486, 'mean_delta': -0.3880443740667738, 'sign_agreement': 0.4791666666666667}",6,0.798496193909129,10,0.2161760724516504
raw_close_2024,raw_2024,0,2,48,48,0.20921807462729808,0.148385651409626,0.11920761577411249,0.02102631237357855,0.21967897835866296,0.1558049339801073,0.0883,0.1251679965628181,0.022077627992257473,-0.0325,0.8937933526323364,0.075,0.2929,"{'n': 48, 'corr': 0.7455418131199729, 'rmse': 3.6737559976483043, 'mean_delta': 0.12673421503681678, 'sign_agreement': 0.8125}","{'n': 48, 'corr': 0.3927113945354374, 'rmse': 1.7300933727851582, 'mean_delta': 0.20454438208444573, 'sign_agreement': 0.625}",6,0.7897102739515841,2,0.3927113945354374
raw_close_2024,raw_2024,0,3,48,48,0.21682166393265442,0.13491711765527725,0.1268112050794688,0.007557731121778488,0.22766274712928714,0.1416629735380411,0.08539999999999999,0.13315176533344222,0.007935617677867412,-0.0354,0.8955949872460477,0.1446,0.2545,"{'n': 48, 'corr': 0.7837866545155565, 'rmse': 3.625166393116274, 'mean_delta': 0.17063447141120242, 'sign_agreement': 0.8125}","{'n': 48, 'corr': 0.3627692447368737, 'rmse': 1.0229171877166598, 'mean_delta': 0.2484447374118548, 'sign_agreement': 0.6041666666666666}",6,0.8053904674729635,1,0.44925785104511684
