train_rank,bitmask,components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,train_period_label,train_periods,train_first_signal_date,train_last_signal_date,train_mean_stock_count,train_rank_ic,train_ic_mean,train_gross_excess_pct,train_turnover_pct,train_annual_cost_pct,train_net_excess_pct,train_sharpe_after_cost,train_max_drawdown_pct,train_monthly_win_rate_pct,test_period_label,test_periods,test_first_signal_date,test_last_signal_date,test_mean_stock_count,test_rank_ic,test_ic_mean,test_gross_excess_pct,test_turnover_pct,test_annual_cost_pct,test_net_excess_pct,test_sharpe_after_cost,test_max_drawdown_pct,test_monthly_win_rate_pct,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,platform_A_raw_mean,A_newcomer_no_decay_proxy,full_min_member_addition_pp,full_vs_best_single_pp,train_min_member_addition_pp,train_vs_best_single_pp,test_min_member_addition_pp,test_vs_best_single_pp,recent_min_member_addition_pp,recent_vs_best_single_pp,contains_new_proxy,same_B01_pair
11,94,H03+RET40+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.674328599123534,32.89793811837364,4.974168243498093,9.70016035562544,0.6947299971027849,33.149911834390565,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.599956670366506,32.08575230860682,4.851365749061352,9.748590921305157,0.1405647069616537,33.149911834390565,69.44444444444444,test,47,2024-09-11,2026-08-10,5059.36170212766,,,14.789842445916362,34.142137656739806,5.162291213699058,9.627551232217304,1.576587774907816,21.556948017609614,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.095082347130885,32.03113739564035,4.843107974220821,-0.748025627089937,-0.4745056420006722,21.5569480176096,62.5,0.0097681363682,0.1221017046025,-1.6738745851880434,-4.566306854330668,-1.6000240149865448,-3.676989798727293,-3.0116623177886286,-5.945516794779142,-4.357379996029279,-17.02417706488297,False,False
12,93,SIZE+RET40+DD120+CHIP250+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.661850678696316,32.62785932107043,4.933332329345849,9.728518349350468,0.6838069586347055,33.68375414303072,75.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.536029331944114,31.77161043467897,4.80386749772346,9.732161834220657,0.1375977015551127,33.68375414303072,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.36170212766,,,14.85727532365187,33.93955974277648,5.131661433107804,9.725613890544066,1.5521889107224414,22.653038614032774,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,1.474978094333346,31.56050008974033,4.771947613568737,-3.296969519235392,-0.5672868985793172,22.65303861403276,50.0,0.0086599172834,0.1082489660425,-1.302576554282853,-7.3974451918389,-0.9405578212255428,-7.540620796572412,-3.013143937609252,-7.172775111410866,-3.3345818197368926,-15.870555385886876,False,False
13,127,SIZE+H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH,7,full,120,2021-09-07,2026-08-10,4743.825,,,15.625214372199704,33.65491805357285,5.088623609700214,10.536590762499491,0.7012461048541281,34.13356983075503,71.66666666666667,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.54481859169108,32.56415932295468,4.923700889630748,9.621117702060332,0.1318381485809253,34.13356983075503,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,17.303275903628005,35.325867598349625,5.341271180870464,11.96200472275754,1.619869371564815,21.478965754278057,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.783135533018473,32.77733904263582,4.955933663246537,1.8272018697719357,-0.356420443442441,21.47896575427801,62.5,0.0087869067764285,0.1098363347053571,-1.4040272943221197,-6.589372778689876,-1.6562760713067668,-7.651664928732734,-2.0742624310885684,-4.936384279197391,-3.947326181698822,-14.448949568021098,False,True
14,59,SIZE+H03+DD120+CHIP250+DD60,5,full,120,2021-09-07,2026-08-10,4743.85,,,14.826831643910436,30.240871316694623,4.572419743084226,10.254411900826208,0.6932322409988142,33.63631872065994,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,13.781925163853137,28.527431477579302,4.31334763940999,9.468577524443148,0.1257983257962008,33.63631872065994,69.44444444444444,test,47,2024-09-11,2026-08-10,5059.425531914893,,,16.449771495914316,32.865715325552166,4.969296157223488,11.480475338690828,1.630651725343264,22.08478677692478,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.9129136267254045,29.565777576297776,4.470345569536224,0.4425680571891813,-0.4111721157316631,22.08478677692477,62.5,0.0083188404186,0.1039855052324999,-2.2066260890116336,-6.87155164036316,-2.722626362267338,-7.804205106349919,-2.5923952508282166,-5.417913663264105,-3.7925275479557015,-15.833583380603852,False,True
15,47,SIZE+H03+RET40+DD120+DD60,5,full,120,2021-09-07,2026-08-10,4880.233333333334,,,15.317625772493445,35.32056907343323,5.340470043903104,9.97715572859034,0.6677012364179499,33.05920663829968,73.33333333333333,train,73,2021-09-07,2024-08-28,4736.013698630137,,,14.568895538722998,34.323355339579905,5.189691327344481,9.379204211378516,0.1032694065933252,33.05920663829968,75.0,test,47,2024-09-11,2026-08-10,5104.234042553191,,,16.48054719941349,36.848215644442575,5.571450205439718,10.90909699397377,1.615517293243686,21.75763469531161,70.83333333333334,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,7.827121213206749,34.7840300751941,5.259345347369349,2.5677758658374,-0.3257774080555063,21.757634695311637,62.5,0.0103351736822,0.1291896710274999,-1.873212207885336,-7.148807812599028,-1.5085222127819264,-7.893578419414551,-3.410937159667794,-5.989292007981161,-4.777471573749438,-13.708375571955632,False,True
16,111,SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4880.208333333333,,,14.906740209045177,33.81169884845107,5.112328865885803,9.794411343159371,0.6640501819219542,35.26083300540239,70.0,train,73,2021-09-07,2024-08-28,4736.013698630137,,,14.210828236468048,32.928437342228825,4.978779726144998,9.23204851032305,0.0997626286204424,35.26083300540239,75.0,test,47,2024-09-11,2026-08-10,5104.170212765957,,,15.987624762196887,35.164780304791535,5.31691478208448,10.670709980112408,1.5888380786699938,20.96441005272255,62.5,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,8.447203996385863,32.94542545766333,4.981348329198696,3.465855667187168,-0.2881395108018356,20.96441005272256,62.5,0.0087062964801666,0.1088287060020833,-2.734599814839271,-7.331552198029996,-2.50688688904862,-8.040734120470017,-3.5165422889718005,-6.227679021842524,-5.378448471189394,-12.810295770605864,False,True
17,55,SIZE+H03+RET40+CHIP250+DD60,5,full,120,2021-09-07,2026-08-10,4743.85,,,16.31082365622287,35.283630045417794,5.33488486286717,10.9759387933557,0.7198299689566309,33.473094181734886,75.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,14.178085303284051,33.86338507293125,5.120143823027205,9.057941480256847,0.1138191532716446,33.473094181734886,77.77777777777779,test,47,2024-09-11,2026-08-10,5059.425531914893,,,19.623374715042733,37.45932447135461,5.663849860068817,13.959524854973914,1.7236864674888888,21.467853450299867,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,9.718971033014808,35.09008009263398,5.3056201100062585,4.413350923008549,-0.2484298615798151,21.467853450299835,62.5,0.0114152874379999,0.142691092975,-1.908826319627659,-6.150024747833669,-2.368454350695289,-8.21484115053622,-1.3279673476615077,-2.938864146981018,-2.329520686411822,-11.862800514784483,False,True
18,122,H03+DD120+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.283131678776549,31.101209299135533,4.702502846029293,8.580628832747255,0.6506480944441364,33.600851994760816,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,13.39194279215784,29.96497071801196,4.530703572563408,8.861239219594433,0.1106841463581993,33.600851994760816,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,13.11412718352476,32.841830104261014,4.965684711764266,8.148442471760495,1.49321142473086,21.866333355581745,66.66666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.0484634312491985,29.537866381655125,4.466125396906255,-4.417661965657056,-0.6284403286103504,21.86633335558177,50.0,0.0063822479633999,0.0797780995425,-1.4729488216954163,-5.685838377208853,-2.487375716697267,-4.564341500438015,-2.241713944297896,-7.424625555235952,-3.480512949974929,-20.69381340345009,False,False
19,63,SIZE+H03+RET40+DD120+CHIP250+DD60,6,full,120,2021-09-07,2026-08-10,4743.85,,,15.127817215448186,34.54699380096834,5.223505462706412,9.904311752741773,0.679508912720895,33.80590441911916,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,13.754162942534462,33.047131445948175,4.996726274627364,8.757436667907099,0.1032234335844298,33.80590441911916,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.425531914893,,,17.261365341463122,36.844655280999234,5.570911878487084,11.69045346297604,1.631539427227236,21.706746824428823,66.66666666666666,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.1631743539190245,34.280436667740936,5.18320202416243,0.9799723297565948,-0.3880604383778764,21.70674682442881,62.5,0.0101577394941666,0.1269717436770833,-1.4299252945812952,-7.221651788447595,-1.515565728432362,-8.515345962885968,-2.2690713919978744,-5.207935538978893,-3.4333785932519545,-15.296179108036435,False,True
20,121,SIZE+DD120+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,12.463788796066517,30.561319310184743,4.620871479699933,7.842917316366583,0.6169890150883984,33.906605327660685,71.66666666666667,train,73,2021-09-07,2024-08-28,4540.671232876713,,,13.060135102421274,29.47481358776849,4.456591814470596,8.60354328795068,0.100016449082215,33.906605327660685,80.55555555555556,test,47,2024-09-11,2026-08-10,5059.36170212766,,,11.537548788324017,32.22575360835432,4.872533945583173,6.665014842740844,1.4333720517807584,23.229019086862955,58.333333333333336,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-3.029322488040365,28.77967255534909,4.351486490368782,-7.3808089784091475,-0.7364584974946334,23.22901908686293,37.5,0.0052740288786,0.0659253609825,-1.818719289881109,-9.283046224822783,-2.0691763674955173,-8.669239342842387,-2.310824436283717,-10.233374159214089,-3.3003645046479644,-19.954394845060637,False,False
21,126,H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.58575130024748,35.601622372926926,5.382965302786551,8.202785997460929,0.6329615984630591,34.478290030247074,70.0,train,73,2021-09-07,2024-08-28,4540.671232876713,,,12.991377334783424,34.49516490335836,5.215668933387783,7.775708401395641,0.0749799805768306,34.478290030247074,66.66666666666666,test,47,2024-09-11,2026-08-10,5059.36170212766,,,14.508927884904416,37.29662104971283,5.63924910271658,8.869678782187835,1.496978178891363,21.35811519927494,75.0,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.517716819888471,34.72250486575225,5.250042735701739,-2.732325915813268,-0.5570415153555126,21.35811519927492,62.5,0.0085439124481666,0.1067989056020833,-1.497374358164512,-6.06368121249518,-1.972882519909514,-5.649872318636807,-1.700207053909354,-6.703389244808612,-3.049716775056959,-19.0084773536063,False,False
22,125,SIZE+RET40+DD120+CHIP250+DD60+ASSET_GROWTH,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.35140574421114,35.414675443913,5.354698927119645,7.996706817091495,0.6206625125998121,33.19547320879215,71.66666666666667,train,73,2021-09-07,2024-08-28,4540.671232876713,,,12.788552260619584,34.485944771347334,5.214274849427717,7.5742774111918685,0.0674091438124532,33.19547320879215,72.22222222222221,test,47,2024-09-11,2026-08-10,5059.36170212766,,,14.225624984683124,36.8374117933753,5.5698166631583454,8.65580832152478,1.4886038763274627,22.07892981974721,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.245561361923285,34.13572580344415,5.161321741480756,-2.9157603795574705,-0.552008138323184,22.078929819747184,62.5,0.0076203965441666,0.0952549568020833,-1.7318115322589724,-9.129256724097871,-2.1578844230287864,-9.698505219601198,-2.053480161822101,-8.242580680430152,-1.805501095778089,-15.489346246208957,False,False
23,117,SIZE+RET40+CHIP250+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.940115795850907,35.990464514176026,5.441758234543414,8.498357561307493,0.6394873343197792,34.3839242453362,73.33333333333333,train,73,2021-09-07,2024-08-28,4540.671232876713,,,12.376030051203696,35.04759028363196,5.299195650885153,7.076834400318544,0.0516919091745235,34.3839242453362,75.0,test,47,2024-09-11,2026-08-10,5059.36170212766,,,16.369440463068912,37.43486759075418,5.660151979722032,10.709288483346882,1.5641368075758095,22.469251228999088,70.83333333333334,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.147809208691712,34.77558526766597,5.258068492471094,-1.1102592837793814,-0.4720228682052273,22.46925122899908,50.0,0.008370475898,0.1046309487249999,-2.5327373423258277,-8.627605979881874,-2.855886478622808,-10.195948230474524,-2.0294693448064365,-6.1891005186080505,-1.5467607752136583,-13.683845150430866,False,False
24,110,H03+RET40+DD120+DD60+ASSET_GROWTH,5,full,120,2021-09-07,2026-08-10,4880.208333333333,,,12.379219862109208,35.96981444567167,5.438635944185557,6.940583917923651,0.5779119699113321,34.78462911326704,70.0,train,73,2021-09-07,2024-08-28,4736.013698630137,,,11.99729848777702,35.03787893641264,5.297727295185592,6.699571192591431,0.0200215628297279,34.78462911326704,69.44444444444444,test,47,2024-09-11,2026-08-10,5104.170212765957,,,12.972416890327294,37.397460332196175,5.654496002228061,7.317920888099231,1.458645929524609,21.488876726688154,70.83333333333334,recent,15,2026-01-09,2026-08-10,5142.933333333333,,,4.097397039071084,35.40644765464085,5.353454885381696,-1.2560578463106118,-0.4896082813138078,21.488876726688165,62.5,0.008398581227,0.1049822653375,-1.9011231819381167,-7.325883292032457,-2.313086011271552,-6.726009527441017,-2.119315807240306,-8.255147138897215,-6.903765368970297,-17.532209284103644,False,False
