formula,source,gp_net_excess,corr_size,finite_share,raw_net,raw_turnover,neutralised_net,neutralised_turnover,net_kept
"Sub(TsIr(book_to_market_ratio_lf,50),market_cap)",net-scale-mining-20260923,0.2062241917848587,0.9999989555911706,0.832429718875502,0.22328053160467465,0.08469689857839649,-0.1382328497430218,0.25761663777635074,-0.6190994295363266
"Sub(Sub(TsIr(book_to_market_ratio_lf,50),market_cap),market_cap)",net-scale-mining-20260923,0.2062222706794738,0.9999989603227528,0.832429718875502,0.2232675630212182,0.08469689857839649,-0.1382328497430218,0.25761663777635074,-0.6191353901680956
"Sub(TsMin(SLog1p(ratio_bm_ttm),50),market_cap)",net-scale-mining-20260923,0.2062166630744934,0.9999989638776879,0.832429718875502,0.22285246322087346,0.0846768428233976,-0.13830846200188102,0.25761667402242067,-0.6206279257716832
"Sub(TsWMA(TsMinDiff(TsSkew(ratio_sp_ttm,20),30),10),market_cap)",net-scale-mining-20260923,0.2062166230201721,0.9999989557655181,0.8283209762125424,0.22425000630269273,0.08447359597117651,-0.13992265558568215,0.25718470780034614,-0.6239583128341789
"Sub(TsMean(TsCov(TsPctChange(ratio_bm_ttm,20),TsMad(ratio_ep_ttm,10),30),20),market_cap)",net-scale-mining-20260923,0.2062164848327636,0.999998947954168,0.8246586345381526,0.22396625416761762,0.08452968626966098,-0.14234757198503475,0.2578456619879414,-0.6355759822571352
"Sub(TsMinDiff(Abs(turnover),30),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.9999989765580689,0.8412279888785913,0.22394835506390162,0.08518337835237588,-0.14202873241335212,0.25814779556861994,-0.6342030615622317
"Sub(TsMean(turnover,30),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.999998976424309,0.8412279888785913,0.2239720409242825,0.0852016069019302,-0.14202873241335212,0.25814779556861994,-0.6341359922748898
"Sub(TsMinDiff(turnover,30),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.9999989765580689,0.8412279888785913,0.22394835506390162,0.08518337835237588,-0.14202873241335212,0.25814779556861994,-0.6342030615622317
"Sub(Sub(TsMinDiff(turnover,30),market_cap),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.9999989778212711,0.8412279888785913,0.2239720409242825,0.0852016069019302,-0.14202873241335212,0.25814779556861994,-0.6341359922748898
"Sub(TsDiv(market_cap,30),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.9999989789323082,0.8412279888785913,0.2239720409242825,0.0852016069019302,-0.14202873241335212,0.25814779556861994,-0.6341359922748898
"Sub(TsMad(turnover,30),market_cap)",net-scale-mining-20260923,0.2061942832231521,0.9999989776803081,0.8412279888785913,0.2239720409242825,0.0852016069019302,-0.14202873241335212,0.25814779556861994,-0.6341359922748898
"Sub(TsSkew(book_to_market_ratio_lf,50),market_cap)",net-scale-mining-20260923,0.206194008475542,0.9999989640297914,0.832429718875502,0.2228759415740817,0.08471156745705269,-0.13830846200188102,0.25761667402242067,-0.6205625471509615
"Sub(TsDiv(ratio_bm_ttm,50),market_cap)",net-scale-mining-20260923,0.206194008475542,0.9999989645092262,0.832429718875502,0.2228759415740817,0.08471156745705269,-0.13830846200188102,0.25761667402242067,-0.6205625471509615
"Sub(TsMax(turnover,50),market_cap)",net-scale-mining-20260923,0.2061862358093261,0.9999989584375285,0.8331711461229534,0.2229695388395564,0.08470452878645882,-0.14026497153803513,0.2577985764322128,-0.629076833849338
"Sub(TsEMA(TsMinMaxDiff(TsDiv(ratio_pcf_ocf_ttm,20),40),10),market_cap)",net-scale-mining-20260923,0.2061860336601734,0.9999980189026403,0.8248856966326845,0.22365860942711147,0.08435965594157968,-0.14301243428192645,0.25826061409312406,-0.6394228894127728
"Sub(TsEMA(TsDiv(book_to_market_ratio_lf,30),10),market_cap)",net-scale-mining-20260923,0.2061801237702369,0.9999989700067125,0.8368535681186283,0.22373161912603706,0.08499112984200585,-0.14138714366679486,0.25806010281382896,-0.6319497629306735
"Sub(Sub(TsMaxDiff(book_to_market_ratio_lf,40),market_cap),market_cap)",net-scale-mining-20260923,0.2061780443251133,0.9999982199437861,0.8364535063330244,0.2240116218012349,0.08520386375200448,-0.1410469591882018,0.257850597725311,-0.6296412572440214
"Sub(TsIr(TsMax(ratio_bm_ttm,10),40),market_cap)",net-scale-mining-20260923,0.2061737648963928,0.9999989497628045,0.8328251467408094,0.22338603597443288,0.08472399169590629,-0.13958330435395125,0.2576784865266629,-0.6248524163342373
"Sub(TsMaxDiff(Sub(book_to_market_ratio_lyr,market_cap),10),market_cap)",net-scale-mining-20260923,0.2061735308289528,0.998664935514235,0.8483117083719495,0.2253140556936805,0.12737564744523563,-0.13698792709303717,0.28686856135455563,-0.6079866019511687
"Sub(TsMaxDiff(TsKurt(TsWMA(market_cap,30),50),40),market_cap)",net-scale-mining-20260923,0.2061693854570388,0.9999989332315841,0.8055823293172691,0.2230432796005324,0.08422626721925941,-0.14193893130404275,0.25623092294450844,-0.6363739430224193
"Sub(TsDelta(TsIr(TsSum(TsDelta(TsDelta(ratio_sp_ttm,10),20),20),10),10),market_cap)",net-scale-mining-20260923,0.206156301087141,0.9999989466317494,0.8239033055298115,0.22316623300995114,0.08451985342482034,-0.14291391107548285,0.2576097933165825,-0.6403921827596123
"Sub(TsMinDiff(TsIr(TsMad(TsStd(TsStd(TsMad(ratio_pcf_ocf_ttm,10),20),20),30),10),10),market_cap)",net-scale-mining-20260923,0.2061520533263683,0.9999989316459318,0.8139372876119865,0.2229620582502857,0.08426631497098754,-0.1404155839676475,0.25686807409657053,-0.6297734469692786
"Sub(TsKurt(TsWMA(book_to_market_ratio_lf,30),10),market_cap)",net-scale-mining-20260923,0.206149582350254,0.9999989697004958,0.8368535681186283,0.2237077277759927,0.08503208838845316,-0.14138714366679486,0.25806010281382896,-0.6320172533707523
"Sub(TsIr(TsMean(ratio_bm_ttm,40),40),market_cap)",net-scale-mining-20260923,0.2061412899792194,0.999998899624777,0.8207105344454744,0.2238047770023092,0.08430507849478175,-0.14256794718691085,0.2574895151926294,-0.6370192321026278
"Sub(TsMaxDiff(TsMin(TsMinMaxDiff(turnover,50),30),40),market_cap)",net-scale-mining-20260923,0.2061404962778091,0.9999989303859668,0.8055823293172691,0.22301566846777737,0.08420846348759725,-0.14195376807847368,0.25623092294450844,-0.6365192591792447
"Sub(TsMaxDiff(TsMaxDiff(book_to_market_ratio_lf,40),40),market_cap)",net-scale-mining-20260923,0.2061236803472042,0.9999967446913282,0.8207105344454744,0.2249622950026846,0.0851836160063565,-0.14232891436977105,0.2576369179102396,-0.632678975683781
"Sub(TsDelta(ratio_ep_ttm,30),market_cap)",net-scale-mining-20260923,0.2061052950382232,0.9999983986747952,0.8428251467408093,0.2242291671901854,0.08516754555810895,-0.1446045043954196,0.25952091776608593,-0.6448960508013206
"Sub(TsMinMaxDiff(SLog1p(ratio_ep_ttm),50),market_cap)",net-scale-mining-20260923,0.2060978622078895,0.999998961545603,0.8318350324374422,0.22297453607911547,0.08466374526978739,-0.13950008993634205,0.2571878536442414,-0.6256323811201691
"Sub(TsMinDiff(TsMinDiff(TsMin(ratio_bm_ttm,20),30),30),market_cap)",net-scale-mining-20260923,0.2060959708929061,0.9999980707359047,0.8211214087117701,0.2241207507108166,0.08441836851619074,-0.1423967047835345,0.25750411476727125,-0.6353570757366828
"Sub(Sub(Pow(market_cap,Constant(-1.0)),Constant(-0.5)),TsStd(Pow(market_cap,Constant(-1.0)),40))",net-scale-mining-20260923,0.2060872668385505,0.997912521728868,0.8371949335804757,0.22237683619860685,0.09356342056016778,0.06391085457662771,0.5815269093052072,0.2873988841155574
"Sub(TsDiv(TsKurt(TsMinDiff(TsWMA(ratio_pcf_ocf_ttm,10),50),50),30),market_cap)",net-scale-mining-20260923,0.2060867774248123,0.9999964851509956,0.7967191844300279,0.22279108376958534,0.08396973423182108,-0.14084210800859162,0.2551124087731532,-0.6321712055328621
"Sub(Sub(Pow(market_cap,Constant(-1.0)),TsStd(TsStd(Pow(market_cap,Constant(-1.0)),40),40)),TsStd(Pow(market_cap,Constant(-1.0)),40))",net-scale-mining-20260923,0.206086552119255,0.9969177492826904,0.8214519616929257,0.22308888634324475,0.09406595922417699,0.07264747773678268,0.5465297474618265,0.32564364333688595
"Sub(Sub(Pow(market_cap,Constant(-1.0)),TsStd(Pow(market_cap,Constant(-1.0)),40)),TsStd(TsStd(Pow(market_cap,Constant(-1.0)),40),40))",net-scale-mining-20260923,0.206086552119255,0.9969177494322061,0.8214519616929257,0.22308888634324475,0.09406595922417699,0.07264747773678268,0.5465297474618265,0.32564364333688595
"Sub(TsIr(market_cap,50),market_cap)",net-scale-mining-20260923,0.2060850388169288,0.9999989583650191,0.8331711461229534,0.22289548990341854,0.08463493498605322,-0.14018393132297408,0.25778121366790674,-0.6289222423644207
"Sub(TsIr(TsMaxDiff(TsStd(TsStd(book_to_market_ratio_lf,30),30),10),50),market_cap)",net-scale-mining-20260923,0.2060774634182453,0.9999989310924782,0.805237874575224,0.222495812571713,0.0841768820379136,-0.14163976398689385,0.2562697048733543,-0.6365951895892049
"Sub(TsMean(Ref(Ref(TsPctChange(book_to_market_ratio_lf,20),20),10),40),market_cap)",net-scale-mining-20260923,0.2060772555112839,0.9999989489548516,0.8198856966326846,0.22373976935261486,0.08523239459502338,-0.14301698444931163,0.25919744377159526,-0.6392112804224637
"Sub(TsMaxDiff(TsIr(TsWMA(TsKurt(open,40),40),20),30),market_cap)",net-scale-mining-20260923,0.2060759492397308,0.9999989329796447,0.8207398826073525,0.22299573648242874,0.08418817487343978,-0.144593741554137,0.25691443664798796,-0.6484148254804436
"Sub(TsDiv(market_cap,50),market_cap)",net-scale-mining-20260923,0.2060753626942634,0.999998967320847,0.8331711461229534,0.22306294964727583,0.0846881334276027,-0.14025939498186452,0.25778124991397666,-0.6287883989862655
"Div(TsDiv(ratio_sp_ttm,10),market_cap)",net-scale-mining-20260923,0.2060672594547271,0.998297012158415,0.847645968489342,0.22585930145774546,0.13386997205075568,0.042876762855369,0.7050182522359612,0.18983837538960302
