holding_date,name,player,pid,pool,direction,cycle,rank_ic,ic,ic_mean,icir,n
20260909,冠军池03-资金过热反向保护,霖笙,831fa7e0bdc34fda838955262351c729,03f021985ba366342d763cd2,positive,5,0.3752623031656686,0.3281323980828899,0.1324168731557744,0.4784130895432847,2
20260909,QF-14,mk13579,bc919f74aebe43eca548552ddc412d64,9550bf664c3b34a663d782d2,positive,5,0.3742874876221036,0.3285456888268928,0.1467500200273087,0.5707943153198436,2
20260911,r8_ts_rank_close,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3724110990328899,-0.2568081409397713,-0.2568081409397713,,1
20260915,阿里3,阿里,b417b9da0a0a479790522d749a82ad9b,c9d3e17ed9ff56b461f4e75b,positive,3,0.372251399849962,0.3221793086475297,0.0644958480743665,0.2586021930926928,3
20260915,股票20日波动率因子_V1,Alpha猎手,82302d12445b4deeafb7de45d0ec252e,a17db9ff949c53247b5f9dc2,negative,3,0.372251399849962,0.3221793086475297,0.0708211518111516,0.3471143957862144,4
20260911,probe-20d bias,陈死狗,3d718cebb8e04c7981e8626ec076afd9,fa186fd3bdd9507aeca17a87,negative,5,-0.3719775348521136,-0.2433915671801953,-0.1375122096989746,-0.9183642429199448,2
20260911,roc_10d动量,郭相山,9b4a58b00e314b63a7124a186bb89677,c05b174c843ae939505aaa07,positive,5,-0.3710024538126547,-0.2536933463146228,-0.1406272468712145,-0.8794720996986489,2
20260911,r1_rev_close_10,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3710024538126547,-0.2536933463146228,-0.2536933463146228,,1
20260909,T3平滑均线负偏离反转,国羽长虹,49c2e9af1f724c0998e6f92ffe3ffc4d,830d8af1f995326ce9a7681a,negative,5,-0.368923721472488,-0.304227587555747,-0.1222551482741842,-0.4750578973439151,2
20260911,r9_rank_returns,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3668532104410754,-0.2762082197734272,-0.2762082197734272,,1
20260911,comp6-b09_DMI趋向差,衍神,67faa5dca2dd446cab3dab6785265f8c,5d02513c74284390d06bbde6,negative,5,-0.3630843078925293,-0.268898604326988,-0.268898604326988,,1
20260911,r8_ts_median_dev,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3623003233567347,-0.2202263796602427,-0.2202263796602427,,1
20260910,潜在因子1(5),无助的我,6543cef603d443bcb4983298d075c575,ef4bb1338c0a4dc675fd9822,positive,5,0.3600266040581032,0.2807105061891146,0.0603271525957303,0.1935615281035323,2
20260909,6,0sec,8b9a45830e604b4d933cacf07ff66f78,37ee51bc7f2e680ee73e9d76,positive,5,0.3599650768234934,0.3262782370266649,0.1381259275031897,0.5190995541992055,2
20260915,full2-vol_60d,金豚,1fbfd7542e0144c08240fe86a561b93e,37aa063b9ce7a1d2c3a39852,negative,5,0.3587844034306746,0.3080754878773062,0.129312325224878,0.6785960091868306,3
20260904,new10-60日低位潜力,Csrnbk,9ac35f05d6d443108defb31b35ddf8c8,3bf29c7b111b8048408752e0,negative,10,-0.3569882171320002,-0.3863108150997338,-0.3863108150997338,,1
20260914,Macro_CGO_Basic_w75_Fixed,sakuraly,df135296d7eb4097aacc89408c71c3f3,6192864b134cfb7ad01b69b6,negative,5,-0.3568496075231136,0.074348543329859,0.0283217874250113,0.4351062235398651,2
20260904,cross-45日反转,Csrnbk,9ac35f05d6d443108defb31b35ddf8c8,3bf29c7b111b8048408752e0,negative,10,-0.3549643926109496,-0.3169843529196665,-0.3169843529196665,,1
20260915,BATCH1MOMxVOL,GuoXIze,0134d2eb43d04995a9fed90fdb8ca592,31cead1a5a6430ad387d9ef3,positive,5,-0.3549408458191725,-0.2972822062001883,-0.1866553587489949,-1.1930672613124194,2
20260915,新S3,陈博杨,703f98f326eb4746b8eca74c3d38cb59,3b94894e0ca83aa6ce4331b8,positive,5,-0.3529631591095735,-0.3055292225966671,-0.0841454193886578,-0.4322856321871122,3
20260909,full-mom-mom_rsi14,我不会啊,9ba82617661048b1b36ffda848d8a880,d9912fa70c0705c49d35e488,positive,5,-0.3528718694954104,-0.284092662184139,-0.1027834252421262,-0.4008557876482185,2
20260914,val2-w06,清风,a1412d2510bf426bb33d4a2ae9879dd4,78c9b3cc6ba35981e6c25a29,negative,5,0.3525413856776511,0.3115354380141895,0.3115354380141895,,1
20260911,r9_rank_mom_60,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3516041366266019,-0.2646641870216702,-0.2646641870216702,,1
20260915,BATCH1LOW-VOL-20,GuoXIze,0134d2eb43d04995a9fed90fdb8ca592,31cead1a5a6430ad387d9ef3,negative,5,0.351197775415451,0.3116839144593787,0.1428051895813815,0.5979351041084375,2
20260915,probe-20日波动率,Alpha,f04abfbad0bd4fb4a5804b00fcb30c3a,0b658b582ae4601c1f4d52d8,negative,5,0.351197775415451,0.3116839144593787,0.0796093642791581,0.3955764088177654,3
20260914,AI30-25-LowMom10D-20260804-134415,Ctest,e8df43ea69514282848e67d83c034e7f,c60c90354b9e9c06b7600a33,positive,4,-0.3506973523912351,-0.2333977965604324,-0.1120708121685301,-0.774868858994304,3
20260914,val-v06,清风,a1412d2510bf426bb33d4a2ae9879dd4,78c9b3cc6ba35981e6c25a29,negative,5,0.3500073703602072,0.2687951608717571,0.2687951608717571,,1
20260914,q1-Q05,123321,e4fbe3381b0548eebfc7fa1d4e29836b,82f034acbc0aea0a2c6d308d,negative,5,0.3500073703602072,0.2687951608717571,0.2687951608717571,,1
20260918,probe-2507-2d-总市值,Ctest,2c5f09c0cf5e46e1b13b10cdb0834fd3,c8899f5e576cbb354e49847d,negative,2,-0.3492379619401083,-0.1240158684322405,-0.012675145197747,-0.145078217729728,7
20260918,full-2401-2d-总市值,Ctest,2c5f09c0cf5e46e1b13b10cdb0834fd3,c8899f5e576cbb354e49847d,negative,2,-0.3492379619401083,-0.1240158684322405,-0.012675145197747,-0.145078217729728,7
20260914,AI30-22-HighMom10D-20260804-134415,Ctest,e8df43ea69514282848e67d83c034e7f,c60c90354b9e9c06b7600a33,positive,4,-0.3468836631996089,-0.2295107501563859,-0.1063930201354752,-0.7223527262402044,3
