expression,topic,depth,retriever_objective,train_ic,train_icir,train_rank_ic,train_size_corr,train_periods,train_gross_excess,train_turnover,train_annual_cost,train_net_excess,train_absolute_max_drawdown,train_excess_max_drawdown,valid_ic,valid_icir,valid_rank_ic,valid_size_corr,valid_periods,valid_gross_excess,valid_turnover,valid_annual_cost,valid_net_excess,valid_absolute_max_drawdown,valid_excess_max_drawdown,test_ic,test_icir,test_rank_ic,test_size_corr,test_periods,test_gross_excess,test_turnover,test_annual_cost,test_net_excess,test_absolute_max_drawdown,test_excess_max_drawdown
"TsRank($amount,20)",interday price movements,2,-0.1347323671200519,0.015551082789897919,0.2014625271585708,0.023298822343349457,0.09036365151405334,728,-0.01707569085163613,0.8218852877616882,0.2485381110191345,-0.26561380187077066,0.3369959592819214,0.10461157560348511,0.0278379637748003,0.3591096229730872,0.048729319125413895,0.10902474820613861,241,0.025535189253943307,0.8193643093109131,0.2477757671356201,-0.2222405778816768,0.20651835203170776,0.07125556468963623,0.011165215633809566,0.12171030776127618,0.027662890031933784,0.0955333411693573,242,0.024969124607741835,0.8197541236877441,0.24789364700317382,-0.22292452239543198,0.2280290722846985,0.07844716310501099
"Div(TsMean($volume,20),Add(Add($volume,1e-06),TsMean($volume,20)))",volume movements,1,-0.1382775899249455,0.014288721606135368,0.19629171619372077,0.020990287885069847,0.09472064673900604,728,-0.03930231683874784,0.6986899375915527,0.21128383712768553,-0.25058615396643336,0.3625797629356384,0.15523910522460938,0.043558795005083084,0.5635982968633997,0.04526655003428459,0.10919225215911865,241,0.0038375992860112873,0.7127426862716675,0.21553338832855223,-0.21169578904254094,0.21433013677597046,0.07856631278991699,0.018529005348682404,0.25076415878419595,0.02408369444310665,0.08393217623233795,242,-0.013899514451622963,0.7095621824264526,0.21457160396575925,-0.2284711184173822,0.244378924369812,0.08308917284011841
"Div(TsMean($volume,20),Add($volume,1e-06))",volume movements,0,-0.14690718811409081,0.0010970899602398276,0.03266000688116528,-0.0018151927506551147,0.09472063183784485,728,-0.03930231683874784,0.6986899375915527,0.21128383712768553,-0.25058615396643336,0.3625797629356384,0.15523910522460938,0.007232623640447855,0.20193819149688758,0.0013037220342084765,0.10919225215911865,241,0.0038375992860112873,0.7127426862716675,0.21553338832855223,-0.21169578904254094,0.21433013677597046,0.07856631278991699,0.007678619120270014,0.2218145312971482,0.0021480522118508816,0.08393214643001556,242,-0.013899514451622963,0.7095621824264526,0.21457160396575925,-0.2284711184173822,0.244378924369812,0.08308917284011841
"Div(TsMean($volume,20),Add(Add(Add($volume,1e-06),TsPctChange($volume,20)),TsMean($volume,20)))",volume movements,2,-0.1293583170303695,0.018605085089802742,0.26403869125279716,0.026490069925785065,0.09387572109699249,728,-0.03755864729620006,0.7001516222953796,0.21172585058212282,-0.24928449787832288,0.3617832064628601,0.15370041131973267,0.03214869648218155,0.4407505887453993,0.04147486388683319,0.1089547723531723,241,0.005056588564600263,0.7131108045578003,0.2156447072982788,-0.21058811873367855,0.21414494514465332,0.07659435272216797,0.01725100725889206,0.23405996756654432,0.026403319090604782,0.08326515555381775,242,-0.014834634214639665,0.7104635834693909,0.2148441876411438,-0.22967882185578345,0.243868887424469,0.0831451416015625
"Sub(Div(Div($amount,$volume),$high),TsPctChange($high,2))",intraday price-volume,2,-0.11377340602749397,0.018232228234410286,0.22428107548089737,0.015239247120916843,0.10294374078512192,728,-0.028389135492991095,0.36112529039382935,0.109204287815094,-0.1375934233080851,0.35273289680480957,0.1384332776069641,0.027918925508856773,0.3366966333785635,0.03331387788057327,0.10400284826755524,241,0.0553923100233078,0.5637680292129517,0.1704834520339966,-0.11509114201068879,0.18514209985733032,0.04730302095413208,0.007965464144945145,0.07064942723279626,0.010077533312141895,0.11433416604995728,242,-0.016092394664883613,0.7077751755714417,0.21403121309280393,-0.23012360775768753,0.20818018913269043,0.12164044380187988
"Sub(Div(Div($amount,$volume),$high),TsPctChange($open,2))",intraday price-volume,4,-0.11341266102770195,0.014910027384757996,0.17177566756105375,0.012429722584784031,0.1208578497171402,728,-0.011868325161607298,0.3827957212924957,0.1157574261188507,-0.127625751280458,0.3487277626991272,0.13204914331436157,0.024920105934143066,0.29087822023870247,0.031218834221363068,0.13552334904670715,241,0.10952706251825606,0.5702733397483826,0.17245065793991088,-0.06292359542165482,0.19463932514190674,0.05371826887130737,0.0035081307869404554,0.02888829047261364,0.007013378199189901,0.14046505093574524,242,-0.013381698913872243,0.7228264808654785,0.2185827278137207,-0.23196442672759296,0.22072607278823853,0.12485671043395996
"TsRank(Greater($amount,TsMean($volume,10)),20)",interday price movements,3,-0.1257116476034159,0.016629552468657494,0.2279728939074144,0.02564852684736252,0.08257409185171127,728,0.03151994910958695,0.6774197220802307,0.20485172395706175,-0.1733317748474748,0.3095383048057556,0.06804949045181274,0.02659578062593937,0.3593127820843685,0.049454208463430405,0.09746073931455612,241,0.02454364172049931,0.707983672618866,0.21409426259994507,-0.18955062087944577,0.17296236753463745,0.04434162378311157,0.008702486753463745,0.1012185080161662,0.02729872055351734,0.08765548467636108,242,-0.029310979787260296,0.686364471912384,0.20755661630630493,-0.23686759609356522,0.21412819623947144,0.11837869882583618
"TsRank(Add($amount,TsDelta($volume,10)),20)",interday price movements,3,-0.13934776118746006,0.010898128151893616,0.15790715924128298,0.014190557412803173,0.08284519612789154,728,-0.014473436099209197,0.8840388059616089,0.26733333492279054,-0.28180677102199975,0.3234298825263977,0.10892117023468018,0.021692849695682526,0.3170093333543316,0.037078749388456345,0.09749621152877808,241,0.004974821422781263,0.8736543655395508,0.26419308013916015,-0.2592182587163789,0.15801352262496948,0.03920626640319824,0.009104184806346893,0.11095376070826485,0.018074428662657738,0.07404409348964691,242,0.014581761974841357,0.8709122538566589,0.26336386556625363,-0.24878210359141228,0.22794640064239502,0.050848960876464844
"Sub(Div(Div($amount,$volume),$high),TsPctChange($low,2))",intraday price-volume,3,-0.08699212747708888,0.015805397182703018,0.1831424820516889,0.017133045941591263,0.12205073982477188,728,0.01337971136178056,0.32171574234962463,0.0972868404865265,-0.08390712912474593,0.341766357421875,0.06699258089065552,0.02612091600894928,0.3055032246139976,0.03724866732954979,0.14180433750152588,241,0.08808829614094325,0.47180718183517456,0.1426744917869568,-0.05458619564601354,0.1786593794822693,0.039788901805877686,0.002715116599574685,0.021542513443918956,0.00761514063924551,0.13801662623882294,242,-0.11429506056010724,0.6730781197547913,0.20353882341384885,-0.31783388397395607,0.23475682735443115,0.1437748670578003
"Sub(Div(Div($amount,$volume),$high),TsPctChange($close,2))",intraday price-volume,3,-0.10600437854536988,0.01660372130572796,0.18727149167491555,0.013505927287042141,0.12405911087989807,728,-0.006323288554606373,0.3590148985385895,0.10856610531806946,-0.11488939387267583,0.3412296772003174,0.07942301034927368,0.02526596002280712,0.2626292224519037,0.03304776921868324,0.13571278750896454,241,0.031950975741658894,0.5452460050582886,0.16488239192962648,-0.13293141618796758,0.1783989667892456,0.04420751333236694,0.00836152397096157,0.06297341590419234,0.009903401136398315,0.14573410153388977,242,-0.30108676850795746,0.704603374004364,0.21307206029891965,-0.5141588288068771,0.3736999034881592,0.29376816749572754
