rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,formula
11,0.016665179282426834,0.016665179282426834,0.046858303248882294,0.015254843048751354,0.049302760511636734,-0.00021091915550641716,0.027972865849733353,"TsDiv(Pow(Sub(0.5,Inv($volume)),$low),20)"
12,0.00979873538017273,0.009798734448850155,0.05410851538181305,-0.0002967134350910783,0.038454264402389526,-0.008903630077838898,0.030633235350251198,"Sub(-10.0,TsCov(Sub(Abs(TsMinDiff(Div($low,Div($close,1.0)),20)),Less(5.0,Add($close,1.0))),$open,30))"
13,0.008496087975800037,-0.008496087975800037,0.008733239956200123,0.0032360015902668238,0.010529053397476673,0.0022936309687793255,0.017396381124854088,"Pow(Add(Add(-2.0,SLog1p($close)),0.01),Inv($close))"
14,0.011157337576150894,0.011157337576150894,0.029752762988209724,0.016798758879303932,0.033177223056554794,0.02784469909965992,0.05004134774208069,"Div(-30.0,Div($vwap,Mul($high,30.0)))"
15,0.008280913345515728,-0.008280912414193153,0.00411039125174284,-0.006128594279289246,-0.008429243229329586,-0.002228114055469632,-0.0013728205813094974,"Greater(Sub($close,$open),5.0)"
16,0.047067612409591675,-0.047067612409591675,-0.06595047563314438,-0.04296347126364708,-0.08774560689926147,-0.010907304473221302,-0.05247672274708748,"Pow(10.0,Div($high,TsSum($close,50)))"
17,0.007755746133625507,-0.007755746133625507,0.015422881580889225,-0.01185488048940897,0.0117862643674016,-0.002375982468947768,0.004176146816462278,"Rank(Sub(Add(Log(TsSkew($open,10)),0.01),-10.0))"
18,0.010233977809548378,-0.010233977809548378,0.006896726321429014,-0.010993285104632378,-0.009149802848696709,-0.005334585439413786,-0.0014639567816630006,"Greater($close,TsMin(SLog1p(TsMinDiff(Pow(5.0,$volume),10)),20))"
19,0.01899734139442444,-0.01899734139442444,-0.009005038999021053,-0.02078869193792343,-0.021486734971404076,-0.008290603756904602,-0.003986664116382599,"Div(-10.0,Div($close,$open))"
20,0.008414896205067635,-0.00841489713639021,0.004301929846405983,0.00157357775606215,-0.007993366569280624,0.007013851311057806,-0.00045749099808745086,"Add($open,Pow(-0.5,Mul(Sub($high,$close),5.0)))"
21,0.008814346976578236,0.008814346976578236,-0.0002522540744394064,0.005396533291786909,-0.009333995170891285,0.004650947172194719,-0.0028896324802190065,"TsCorr(TsMean(Mul($close,10.0),20),Add(0.5,Less(TsMaxDiff($close,20),-10.0)),20)"
22,0.009078683331608772,-0.009080450981855392,0.004482335411012173,-0.006745165679603815,-0.008628799580037594,-0.003982569556683302,-0.0012662602821364999,"TsMinDiff(Abs(TsMad(Sign(Pow(30.0,$vwap)),40)),20)"
23,0.008894460275769234,0.008894459344446659,0.011668302118778229,0.004681093152612448,-0.003965516574680805,0.0029462252277880907,0.0031062017660588026,"Sub(Sub(TsMinDiff(Div(1.0,Sub($close,-0.01)),50),Sub(Add($volume,0.01),SLog1p(Log(Add(-5.0,$open))))),-0.5)"
24,0.016104284673929214,-0.016104286536574364,0.005622483789920807,-0.003346262266859412,-0.011597168631851673,-0.004039314575493336,-0.0011370438151061535,"TsVar(Sub(-10.0,Less(Abs(TsMed($open,30)),2.0)),30)"
25,0.00829803105443716,-0.00829803105443716,-0.017291180789470673,0.0008639008738100529,-0.009443550370633602,0.0,-0.0012234544847160578,"Add(TsSum($open,30),Pow($vwap,Div(Add(TsPctChange($volume,20),Sub(2.0,$open)),5.0)))"
26,0.007956202141940594,-0.007956201210618019,-0.008174913935363293,-0.014186481945216656,-0.018548784777522087,-0.015509355813264847,-0.020406583324074745,"TsVar(TsSkew($low,20),40)"
27,0.008263465948402882,0.008263465948402882,0.04371879622340202,0.008827785961329937,0.024482278153300285,-0.0004026756505481899,-0.002789936726912856,"Div(1.0,Log(TsMax($high,10)))"
28,0.008372824639081955,-0.009167292155325413,0.01134579163044691,-0.0039011207409203053,-0.0009616905590519309,0.016392255201935768,0.0009149531833827496,"Less(Div(Less(Sign(Add(-10.0,TsIr($high,50))),0.5),-1.0),TsRank($close,30))"
29,0.009938748553395271,-0.009938747622072697,-0.009436151944100857,-0.01726779341697693,-0.02076943777501583,-0.0001596517686266452,7.85234515205957e-05,"TsKurt(TsMinDiff($open,30),20)"
30,0.0070715369656682014,-0.0070715369656682014,-0.00932791456580162,-0.014249389991164207,-0.020809153094887733,0.0011537870159372687,0.001742804772220552,"TsStd(Mul(-1.0,Abs(Less(Rank(TsSkew(Inv($open),30)),1.0))),10)"
31,0.010766823776066303,-0.010766824707388878,-0.013352619484066963,-0.0037387320771813393,8.752138819545507e-05,0.011547915637493134,0.014695661142468452,"Pow($open,Mul(0.01,Less(Mul($volume,Sub(TsMinMaxDiff($open,40),0.5)),5.0)))"
32,0.028883038088679314,-0.028883038088679314,-0.020794840529561043,-0.021325018256902695,-0.035401850938797,-0.009684120304882526,-0.008403551764786243,"Mul(TsMinDiff(Add(Log(Greater(Mul($volume,30.0),10.0)),Abs(Div($high,30.0))),20),5.0)"
33,0.015435418114066124,-0.015435418114066124,-0.021767064929008484,-0.023818060755729675,-0.028908930718898773,-0.006740364246070385,-0.01673945225775242,"TsSkew(SLog1p($open),50)"
34,0.007821189239621162,-0.007821189239621162,0.01187119446694851,-0.010254505090415478,-0.0003837485855910927,0.005247375462204218,0.01726766861975193,"TsSkew(Inv(Mul(30.0,Div(Div(TsMinDiff(Sub($vwap,-10.0),30),30.0),Div(Div(-1.0,$high),30.0)))),10)"
35,0.009415588341653347,-0.009415588341653347,-0.004726191516965628,-0.011834993027150631,-0.013234352692961693,-0.0021952521055936813,-0.004020615015178919,"Add(-2.0,TsMad(Log(Greater(TsMad($low,40),-10.0)),10))"
36,0.01679219678044319,0.016792194917798042,0.024678299203515053,0.029603781178593636,0.045182742178440094,0.019200395792722702,0.03390888497233391,"TsMin(Mul(SLog1p(Sub(-10.0,Div(SLog1p($volume),2.0))),Inv(SLog1p(TsIr($volume,40)))),20)"
37,0.01287114154547453,-0.01287114154547453,-0.027176229283213615,-0.010055615566670895,-0.0366070456802845,-0.006885100156068802,-0.02448011375963688,"TsSkew(Greater(Div($vwap,$open),-10.0),50)"
38,0.010579430498182774,-0.010579430498182774,-0.01120732445269823,0.004498565103858709,0.004791651852428913,-0.00019934280135203153,-0.0015294543700292706,"TsSkew(TsVar(Mul(Div(Div(-10.0,$close),-30.0),-30.0),40),10)"
39,0.007587882224470377,0.007587881293147802,-0.03806595504283905,0.0018342393450438976,-0.01703190989792347,0.007540528196841478,-0.014217783696949482,"TsCorr($close,Pow($open,Abs(TsMin(Sub(Less($close,-2.0),$close),20))),40)"
40,0.007068003993481398,0.00706800352782011,0.0077791414223611355,0.020810071378946304,0.013811714015901089,0.02141089178621769,0.027436258271336555,"Inv(Sub(Rank(TsKurt($open,40)),2.0))"
41,0.026869989931583405,-0.026869989931583405,0.016473695635795593,-0.012582467868924141,0.015228668227791786,-0.004314901307225227,0.00871356949210167,"Log(Mul(TsSkew(Add($close,2.0),50),$close))"
42,0.00728814909234643,-0.007288150489330292,0.009481335058808327,-0.0005481257103383541,-0.004037140868604183,0.0016322849551215768,-0.0012893551029264927,"Log(Less(SLog1p(Add(-10.0,$open)),2.0))"
43,0.018190812319517136,-0.018190812319517136,0.0071752071380615234,-0.011194811202585697,-0.004281182307749987,0.002442426746711135,0.0005904017016291618,"Pow(Sub(SLog1p($open),-10.0),TsPctChange(Add(-10.0,Greater($high,30.0)),20))"
44,0.007699437905102968,-0.014170849695801735,0.004162183962762356,-0.030928805470466614,-0.006410469301044941,-0.011275445111095905,-0.0003221037331968546,"Less(Sign(Div(TsMaxDiff($volume,50),Greater(Log($close),5.0))),0.01)"
45,0.007380209397524595,-0.007380209397524595,-0.033284030854701996,-0.001957193249836564,-0.036100905388593674,-0.002551162848249078,-0.029766207560896873,"Sub(-10.0,Add(Rank(Mul($vwap,$high)),Mul(-5.0,TsCorr(Rank($close),$volume,30))))"
46,0.010753437876701355,-0.01075343694537878,0.0025799903087317944,-0.008946777321398258,-0.010120583698153496,-0.010909389704465866,-0.002389280591160059,"Add(Greater(0.5,Abs(SLog1p(Less($open,-5.0)))),Sign(TsKurt(Div(30.0,Pow($high,$volume)),20)))"
47,0.012378315441310406,0.012378315441310406,0.044362373650074005,0.007656893227249384,0.0249121505767107,-0.01833190582692623,-0.008479735814034939,"Div(Less(5.0,Mul(Abs($volume),SLog1p($open))),Log($close))"
48,0.011962215416133404,0.011962215416133404,0.01546428445726633,0.0035676462575793266,-0.0011795720783993602,-0.007572228088974953,-0.0017274809069931507,"Div(Pow(2.0,Div(Ref($high,20),-30.0)),Pow(Add($high,-5.0),0.01))"
49,0.014662499539554119,0.014662499539554119,0.005454206373542547,0.014430452138185501,-0.009562761522829533,0.012271947227418423,-0.0006119731697253883,"TsCorr(Sub(-0.01,$close),Abs(Pow(Abs(Add(10.0,TsMax(Pow($high,Less(-10.0,$open)),20))),-0.01)),10)"
50,0.011287372559309006,0.011287372559309006,0.0440661795437336,0.006708843167871237,0.021520409733057022,-0.0014939650427550077,0.0028169883880764246,"TsMin(Div(Abs($close),Sub(Div(Mul($close,$close),1.0),0.5)),40)"
