rank,weight,train_ic,train_rank_ic,valid_ic,valid_rank_ic,test_ic,test_rank_ic,formula
19,0.002376700984314084,0.0023767005186527967,0.00724232941865921,-0.00474860705435276,0.005142214708030224,-0.0005317544564604759,0.0030865517910569906,"Pow(Log($close),SLog1p(TsMaxDiff(Greater(TsSum(Inv(Log($close)),30),10.0),30)))"
20,0.03626536205410957,0.03626536205410957,0.040360625833272934,0.043483223766088486,0.06855882704257965,0.008848938159644604,0.03839266300201416,"Mul(-1.0,TsDiv($high,20))"
21,0.00528165465220809,0.0052816555835306644,0.009086011908948421,0.018048010766506195,-0.009575225412845612,0.002877311548218131,-0.000627579225692898,"Less(0.01,Less($volume,Div(2.0,Log($close))))"
22,0.002575487829744816,0.0025754873640835285,0.016751112416386604,0.013301357626914978,0.010838056914508343,0.0002687351661734283,0.0022836027201265097,"Mul(TsWMA(Div(5.0,Log($close)),30),30.0)"
23,0.006034310907125473,0.006034312769770622,-0.018912075087428093,0.015841932967305183,-0.003950612153857946,0.01326748076826334,-0.007607422303408384,"Pow(2.0,Pow(TsMean(Rank($volume),10),Mul(TsMinDiff(Rank(Log($vwap)),40),-5.0)))"
24,0.0016752411611378193,0.0016738956328481436,-0.011853482574224472,0.004403792321681976,-0.037244945764541626,0.0022566341795027256,-0.01927441731095314,"Sub(Pow(-10.0,Add(TsMaxDiff($close,20),5.0)),5.0)"
25,0.012937081977725029,0.0129387890920043,0.004690409637987614,0.010236210189759731,-0.008579646237194538,0.007143997587263584,-0.001385082839988172,"Less(-10.0,TsPctChange(Sub($volume,5.0),30))"
26,0.0016266533639281988,0.0016266534803435206,0.03912721574306488,0.002689753659069538,0.056904856115579605,0.0005011623725295067,0.036141447722911835,"TsDiv(Add(-10.0,Abs($vwap)),20)"
27,0.009218319319188595,0.009218319319188595,0.05717908963561058,0.011481762863695621,0.03922821953892708,-0.0013020973419770598,0.02366914413869381,"Div(2.0,Mul(Div(Mul($close,Sub(5.0,Inv(TsStd(SLog1p(Add(Div($volume,1.0),-30.0)),50)))),-30.0),-30.0))"
28,0.019713787361979485,0.019713787361979485,0.02827448956668377,0.014592954888939857,0.025015367195010185,0.005557299591600895,0.01686292327940464,"Mul(-30.0,TsSkew($low,20))"
29,0.0014721842017024755,0.0014721843181177974,0.00673804571852088,-0.0029237442649900913,-0.016304655000567436,-0.0023887597490102053,1.0967253729177173e-05,"Sub(-1.0,Sub(Inv(Add(Mul(Sign($close),TsMad(Add(Greater(Inv(Log($open)),-2.0),5.0),50)),-0.5)),-10.0))"
30,0.010238646529614925,0.01023864559829235,0.001511419890448451,-0.004588983952999115,-0.00842620525509119,-0.0010964430402964354,-0.00365819432772696,"Pow(Div(-10.0,Log($open)),Greater(Div(TsWMA($volume,30),Mul(Greater($open,-2.0),-30.0)),Sub(-30.0,Abs($close))))"
31,0.0017632469534873962,0.0017632467206567526,0.006575613282620907,0.023330075666308403,-0.00949791632592678,0.015193130820989609,-0.001389196258969605,"Log(Mul(-10.0,Sub($volume,$open)))"
32,0.008946575224399567,0.008946575224399567,0.012815970927476883,-0.016599008813500404,-0.015298395417630672,-0.01337733305990696,-0.015214641578495502,"Mul(5.0,Greater(TsCorr(Div(Abs($volume),SLog1p(TsVar($low,10))),Div($volume,-10.0),40),-10.0))"
33,0.009491619653999805,0.009491619653999805,0.018998634070158005,0.021607279777526855,0.020741604268550873,0.015060165897011757,0.004051182419061661,"Mul(-10.0,Add(Pow(Abs(TsIr($volume,20)),-5.0),-30.0))"
34,0.013928073458373547,0.013928074389696121,0.023417605087161064,0.023573366925120354,0.03574424609541893,-0.0031902347691357136,0.00405531283468008,"TsSkew(Div($open,-30.0),10)"
35,0.011987791396677494,0.011987791396677494,0.056347548961639404,-0.0012241409858688712,0.020304815843701363,-0.002581200795248151,0.015049784444272518,"Div(-10.0,Sub(Div(SLog1p(Add(Add(Pow(Abs($open),-10.0),Rank($open)),30.0)),0.01),$low))"
36,0.0026178210973739624,0.0026178210973739624,0.002953180344775319,0.0072267381474375725,-0.00878817867487669,-0.001698446343652904,-0.001039717230014503,"TsMinDiff(Less(-1.0,Log(Log(TsMean($close,40)))),10)"
37,0.010688437148928642,0.010688436217606068,0.005325062200427055,0.0021988048683851957,-0.006737004034221172,0.0038335060235112906,-0.0006381494458764791,"Mul(30.0,Less(Mul(TsKurt(SLog1p($volume),40),-1.0),-1.0))"
38,0.003849626053124666,0.00384962628595531,0.002670374233275652,0.00628322409465909,-0.008107190020382404,0.0009484420879743993,-0.0014169055502861738,"Greater(Div(Abs($low),-1.0),Log(Mul(Add(TsMean(Pow($open,30.0),20),-1.0),-1.0)))"
39,0.0023542572744190693,0.0023542570415884256,0.004737044684588909,-0.0001841824414441362,-0.008426014333963394,0.001468135160394013,-0.0008206248749047518,"Abs(Log(SLog1p(SLog1p(Mul(-0.5,TsSkew($volume,30))))))"
40,0.0019215971697121859,0.001921597751788795,-0.004136501811444759,0.016410188749432564,0.026878494769334793,0.002511037280783057,0.009073842316865921,"Mul(Rank(Ref(TsMaxDiff(Greater(-0.01,TsWMA($vwap,10)),30),10)),-10.0)"
41,0.002420429838821292,0.002420429838821292,0.011616889387369156,0.0017994805239140987,-0.00904056429862976,0.0,-0.0012234544847160578,"Div(-10.0,TsDiv(Pow(Pow(Ref($close,50),-10.0),Mul(SLog1p($close),0.5)),10))"
42,0.023725315928459167,0.023725315928459167,0.06234605237841606,0.02880975790321827,0.06973300874233246,0.013282842002809048,0.052419230341911316,"Mul(Sub(5.0,$close),Mul($volume,Rank(Add(Sub(-30.0,$high),30.0))))"
43,0.005498198326677084,0.005498197861015797,0.03976219519972801,0.007455259561538696,0.020264403894543648,-0.0014127137837931514,7.450580596923828e-05,"Mul(TsMin(Inv(Less(Sub($open,0.5),$open)),30),Sign(Pow($high,-0.01)))"
44,0.020286167040467262,0.020286167040467262,0.0018954516854137182,0.020252274349331856,-0.010722200386226177,0.008872220292687416,-0.003190851304680109,"TsPctChange(Less(Greater(-10.0,Abs($close)),2.0),30)"
45,0.00234850007109344,0.002348500769585371,-0.026233825832605362,-0.003100789152085781,-0.011263558641076088,0.0022602276876568794,-0.01583475060760975,"SLog1p(Log(Sub(Sub(Div(30.0,$vwap),0.01),$open)))"
46,0.002812902443110943,0.002812903141602874,0.003936965949833393,-0.001183255109935999,-0.005654649809002876,-0.00456799054518342,0.002638785168528557,"Less(TsKurt(Sub(TsPctChange($close,40),$open),20),-1.0)"
47,0.004350327420979738,0.004350328352302313,0.05432666093111038,0.00479370541870594,0.07676330208778381,-4.8647980293026194e-05,0.04474952071905136,"TsPctChange(Sub(5.0,Log($open)),40)"
48,0.0025527290999889374,0.0025527290999889374,-0.004117350559681654,0.0006842323928140104,-0.010208799503743649,0.0002745009842328727,-0.005682030227035284,"Inv(Pow(-10.0,Pow($close,5.0)))"
49,0.002531537553295493,0.0025315373204648495,-0.0017968380125239491,-0.0014572527725249529,-0.008325927890837193,-0.0009899105643853545,0.00014145007298793644,"Div(Pow(-0.01,Pow($open,$open)),1.0)"
50,0.04318486154079437,0.04318486154079437,0.028278587386012077,0.010396536439657211,0.029119567945599556,-0.0021036299876868725,0.014753375202417374,"Sub(-10.0,Add(TsMinDiff(Pow(Mul(Log($vwap),0.5),2.0),10),-10.0))"
