formula,net_excess,gross_excess,turnover,annual_cost,periods,coverage,rank_ic,ic_mean,ic_ir,absolute_max_drawdown,excess_max_drawdown,run,objective
"TsDelta(lwr1,50)",-0.1129321147084236,0.0196215793490409,0.8766778707504272,0.1325536940574646,120,1.0,0.0248675756156444,0.016281321644783,0.1530372820563243,0.3009312152862549,0.16839599609375,front_wide_s9841,aligned_ic_frontier
"TsEMA(cal_30d_up_down_diff,40)",-0.1433500720024109,-0.0895975238084793,0.3555062711238861,0.0537525481939315,120,1.0,-0.0282350536435842,-0.016703387722373,-0.1440303142692877,0.4456490278244018,0.373238205909729,front_wide_s9841,aligned_ic_frontier
"Add(Ref(Constant(10.0),20),TsMed(skd_k,50))",-0.1783264025688171,-0.114624752998352,0.4213072061538696,0.063701649570465,120,1.0,-0.0303013157099485,-0.0151562886312603,-0.141745041605639,0.4682655334472656,0.4507079124450683,front_wide_s9841,aligned_ic_frontier
"TsIr(amp10,20)",-0.0894674933999776,0.0257577339559793,0.7620716094970703,0.115225227355957,120,1.0,0.027182649821043,0.0099815335124731,0.1901707521170125,0.2445819973945617,0.0512038469314575,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsStd(ema120,30),40)",-0.1107858224272727,-0.0612526389956474,0.3276004195213318,0.0495331834316253,120,1.0,-0.0349379442632198,-0.0102167427539825,-0.1141865316703273,0.4927905201911926,0.4561523199081421,front_wide_s9841,aligned_ic_frontier
"TsSum(hma250,10)",-0.0896892613157629,-0.0868026772141456,0.0190911646932363,0.0028865841016173,120,1.0,-0.030858464539051,-0.0114370211958885,-0.138940294587084,0.5525503158569336,0.4954738616943359,front_wide_s9841,aligned_ic_frontier
"TsSkew(mabias,30)",-0.1929101979732513,-0.088626844882965,0.6897047162055969,0.1042833530902862,120,1.0,-0.0244255121797323,-0.0125252297148108,-0.206561941813232,0.4065322875976562,0.3666119575500488,front_wide_s9841,aligned_ic_frontier
lma250,-0.0883604409635067,-0.0854996788501739,0.0189203843474388,0.0028607621133327,120,1.0,-0.0308769382536411,-0.0112969242036342,-0.1383517658185488,0.5531245470046997,0.4950844645500183,front_wide_s9841,aligned_ic_frontier
Rank(kdj_j),-0.2539944934129715,-0.1111507791280746,0.9447335600852966,0.1428437142848968,120,1.0,-0.0236939713358879,-0.0146696651354432,-0.1491382261168385,0.3634512424468994,0.4155628085136413,front_wide_s9841,aligned_ic_frontier
"TsMax(vma250,30)",-0.0885250970810651,-0.0856529429554939,0.0189957283437252,0.0028721541255712,120,1.0,-0.0305380579084157,-0.0114321056753396,-0.1396985947392035,0.546207845211029,0.489657998085022,front_wide_s9841,aligned_ic_frontier
"TsWMA(lma250,10)",-0.0891801874458789,-0.0862991005182266,0.0190548077225685,0.0028810869276523,120,1.0,-0.0306139905005693,-0.0113379526883363,-0.13935199010203,0.5522748231887817,0.4947277903556824,front_wide_s9841,aligned_ic_frontier
"TsRank(amount,20)",-0.1160955390393733,0.0137813808023929,0.8589743375778198,0.1298769198417663,120,1.0,0.0229233670979738,0.0164415687322616,0.1640069801905877,0.2575245499610901,0.1305816173553466,front_wide_s9841,aligned_ic_frontier
ratio_market_cap_float,-0.1004933556944131,-0.0949506086111068,0.0366583801805973,0.0055427470833063,120,1.0,-0.0474871359765529,-0.0065196100622415,-0.098957121763047,0.3500590324401855,0.3959515690803528,front_wide_s9841,aligned_ic_frontier
ratio_a_share_mv_float,-0.1004933556944131,-0.0949506086111068,0.0366583801805973,0.0055427470833063,120,1.0,-0.0474871359765529,-0.0065196100622415,-0.098957121763047,0.3500590324401855,0.3959515690803528,front_wide_s9841,aligned_ic_frontier
market_cap_3,-0.1113473932743072,-0.1056506323814392,0.037676990032196,0.005696760892868,120,1.0,-0.0559829361736774,-0.005544205661863,-0.0856511408075,0.3751055002212524,0.4279599189758301,front_wide_s9841,aligned_ic_frontier
ratio_a_share_mv,-0.1113473932743072,-0.1056506323814392,0.037676990032196,0.005696760892868,120,1.0,-0.0559829361736774,-0.005544205661863,-0.0856511408075,0.3751055002212524,0.4279599189758301,front_wide_s9841,aligned_ic_frontier
"TsSkew(wma60,30)",-0.2469213263511657,-0.1323182487487793,0.757956862449646,0.1146030776023864,120,1.0,-0.0238952413201332,-0.0159534681588411,-0.1623615748609445,0.5118222236633301,0.4859092235565185,front_wide_s9841,aligned_ic_frontier
"TsMaxDiff(mcst,50)",-0.186507821881771,-0.0587279650568962,0.8451048731803894,0.1277798568248748,120,1.0,0.029139157384634,0.0177911613136529,0.1455460004901738,0.3212118744850158,0.3358812928199768,front_wide_s9841,aligned_ic_frontier
"Ref(pb_ratio_ttm,40)",-0.0881858550667762,-0.075775716304779,0.0820776373147964,0.0124101387619972,120,1.0,-0.0402770228683948,-0.0052761049009859,-0.2146451817941329,0.4785327315330505,0.38955819606781,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsMin(TsMax(wma10,20),40),30)",-0.1361812096595764,-0.0848647552728653,0.3393945395946502,0.0513164543867111,120,1.0,-0.0306511335074901,-0.0108190979808568,-0.1236514056955365,0.5165728330612183,0.4517704844474792,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsSum(TsDelta(ratio_ev_lyr,30),10),20)",-0.1736041665673255,-0.1038622507452964,0.4612560570240021,0.0697419158220291,120,1.0,-0.0424344949424266,-0.0063320943154394,-0.1421966516800787,0.4104200005531311,0.4052507281303406,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(TsMinDiff(TsMinMaxDiff(Sub(ev_no_cash_lf,bias10),30),50),40)",-0.2312202006340026,-0.1631258046627044,0.4503597617149353,0.0680943959712982,120,1.0,-0.0362962260842323,-0.0084096975624561,-0.191335679181776,0.4331632256507873,0.5454317331314087,front_wide_s9841,aligned_ic_frontier
"TsStd(TsVar(TsStd(dkx,10),30),40)",-0.1035395941615104,-0.0822712880373001,0.1406634002923965,0.0212683061242103,120,1.0,-0.053314484655857,-0.0042285076342523,-0.1015995978376501,0.5721464157104492,0.5225521326065063,front_wide_s9841,aligned_ic_frontier
"TsMax(ratio_market_cap_float,40)",-0.0903258458644151,-0.0865446209907531,0.025008101016283,0.0037812248736619,120,1.0,-0.0457527078688144,-0.0063553787767887,-0.0949751189882764,0.3334195613861084,0.3851156830787658,front_wide_s9841,aligned_ic_frontier
"TsWMA(hma250,40)",-0.086029984639585,-0.0830650144815444,0.0196095909923315,0.0029649701580405,120,1.0,-0.0300069320946931,-0.0112468134611845,-0.1392729025890731,0.5430707335472107,0.4859308004379272,front_wide_s9841,aligned_ic_frontier
"TsMinDiff(mavr,50)",-0.1748074429392814,-0.0843127629160881,0.5985097885131836,0.0904946800231933,120,1.0,-0.0248040482401847,-0.0157555770128965,-0.1684238043711482,0.4398050904273987,0.3932704925537109,front_wide_s9841,aligned_ic_frontier
"TsSum(ema250,30)",-0.0865189171627164,-0.0836801862716674,0.0187746752053499,0.0028387308910489,120,1.0,-0.0308618880808353,-0.0111301215365529,-0.1351671978102666,0.5480276346206665,0.4865813255310058,front_wide_s9841,aligned_ic_frontier
"TsMean(ema250,30)",-0.0865189171627164,-0.0836801862716674,0.0187746752053499,0.0028387308910489,120,1.0,-0.0308618880808353,-0.0111301206052303,-0.135167186500034,0.5480276346206665,0.4865813255310058,front_wide_s9841,aligned_ic_frontier
"Abs(TsMed(TsRank(TsDelta(bias612,10),50),50))",-0.0895191313683986,0.0158863605558872,0.6971262693405151,0.1054054919242858,120,1.0,0.0229349322617054,0.0113876620307564,0.1750087680367361,0.2633615732192993,0.1066761016845703,front_wide_s9841,aligned_ic_frontier
"TsDelta(tapi,30)",-0.3140401928186416,-0.1679647046327591,0.9661077260971068,0.1460754881858825,120,1.0,-0.0310583487153053,-0.0105063496157526,-0.1450426434955838,0.5798031091690063,0.5834931135177612,front_wide_s9841,aligned_ic_frontier
"TsMax(lma250,30)",-0.0882573989376425,-0.0854008322954177,0.0188926365226507,0.0028565666422247,120,1.0,-0.0303269159048795,-0.0113716358318924,-0.1399036786476631,0.5467127561569214,0.489519715309143,front_wide_s9841,aligned_ic_frontier
