id,name,report,formula,handler,direction,cycle,platform_net_excess_pct,platform_periods_full_window,recent_start,recent_end,recent_periods,recent_stock_count_mean,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,fidelity,factor_id,run_id,platform_rank_ic,platform_ic_mean,platform_ic_ir,platform_ic_p_value,platform_monotonicity,platform_turnover_pct,platform_gross_excess_pct,platform_annual_cost_pct,platform_long_sharpe,platform_long_max_drawdown_pct,platform_long_monthly_win_rate_pct,raw_result,configured_cycle,reason
osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,OSR2-RET40-TURN-BIAS-PAPER-NOMCAP-EQ,osr2-ret40-turn-bias-paper-nomcap-cycle10-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504)) + RANK(ZSCORE(RANK(book_to_market_ratio_lyr)) + ZSCORE(RANK(oper_roe_lyr)) - ZSCORE(RANK(gr_total_asset_lyr)))) / 3",reversal_turn_paper_nomcap,1,10,5.224711999999999,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,4986.866666666667,0.07537146580873084,0.02021309405100847,5.3661280376169,36.46139955988396,5.512963613454454,-0.14683557583755474,,,,,,,,,,,,,,,,,
nonhuatai-factor-6-20260909.report:NONHT-RESVOL-LOW,NONHT-RESVOL-LOW,nonhuatai-factor-6-20260909.report.csv,RANK(-residual_volatility),residual_volatility,1,10,0.37087199999999987,94,2026-01-12 00:00:00,2026-03-31 00:00:00,6,5007.166666666667,0.06905702817713326,0.005277689926254474,0.4687381255862319,6.342215966473427,0.9589430541307823,-0.49020492854455033,,,,,,,,,,,,,,,,,
combo-direct-4factor-size-20260909-candidates.report:COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,COMBO-DIRECT-OSR2-CHIP-TURN-SIZE-EQ,combo-direct-4factor-size-20260909-candidates.report.csv,"(RANK(1-RETURNS(CLOSE,40)) + RANK((SUM(VOLUME*(OPEN+CLOSE)/2,250)/SUM(VOLUME,250))/CLOSE-1) + RANK(1-MA(TURNOVER,21)/MA(TURNOVER,504)) + RANK(-ZSCORE(RANK(MARKET_CAP)))) / 4",reversal_chip_turn_size_eq,1,10,16.383983999999998,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5014.4,0.06444411174963563,0.017705727213035184,4.283492592059662,33.13749228497321,5.010388833487949,-0.7268962414282876,,,,,,,,,,,,,,,,,
osr4-ret40-value-refine-candidates.report:OSR4-RET40-BP-CFP-REV3,OSR4-RET40-BP-CFP-REV3,osr4-ret40-value-refine-candidates.report.csv,"(3 * RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm) + RANK(ratio_cfp_ttm)) / 5",reversal_bm_cfp_rev3,1,5,1.6346559999999997,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5169.580645161291,0.051555273538152625,0.013912567658774428,9.37761677299453,33.59654977511528,10.159596651994859,-0.7819798790003274,,,,,,,,,,,,,,,,,
osr3-ret40-value-candidates.report:OSR3-RET40-BP-EQ,OSR3-RET40-BP-EQ,osr3-ret40-value-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(ratio_bm_ttm)) / 2",reversal_bm_eq,1,5,3.160368,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5169.612903225807,0.05335511620820261,0.01256834005395779,7.9256515473056774,29.839948622346864,9.02360046339769,-1.0979489160920133,,,,,,,,,,,,,,,,,
osr3-ret40-value-candidates.report:OSR3-RET40-BP-MA63,OSR3-RET40-BP-MA63,osr3-ret40-value-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(MA(ratio_bm_ttm,63))) / 2",reversal_bm_ma63,1,5,2.4111200000000004,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5161.225806451613,0.052014145004152273,0.011615135264460293,7.443189127856711,28.784611088331392,8.704466393111412,-1.261277265254701,,,,,,,,,,,,,,,,,
positive-cycle10-candidates.report:HT13-TURN-BIAS-1M,HT13-TURN-BIAS-1M,positive-cycle10-candidates.report.csv,"MA(TURNOVER,21) / MA(TURNOVER,504) - 1",turn_bias,0,10,4.962135999999999,79,2026-01-07 00:00:00,2026-08-20 00:00:00,16,5016.125,-0.06335893375463164,-0.040498642893132486,2.2583387973461067,24.890850225180447,3.763496554047284,-1.5051577567011771,,,,,,,,,,,,,,,,,
huatai-series13-candidates.report:HT13-VALUE-SP,HT13-VALUE-SP,huatai-series13-candidates.report.csv,ratio_sp_ttm,value_sp,1,5,0.11094400000000004,241,2026-01-09 00:00:00,2026-08-24 00:00:00,31,5122.677419354839,0.026563240847613526,-0.0016961172971375746,-2.139193005569128,2.6391319489677314,0.7980735013678418,-2.93726650693697,,,,,,,,,,,,,,,,,
osr2-ret40-turn-bias-composite-cycle10-candidates.report:OSR2-RET40-TURN-BIAS-EQ,OSR2-RET40-TURN-BIAS-EQ,osr2-ret40-turn-bias-composite-cycle10-candidates.report.csv,"(RANK(1 - RETURNS(CLOSE,40)) + RANK(1 - MA(TURNOVER,21) / MA(TURNOVER,504))) / 2",reversal_turn_eq,1,10,7.395975999999998,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5014.4,0.07224558915969666,0.028739189098144585,3.32105788511236,42.738484627454774,6.462058875671161,-3.1410009905588017,,,,,,,,,,,,,,,,,
high-potential-5-20260910-candidates.report:NEW-VALUE-EVEBITDA,NEW-VALUE-EVEBITDA,high-potential-5-20260910-candidates.report.csv,RANK(-ratio_ev_ebitda_ttm),ev_ebitda_proxy,1,10,3.3196399999999997,120,2026-01-09 00:00:00,2026-08-10 00:00:00,15,5117.6,-0.006773263725495172,-0.0007891098260653903,-2.5663154557268353,5.0054104538937985,0.7568180606287424,-3.323133516355578,,,,,,,,,,,,,,,,,
